"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.1jeune1solution.gouv.fr/34.77.72.35","443","INFO","HTTP","",""
"pre_128cipher","www.1jeune1solution.gouv.fr/34.77.72.35","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.1jeune1solution.gouv.fr/34.77.72.35","443","OK","not offered","",""
"SSLv3","www.1jeune1solution.gouv.fr/34.77.72.35","443","OK","not offered","",""
"TLS1","www.1jeune1solution.gouv.fr/34.77.72.35","443","INFO","not offered","",""
"TLS1_1","www.1jeune1solution.gouv.fr/34.77.72.35","443","INFO","is not offered","",""
"TLS1_2","www.1jeune1solution.gouv.fr/34.77.72.35","443","OK","offered","",""
"TLS1_3","www.1jeune1solution.gouv.fr/34.77.72.35","443","OK","offered with final","",""
"ALPN_HTTP2","www.1jeune1solution.gouv.fr/34.77.72.35","443","OK","h2","",""
"ALPN","www.1jeune1solution.gouv.fr/34.77.72.35","443","INFO","http/1.1","",""
"cipherlist_NULL","www.1jeune1solution.gouv.fr/34.77.72.35","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.1jeune1solution.gouv.fr/34.77.72.35","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.1jeune1solution.gouv.fr/34.77.72.35","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.1jeune1solution.gouv.fr/34.77.72.35","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.1jeune1solution.gouv.fr/34.77.72.35","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","www.1jeune1solution.gouv.fr/34.77.72.35","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","www.1jeune1solution.gouv.fr/34.77.72.35","443","INFO","not offered","",""
"cipherlist_STRONG","www.1jeune1solution.gouv.fr/34.77.72.35","443","OK","offered","",""
"cipher_order","www.1jeune1solution.gouv.fr/34.77.72.35","443","OK","server","",""
"protocol_negotiated","www.1jeune1solution.gouv.fr/34.77.72.35","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","www.1jeune1solution.gouv.fr/34.77.72.35","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"cipherorder_TLSv1_2","www.1jeune1solution.gouv.fr/34.77.72.35","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","www.1jeune1solution.gouv.fr/34.77.72.35","443","OK","offered","",""
"FS_ciphers","www.1jeune1solution.gouv.fr/34.77.72.35","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.1jeune1solution.gouv.fr/34.77.72.35","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.1jeune1solution.gouv.fr/34.77.72.35","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","www.1jeune1solution.gouv.fr/34.77.72.35","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.1jeune1solution.gouv.fr/34.77.72.35","443","INFO","yes","",""
"sessionresumption_ticket","www.1jeune1solution.gouv.fr/34.77.72.35","443","INFO","not supported","",""
"sessionresumption_ID","www.1jeune1solution.gouv.fr/34.77.72.35","443","INFO","supported","",""
"TLS_timestamp","www.1jeune1solution.gouv.fr/34.77.72.35","443","INFO","random","",""
"clientAuth","www.1jeune1solution.gouv.fr/34.77.72.35","443","INFO","none","",""
"cert_numbers","www.1jeune1solution.gouv.fr/34.77.72.35","443","INFO","1","",""
"cert_signatureAlgorithm","www.1jeune1solution.gouv.fr/34.77.72.35","443","OK","SHA256 with RSA","",""
"cert_keySize","www.1jeune1solution.gouv.fr/34.77.72.35","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.1jeune1solution.gouv.fr/34.77.72.35","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.1jeune1solution.gouv.fr/34.77.72.35","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.1jeune1solution.gouv.fr/34.77.72.35","443","INFO","04AE4E8DA4FF7E6C00ECAEA42AA485B637E1","",""
"cert_fingerprintSHA1","www.1jeune1solution.gouv.fr/34.77.72.35","443","INFO","A71749CA309FB770E415FBA19E54CB10608F7BF7","",""
"cert_fingerprintSHA256","www.1jeune1solution.gouv.fr/34.77.72.35","443","INFO","E5B6F68B19511AF74CD95576DAAC5BCE3A42A82E29BBADE525CEB59E106AA1B6","",""
"cert","www.1jeune1solution.gouv.fr/34.77.72.35","443","INFO","-----BEGIN CERTIFICATE----- MIIFPDCCBCSgAwIBAgISBK5OjaT/fmwA7K6kKqSFtjfhMA0GCSqGSIb3DQEBCwUA MDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQD EwJSMzAeFw0yMTAzMTcxMjU4MTVaFw0yMTA2MTUxMjU4MTVaMCYxJDAiBgNVBAMT G3d3dy4xamV1bmUxc29sdXRpb24uZ291di5mcjCCASIwDQYJKoZIhvcNAQEBBQAD ggEPADCCAQoCggEBAOEczUSZDIQBJBere25M5jDNbr3QzGSN7xULDihDNXx0MuU2 zbiIpja7yR5+uf515urmXN8ogm5C250RP2yZTRWO6rUMvFgNARQ08b70AEhk2p/q ptURvYOrZ5bsD3szK7lxabtKCOdzQVfDcVltykq8/HFMBHskvFO8F5h5xn+fauDa ms0q759ww++GOeyvBQPdUV+fubyafJFw4zrk9ckTXoQITHAzEhq57cHETDgqnQ/V geapyILCsAD8jZC0WpaWMq0Y7KMQPYW4wvEGJu6m5zAlrwi27veH/mkTlSzjr+fy IvNS3d31pkqDlWV7TlyvGVyMIy7jYz3uG10Sjb0CAwEAAaOCAlYwggJSMA4GA1Ud DwEB/wQEAwIFoDAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwDAYDVR0T AQH/BAIwADAdBgNVHQ4EFgQUYBKoqnOb6VGItRRlFpT7r3jlIUYwHwYDVR0jBBgw FoAUFC6zF7dYVsuuUAlA5h+vnYsUwsYwVQYIKwYBBQUHAQEESTBHMCEGCCsGAQUF BzABhhVodHRwOi8vcjMuby5sZW5jci5vcmcwIgYIKwYBBQUHMAKGFmh0dHA6Ly9y My5pLmxlbmNyLm9yZy8wJgYDVR0RBB8wHYIbd3d3LjFqZXVuZTFzb2x1dGlvbi5n b3V2LmZyMEwGA1UdIARFMEMwCAYGZ4EMAQIBMDcGCysGAQQBgt8TAQEBMCgwJgYI KwYBBQUHAgEWGmh0dHA6Ly9jcHMubGV0c2VuY3J5cHQub3JnMIIBBAYKKwYBBAHW eQIEAgSB9QSB8gDwAHYAXNxDkv7mq0VEsV6a1FbmEDf71fpH3KFzlLJe5vbHDsoA AAF4QHrYzAAABAMARzBFAiEAkPi2ZkBZLvGoobDTmBm7FT9e8Rjz7A5ObObtqYcd U8kCIHxzdpcTsPRoSJxD25+cVGp0PkE2tkxIr8D68/W+IFA0AHYAfT7y+I//iFVo JMLAyp5SiXkrxQ54CX8uapdomX4i8NcAAAF4QHrY6QAABAMARzBFAiEAm/s3EEhv adbV1JoHOz8EMtHeh08Ie3jpgPB1uEEhMLICIAZN32AVZqSzdnBGoLhyATxDGv06 chwV6zBSg8h9Tqn4MA0GCSqGSIb3DQEBCwUAA4IBAQBkyOn8LYHJ7YQgtkI77edo UpSSRo8tQQUvBe3bM42sr5faOHKzHlwchi8fJknYD/erHM7S8JAW3xOrX11rUP8q 1yCSfXgorTnse+3/L3HYVNNYEi5kjVQ8Lwn3nX2YSRKo2hngyxMKYo0upGfZGesk 6U1EOdWbkj3Gx8yZx2YyEnip830kyX03IAGGHPdFHPNu91KWr0gLVguZq/2AZzy4 bAbnnLrHlDMyCUzyN13RIu/vx17VDRU9Olb8JlDplAsmV/cqyMvjGhDTF4uvvF3A HAa3AUAD9c6sgykRUY+ItMe+z+VsyTrGWPYWTmBeLmW3V+9IZgmgmjp0/AFyh9L5 -----END CERTIFICATE-----","",""
"cert_commonName","www.1jeune1solution.gouv.fr/34.77.72.35","443","OK","www.1jeune1solution.gouv.fr","",""
"cert_commonName_wo_SNI","www.1jeune1solution.gouv.fr/34.77.72.35","443","INFO","Kubernetes Ingress Controller Fake Certificate","",""
"cert_subjectAltName","www.1jeune1solution.gouv.fr/34.77.72.35","443","INFO","www.1jeune1solution.gouv.fr","",""
"cert_trust","www.1jeune1solution.gouv.fr/34.77.72.35","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","www.1jeune1solution.gouv.fr/34.77.72.35","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.1jeune1solution.gouv.fr/34.77.72.35","443","INFO","no","",""
"cert_expirationStatus","www.1jeune1solution.gouv.fr/34.77.72.35","443","OK","66 >= 30 days","",""
"cert_notBefore","www.1jeune1solution.gouv.fr/34.77.72.35","443","INFO","2021-03-17 12:58","",""
"cert_notAfter","www.1jeune1solution.gouv.fr/34.77.72.35","443","OK","2021-06-15 12:58","",""
"cert_extlifeSpan","www.1jeune1solution.gouv.fr/34.77.72.35","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","www.1jeune1solution.gouv.fr/34.77.72.35","443","INFO","not present","",""
"cert_crlDistributionPoints","www.1jeune1solution.gouv.fr/34.77.72.35","443","INFO","--","",""
"cert_ocspURL","www.1jeune1solution.gouv.fr/34.77.72.35","443","INFO","http://r3.o.lencr.org","",""
"OCSP_stapling","www.1jeune1solution.gouv.fr/34.77.72.35","443","LOW","not offered","",""
"cert_mustStapleExtension","www.1jeune1solution.gouv.fr/34.77.72.35","443","INFO","--","",""
"DNS_CAArecord","www.1jeune1solution.gouv.fr/34.77.72.35","443","LOW","--","",""
"certificate_transparency","www.1jeune1solution.gouv.fr/34.77.72.35","443","OK","yes (certificate extension)","",""
"certs_countServer","www.1jeune1solution.gouv.fr/34.77.72.35","443","INFO","2","",""
"certs_list_ordering_problem","www.1jeune1solution.gouv.fr/34.77.72.35","443","INFO","no","",""
"cert_caIssuers","www.1jeune1solution.gouv.fr/34.77.72.35","443","INFO","R3 (Let's Encrypt from US)","",""
