"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.1jeune1solution.gouv.fr/109.232.236.90","443","INFO","HTTP","",""
"pre_128cipher","www.1jeune1solution.gouv.fr/109.232.236.90","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.1jeune1solution.gouv.fr/109.232.236.90","443","OK","not offered","",""
"SSLv3","www.1jeune1solution.gouv.fr/109.232.236.90","443","OK","not offered","",""
"TLS1","www.1jeune1solution.gouv.fr/109.232.236.90","443","INFO","not offered","",""
"TLS1_1","www.1jeune1solution.gouv.fr/109.232.236.90","443","INFO","not offered","",""
"TLS1_2","www.1jeune1solution.gouv.fr/109.232.236.90","443","OK","offered","",""
"TLS1_3","www.1jeune1solution.gouv.fr/109.232.236.90","443","OK","offered with final","",""
"ALPN_HTTP2","www.1jeune1solution.gouv.fr/109.232.236.90","443","OK","h2","",""
"ALPN","www.1jeune1solution.gouv.fr/109.232.236.90","443","INFO","http/1.1","",""
"cipherlist_NULL","www.1jeune1solution.gouv.fr/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.1jeune1solution.gouv.fr/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.1jeune1solution.gouv.fr/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.1jeune1solution.gouv.fr/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.1jeune1solution.gouv.fr/109.232.236.90","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","www.1jeune1solution.gouv.fr/109.232.236.90","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","www.1jeune1solution.gouv.fr/109.232.236.90","443","INFO","not offered","",""
"cipherlist_STRONG","www.1jeune1solution.gouv.fr/109.232.236.90","443","OK","offered","",""
"cipher_order-tls1_2","www.1jeune1solution.gouv.fr/109.232.236.90","443","OK","server","",""
"cipherorder_TLSv1_2","www.1jeune1solution.gouv.fr/109.232.236.90","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","www.1jeune1solution.gouv.fr/109.232.236.90","443","OK","server","",""
"FS","www.1jeune1solution.gouv.fr/109.232.236.90","443","OK","offered","",""
"FS_ciphers","www.1jeune1solution.gouv.fr/109.232.236.90","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","www.1jeune1solution.gouv.fr/109.232.236.90","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.1jeune1solution.gouv.fr/109.232.236.90","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","www.1jeune1solution.gouv.fr/109.232.236.90","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","www.1jeune1solution.gouv.fr/109.232.236.90","443","INFO","yes","",""
"sessionresumption_ticket","www.1jeune1solution.gouv.fr/109.232.236.90","443","INFO","not supported","",""
"sessionresumption_ID","www.1jeune1solution.gouv.fr/109.232.236.90","443","INFO","not supported","",""
"TLS_timestamp","www.1jeune1solution.gouv.fr/109.232.236.90","443","INFO","random","",""
"certificate_compression","www.1jeune1solution.gouv.fr/109.232.236.90","443","INFO","none","",""
"clientAuth","www.1jeune1solution.gouv.fr/109.232.236.90","443","INFO","none","",""
"cert_numbers","www.1jeune1solution.gouv.fr/109.232.236.90","443","INFO","1","",""
"cert_signatureAlgorithm","www.1jeune1solution.gouv.fr/109.232.236.90","443","OK","SHA256 with RSA","",""
"cert_keySize","www.1jeune1solution.gouv.fr/109.232.236.90","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.1jeune1solution.gouv.fr/109.232.236.90","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.1jeune1solution.gouv.fr/109.232.236.90","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.1jeune1solution.gouv.fr/109.232.236.90","443","INFO","EE7DB06C2723FBB06439A2BDE4F19467","",""
"cert_serialNumberLen","www.1jeune1solution.gouv.fr/109.232.236.90","443","INFO","16","",""
"cert_fingerprintSHA1","www.1jeune1solution.gouv.fr/109.232.236.90","443","INFO","14A892CCCF37BEDDE21E8D260065565F32890A68","",""
"cert_fingerprintSHA256","www.1jeune1solution.gouv.fr/109.232.236.90","443","INFO","2F784E7AFA234572C525496B3C078C76D73F93A1F90AF9CC27099DBF4B395366","",""
