"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.egalite-femmes-hommes.gouv.fr/185.194.82.206","443","INFO","HTTP","",""
"pre_128cipher","www.egalite-femmes-hommes.gouv.fr/185.194.82.206","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.egalite-femmes-hommes.gouv.fr/185.194.82.206","443","OK","not offered","",""
"SSLv3","www.egalite-femmes-hommes.gouv.fr/185.194.82.206","443","OK","not offered","",""
"TLS1","www.egalite-femmes-hommes.gouv.fr/185.194.82.206","443","INFO","not offered","",""
"TLS1_1","www.egalite-femmes-hommes.gouv.fr/185.194.82.206","443","INFO","not offered","",""
"TLS1_2","www.egalite-femmes-hommes.gouv.fr/185.194.82.206","443","OK","offered","",""
"TLS1_3","www.egalite-femmes-hommes.gouv.fr/185.194.82.206","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","www.egalite-femmes-hommes.gouv.fr/185.194.82.206","443","OK","h2","",""
"ALPN","www.egalite-femmes-hommes.gouv.fr/185.194.82.206","443","INFO","http/1.1","",""
"cipherlist_NULL","www.egalite-femmes-hommes.gouv.fr/185.194.82.206","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.egalite-femmes-hommes.gouv.fr/185.194.82.206","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.egalite-femmes-hommes.gouv.fr/185.194.82.206","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.egalite-femmes-hommes.gouv.fr/185.194.82.206","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.egalite-femmes-hommes.gouv.fr/185.194.82.206","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.egalite-femmes-hommes.gouv.fr/185.194.82.206","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.egalite-femmes-hommes.gouv.fr/185.194.82.206","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.egalite-femmes-hommes.gouv.fr/185.194.82.206","443","OK","offered","",""
"cipher_order-tls1_2","www.egalite-femmes-hommes.gouv.fr/185.194.82.206","443","OK","server","",""
"cipherorder_TLSv1_2","www.egalite-femmes-hommes.gouv.fr/185.194.82.206","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","www.egalite-femmes-hommes.gouv.fr/185.194.82.206","443","OK","server","",""
"FS","www.egalite-femmes-hommes.gouv.fr/185.194.82.206","443","OK","offered","",""
"FS_ciphers","www.egalite-femmes-hommes.gouv.fr/185.194.82.206","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.egalite-femmes-hommes.gouv.fr/185.194.82.206","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","www.egalite-femmes-hommes.gouv.fr/185.194.82.206","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","www.egalite-femmes-hommes.gouv.fr/185.194.82.206","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.egalite-femmes-hommes.gouv.fr/185.194.82.206","443","INFO","yes","",""
"sessionresumption_ticket","www.egalite-femmes-hommes.gouv.fr/185.194.82.206","443","INFO","not supported","",""
"sessionresumption_ID","www.egalite-femmes-hommes.gouv.fr/185.194.82.206","443","INFO","supported","",""
"TLS_timestamp","www.egalite-femmes-hommes.gouv.fr/185.194.82.206","443","INFO","random","",""
"cert_compression","www.egalite-femmes-hommes.gouv.fr/185.194.82.206","443","INFO","N/A","",""
"clientAuth","www.egalite-femmes-hommes.gouv.fr/185.194.82.206","443","INFO","none","",""
"cert_numbers","www.egalite-femmes-hommes.gouv.fr/185.194.82.206","443","INFO","1","",""
"cert_signatureAlgorithm","www.egalite-femmes-hommes.gouv.fr/185.194.82.206","443","OK","SHA256 with RSA","",""
"cert_keySize","www.egalite-femmes-hommes.gouv.fr/185.194.82.206","443","OK","RSA 3072 bits (exponent is 65537)","",""
"cert_keyUsage","www.egalite-femmes-hommes.gouv.fr/185.194.82.206","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.egalite-femmes-hommes.gouv.fr/185.194.82.206","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.egalite-femmes-hommes.gouv.fr/185.194.82.206","443","INFO","7C71B94B4F83D5D0A6C93AE10F6E31CE","",""
"cert_serialNumberLen","www.egalite-femmes-hommes.gouv.fr/185.194.82.206","443","INFO","16","",""
"cert_fingerprintSHA1","www.egalite-femmes-hommes.gouv.fr/185.194.82.206","443","INFO","B9666BD589171991ADD3A67E5CA7883B38B26131","",""
"cert_fingerprintSHA256","www.egalite-femmes-hommes.gouv.fr/185.194.82.206","443","INFO","E62CBF92F0AAAEDA6944F551A28F3F4286BADC574BC5D7681B2DA56D060945F5","",""
