"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","adoption.gouv.fr/185.194.82.145","443","INFO","HTTP","",""
"pre_128cipher","adoption.gouv.fr/185.194.82.145","443","INFO","No 128 cipher limit bug","",""
"SSLv2","adoption.gouv.fr/185.194.82.145","443","OK","not offered","",""
"SSLv3","adoption.gouv.fr/185.194.82.145","443","OK","not offered","",""
"TLS1","adoption.gouv.fr/185.194.82.145","443","INFO","not offered","",""
"TLS1_1","adoption.gouv.fr/185.194.82.145","443","INFO","not offered","",""
"TLS1_2","adoption.gouv.fr/185.194.82.145","443","OK","offered","",""
"TLS1_3","adoption.gouv.fr/185.194.82.145","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","adoption.gouv.fr/185.194.82.145","443","INFO","not offered","",""
"cipherlist_NULL","adoption.gouv.fr/185.194.82.145","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","adoption.gouv.fr/185.194.82.145","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","adoption.gouv.fr/185.194.82.145","443","OK","not offered","","CWE-327"
"cipherlist_LOW","adoption.gouv.fr/185.194.82.145","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","adoption.gouv.fr/185.194.82.145","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","adoption.gouv.fr/185.194.82.145","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","adoption.gouv.fr/185.194.82.145","443","OK","offered","",""
"cipherlist_STRONG","adoption.gouv.fr/185.194.82.145","443","OK","offered","",""
"cipher_order","adoption.gouv.fr/185.194.82.145","443","OK","server","",""
"protocol_negotiated","adoption.gouv.fr/185.194.82.145","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","adoption.gouv.fr/185.194.82.145","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","adoption.gouv.fr/185.194.82.145","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","adoption.gouv.fr/185.194.82.145","443","OK","offered","",""
"FS_ciphers","adoption.gouv.fr/185.194.82.145","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","adoption.gouv.fr/185.194.82.145","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","adoption.gouv.fr/185.194.82.145","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","adoption.gouv.fr/185.194.82.145","443","INFO","no -- no lifetime advertised","",""
