"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","adoption.gouv.fr/185.194.82.206","443","INFO","HTTP","",""
"pre_128cipher","adoption.gouv.fr/185.194.82.206","443","INFO","No 128 cipher limit bug","",""
"SSLv2","adoption.gouv.fr/185.194.82.206","443","OK","not offered","",""
"SSLv3","adoption.gouv.fr/185.194.82.206","443","OK","not offered","",""
"TLS1","adoption.gouv.fr/185.194.82.206","443","INFO","not offered","",""
"TLS1_1","adoption.gouv.fr/185.194.82.206","443","INFO","not offered","",""
"TLS1_2","adoption.gouv.fr/185.194.82.206","443","OK","offered","",""
"TLS1_3","adoption.gouv.fr/185.194.82.206","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","adoption.gouv.fr/185.194.82.206","443","OK","h2","",""
"ALPN","adoption.gouv.fr/185.194.82.206","443","INFO","http/1.1","",""
"cipherlist_NULL","adoption.gouv.fr/185.194.82.206","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","adoption.gouv.fr/185.194.82.206","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","adoption.gouv.fr/185.194.82.206","443","OK","not offered","","CWE-327"
"cipherlist_LOW","adoption.gouv.fr/185.194.82.206","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","adoption.gouv.fr/185.194.82.206","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","adoption.gouv.fr/185.194.82.206","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","adoption.gouv.fr/185.194.82.206","443","INFO","not offered","",""
"cipherlist_STRONG_FS","adoption.gouv.fr/185.194.82.206","443","OK","offered","",""
"cipher_order-tls1_2","adoption.gouv.fr/185.194.82.206","443","OK","server","",""
"cipherorder_TLSv1_2","adoption.gouv.fr/185.194.82.206","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","adoption.gouv.fr/185.194.82.206","443","OK","server","",""
"FS","adoption.gouv.fr/185.194.82.206","443","OK","offered","",""
"FS_ciphers","adoption.gouv.fr/185.194.82.206","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","adoption.gouv.fr/185.194.82.206","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","adoption.gouv.fr/185.194.82.206","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","adoption.gouv.fr/185.194.82.206","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","adoption.gouv.fr/185.194.82.206","443","INFO","yes","",""
"sessionresumption_ticket","adoption.gouv.fr/185.194.82.206","443","INFO","not supported","",""
"sessionresumption_ID","adoption.gouv.fr/185.194.82.206","443","INFO","supported","",""
"TLS_timestamp","adoption.gouv.fr/185.194.82.206","443","INFO","random","",""
"cert_compression","adoption.gouv.fr/185.194.82.206","443","INFO","N/A","",""
"clientAuth","adoption.gouv.fr/185.194.82.206","443","INFO","none","",""
"cert_numbers","adoption.gouv.fr/185.194.82.206","443","INFO","1","",""
"cert_signatureAlgorithm","adoption.gouv.fr/185.194.82.206","443","OK","SHA256 with RSA","",""
"cert_keySize","adoption.gouv.fr/185.194.82.206","443","OK","RSA 3072 bits (exponent is 65537)","",""
"cert_keyUsage","adoption.gouv.fr/185.194.82.206","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","adoption.gouv.fr/185.194.82.206","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","adoption.gouv.fr/185.194.82.206","443","INFO","82ADCE017E8D09269057363AD364D22C","",""
"cert_serialNumberLen","adoption.gouv.fr/185.194.82.206","443","INFO","16","",""
"cert_fingerprintSHA1","adoption.gouv.fr/185.194.82.206","443","INFO","67976EBE1DFC299E81F661B6A5D9F3859D94D4E9","",""
"cert_fingerprintSHA256","adoption.gouv.fr/185.194.82.206","443","INFO","72F83E0EED6BEB37CA32A64031C2AB6C92E4524A479342582C7308601CE5FC57","",""
"cert","adoption.gouv.fr/185.194.82.206","443","INFO","-----BEGIN CERTIFICATE-----\nMIIKnjCCCIagAwIBAgIRAIKtzgF+jQkmkFc2OtNk0iwwDQYJKoZIhvcNAQELBQAwfTELMAkGA1UEBhMCRlIxEjAQBgNVBAoMCURISU1ZT1RJUzEcMBoGA1UECwwTMDAwMiA0ODE0NjMwODEwMDAzNjEdMBsGA1UEYQwUTlRSRlItNDgxNDYzMDgxMDAwMzYxHTAbBgNVBAMMFENlcnRpZ25hIFNlcnZpY2VzIENBMB4XDTI0MTExODIzMDAwMFoXDTI1MTExODIyNTk1OVowgZsxCzAJBgNVBAYTAkZSMQ4wDAYDVQQHDAVQQVJJUzFJMEcGA1UECgxAU0VDUkVUQVJJQVQgR0VORVJBTCBERVMgTUlOSVNURVJFUyBDSEFSR0VTIERFUyBBRkZBSVJFUyBTT0NJQUxFUzEcMBoGA1UEAwwTc29saWRhcml0ZXMuZ291di5mcjETMBEGA1UEBRMKUzMyODI1MDgwODCCAaIwDQYJKoZIhvcNAQEBBQADggGPADCCAYoCggGBAKoD85Ts9WL0fYg1SYW6UKiyQk+xM2uHPWkNurqS2qRzJEWHyegHxZzsxcASqBSPyJbaZhPz+pjt7zoOUK2XkAX6aoxNmP6KcZn/GnYSym8eDLdKc3DU3l7UxAQujE9EUquvfI4QSSJyujot7vhdz6eqIBt8RZv2m1+pDpFBa0nsFfHK4XysPmj0X0GKV7STiTQNAgNZ4wqJjFWMLTEPN6Xz2cHFtOEfeEsdbcJqbRYW6Kalih4kVWvwsOmz9BO2uh7eHMElhZb7qQ3BNQSyFAkvddlfQ5A8k0HnWhrtnipZ/JlJnVlVbpt6STrA7ryCF277zMy31LN07aMkrB2aqAUFQs7llQoQuZs7XAdCp2le8RdWR59fqKe2AKfMHT3cnmlwbwBYyHtkl4NHcqbFa4LJaPgeMEmlwxRGYeTCTgeMwEG/b6DpIDxmatgDcMm8/jS5rVq8uC6m8ksBA1H//jR7a5bex2/kqj4ZzaZtFPFpn3wuYiKxjR/WlrRg/KQx4wIDAQABo4IFeDCCBXQwgeQGCCsGAQUFBwEBBIHXMIHUMDYGCCsGAQUFBzAChipodHRwOi8vYXV0b3JpdGUuY2VydGlnbmEuZnIvc2VydmljZXNjYS5kZXIwOAYIKwYBBQUHMAKGLGh0dHA6Ly9hdXRvcml0ZS5kaGlteW90aXMuY29tL3NlcnZpY2VzY2EuZGVyMDAGCCsGAQUFBzABhiRodHRwOi8vc2VydmljZXNjYS5vY3NwLmRoaW15b3Rpcy5jb20wLgYIKwYBBQUHMAGGImh0dHA6Ly9zZXJ2aWNlc2NhLm9jc3AuY2VydGlnbmEuZnIwHwYDVR0jBBgwFoAUrOyGj0s3HLh/FxsZ0K7oTuM0XBIwDAYDVR0TAQH/BAIwADBhBgNVHSAEWjBYMAgGBmeBDAECAjBMBgsqgXoBgTECBQEBAjA9MDsGCCsGAQUFBwIBFi9odHRwczovL3d3dy5jZXJ0aWduYS5jb20vYXV0b3JpdGUtY2VydGlmaWNhdGlvbjBlBgNVHR8EXjBcMCugKaAnhiVodHRwOi8vY3JsLmNlcnRpZ25hLmZyL3NlcnZpY2VzY2EuY3JsMC2gK6AphidodHRwOi8vY3JsLmRoaW15b3Rpcy5jb20vc2VydmljZXNjYS5jcmwwEwYDVR0lBAwwCgYIKwYBBQUHAwEwDgYDVR0PAQH/BAQDAgWgMIIBUQYDVR0RBIIBSDCCAUSCDmFpZGFudC5nb3V2LmZyghF3d3cub25wZXMuZ291di5mcoITc29saWRhcml0ZXMuZ291di5mcoILcnNhLmdvdXYuZnKCF3d3dy5zb2xpZGFyaXRlcy5nb3V2LmZyghBhZG9wdGlvbi5nb3V2LmZyghR3d3cuYWRvcHRpb24uZ291di5mcoIebWV0aWVycy1wZXRpdGUtZW5mYW5jZS5nb3V2LmZyghN3d3cuZmFtaWxsZS5nb3V2LmZygg1vbnBlcy5nb3V2LmZyghB3d3cuY25sZS5nb3V2LmZyghJ3d3cuYWlkYW50LmdvdXYuZnKCInd3dy5tZXRpZXJzLXBldGl0ZS1lbmZhbmNlLmdvdXYuZnKCD2ZhbWlsbGUuZ291di5mcoIPd3d3LnJzYS5nb3V2LmZyggxjbmxlLmdvdXYuZnIwHQYDVR0OBBYEFGpa5KgC/W/WCC0MeNi1Xnn9hnJ8MIIB9wYKKwYBBAHWeQIEAgSCAecEggHjAeEAdgAN4fIwK9MNwUBiEgnqVS78R3R8sdfpMO8OQh60fk6qNAAAAZNFM5bBAAAEAwBHMEUCICH4ki1e9zeMSOXB3osUjxDiOv0AyUVImL6kmI4b/tPlAiEAklEKmhhJudNrDneOo3+Rnca8d+47nLTlDtB8TWxtMXIAdwDd3Mo0ldfhFgXnlTL6x5/4PRxQ39sAOhQSdgosrLvIKgAAAZNFM5THAAAEAwBIMEYCIQCrkkRAtSTa55ZzojdLuypsAfN7xyhrYuzfhqkT3bhXMAIhAMVX0Vv1aEnnZFTUFvLYCnxxE4SAc24aH6A/PDv1cCzaAHYAKCyL3YEP+QkSCs4W1uDsIBvqgqOkrxnZ7/tZ6D/cQmgAAAGTRTOZQQAABAMARzBFAiEAv6VaRM6LyOmcUFf7+eVizhbaixCBJgY/WvmuB6wcX3kCIFqk6ilT3GTpecotzUsGxEiyC7MDGgCp1HEtXBAMKrDFAHYArxgaKNaMo+CpikycZ6sJ+Lu8IrquvLE4o6Gd0/m2Aw0AAAGTRTOVRgAABAMARzBFAiEA0FxmuKAsglNg2oJPiqKpanTWWq2LJITrgc6h1X3sWmkCIB9ut7V0qiw3SUpKD4HaoxKbi3UmmkB+cTjHju4XnX1rMA0GCSqGSIb3DQEBCwUAA4ICAQBLHrGFYfvEl9l1H53m9aUM4GHUR2QPp6T7WMHOdtiVVGSBmBkTdiEUqQ+PvLPzzC6t1gvlPd/UnqS057k4AAF5XKmfo7nydWtMq/BTX7az2QHCSGypLFGSofCGEmlwfe2m5DhGAppE0FUI9bqfglDYd+ZE/HmcVxs5E53PlsW9jnwtuLSOdgg0AeA0nhv5gem2vmxVOrkvkWQOcpLqV4GgJNuJ9xl+g2aeJLspNRfhrfcUA+iIp0nLTFu1lP1xKbQEAoxbvDjB2Jy+ptKfd40bOGRWQb0xnIz6wjtV7RcPKdSXjb1KyeePH3nVhv2MWu733INdTpb4PNiXH8imPa1Gv2ZY9vmjItcyHSvxc/SxKkeq3Gcc35cowj8Dthn2fpP5vy6ENfbTh3nx3EuqP2JsSYPfQ28vmiOZWTlW8nZjEWdIUvf84S1YHLS2EhMAgXp6mvLiGqVDyG3Ujzq+qbETGh8z6wc3ViSfbEMV10/PXct0croEr/7Ik3CNl4eJw4PGn2VveWDixtqrvXfwS7FXN3BGHgwlPMsiE/7Mu9b9RR/KmO0u3RKxcqAwfBGfwCu+05Idp1m1CmWcRJ1+svId00u8iXuY6FGdZ/1VCD76B6LjtWg7p9341btTD61IjeTurB7i8BW6ae3xxUpT8jKYQqh88LBHIeR+BN3zVXkrZw==\n-----END CERTIFICATE-----","",""
"cert_commonName","adoption.gouv.fr/185.194.82.206","443","OK","solidarites.gouv.fr","",""
"cert_commonName_wo_SNI","adoption.gouv.fr/185.194.82.206","443","INFO","*.cegedim.cloud","",""
"cert_subjectAltName","adoption.gouv.fr/185.194.82.206","443","INFO","aidant.gouv.fr www.onpes.gouv.fr solidarites.gouv.fr rsa.gouv.fr www.solidarites.gouv.fr adoption.gouv.fr www.adoption.gouv.fr metiers-petite-enfance.gouv.fr www.famille.gouv.fr onpes.gouv.fr www.cnle.gouv.fr www.aidant.gouv.fr www.metiers-petite-enfance.gouv.fr famille.gouv.fr www.rsa.gouv.fr cnle.gouv.fr","",""
"cert_trust","adoption.gouv.fr/185.194.82.206","443","OK","Ok via SAN (SNI mandatory)","",""
"cert_chain_of_trust","adoption.gouv.fr/185.194.82.206","443","OK","passed.","",""
"cert_certificatePolicies_EV","adoption.gouv.fr/185.194.82.206","443","INFO","no","",""
"cert_expirationStatus","adoption.gouv.fr/185.194.82.206","443","OK","303 >= 60 days","",""
"cert_notBefore","adoption.gouv.fr/185.194.82.206","443","INFO","2024-11-18 23:00","",""
"cert_notAfter","adoption.gouv.fr/185.194.82.206","443","OK","2025-11-18 22:59","",""
"cert_extlifeSpan","adoption.gouv.fr/185.194.82.206","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","adoption.gouv.fr/185.194.82.206","443","INFO","not present","",""
"cert_crlDistributionPoints","adoption.gouv.fr/185.194.82.206","443","INFO","http://crl.certigna.fr/servicesca.crl http://crl.dhimyotis.com/servicesca.crl","",""
