"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","arretonslesviolences.gouv.fr/185.194.82.16","443","INFO","HTTP","",""
"pre_128cipher","arretonslesviolences.gouv.fr/185.194.82.16","443","INFO","No 128 cipher limit bug","",""
"SSLv2","arretonslesviolences.gouv.fr/185.194.82.16","443","OK","not offered","",""
"SSLv3","arretonslesviolences.gouv.fr/185.194.82.16","443","OK","not offered","",""
"TLS1","arretonslesviolences.gouv.fr/185.194.82.16","443","INFO","not offered","",""
"TLS1_1","arretonslesviolences.gouv.fr/185.194.82.16","443","INFO","not offered","",""
"TLS1_2","arretonslesviolences.gouv.fr/185.194.82.16","443","OK","offered","",""
"TLS1_3","arretonslesviolences.gouv.fr/185.194.82.16","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","arretonslesviolences.gouv.fr/185.194.82.16","443","INFO","not offered","",""
"cipherlist_NULL","arretonslesviolences.gouv.fr/185.194.82.16","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","arretonslesviolences.gouv.fr/185.194.82.16","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","arretonslesviolences.gouv.fr/185.194.82.16","443","OK","not offered","","CWE-327"
"cipherlist_LOW","arretonslesviolences.gouv.fr/185.194.82.16","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","arretonslesviolences.gouv.fr/185.194.82.16","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","arretonslesviolences.gouv.fr/185.194.82.16","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","arretonslesviolences.gouv.fr/185.194.82.16","443","INFO","not offered","",""
"cipherlist_STRONG","arretonslesviolences.gouv.fr/185.194.82.16","443","OK","offered","",""
"cipherorder_TLSv1_2","arretonslesviolences.gouv.fr/185.194.82.16","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","arretonslesviolences.gouv.fr/185.194.82.16","443","OK","server","",""
"protocol_negotiated","arretonslesviolences.gouv.fr/185.194.82.16","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","arretonslesviolences.gouv.fr/185.194.82.16","443","OK","ECDHE-RSA-AES256-GCM-SHA384, 256 bit ECDH (P-256)","",""
"FS","arretonslesviolences.gouv.fr/185.194.82.16","443","OK","offered","",""
"FS_ciphers","arretonslesviolences.gouv.fr/185.194.82.16","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","arretonslesviolences.gouv.fr/185.194.82.16","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","arretonslesviolences.gouv.fr/185.194.82.16","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","arretonslesviolences.gouv.fr/185.194.82.16","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","arretonslesviolences.gouv.fr/185.194.82.16","443","INFO","yes","",""
"sessionresumption_ticket","arretonslesviolences.gouv.fr/185.194.82.16","443","INFO","not supported","",""
"sessionresumption_ID","arretonslesviolences.gouv.fr/185.194.82.16","443","INFO","supported","",""
"TLS_timestamp","arretonslesviolences.gouv.fr/185.194.82.16","443","INFO","random","",""
"cert_compression","arretonslesviolences.gouv.fr/185.194.82.16","443","INFO","N/A","",""
"clientAuth","arretonslesviolences.gouv.fr/185.194.82.16","443","INFO","none","",""
"cert_numbers","arretonslesviolences.gouv.fr/185.194.82.16","443","INFO","1","",""
"cert_signatureAlgorithm","arretonslesviolences.gouv.fr/185.194.82.16","443","OK","SHA256 with RSA","",""
"cert_keySize","arretonslesviolences.gouv.fr/185.194.82.16","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","arretonslesviolences.gouv.fr/185.194.82.16","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","arretonslesviolences.gouv.fr/185.194.82.16","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","arretonslesviolences.gouv.fr/185.194.82.16","443","INFO","024280345D9BCE8661DA5CA45A2EB246","",""
"cert_serialNumberLen","arretonslesviolences.gouv.fr/185.194.82.16","443","INFO","16","",""
"cert_fingerprintSHA1","arretonslesviolences.gouv.fr/185.194.82.16","443","INFO","598117DFC7CE07B411B3DEA7E42ECB263BC8098A","",""
"cert_fingerprintSHA256","arretonslesviolences.gouv.fr/185.194.82.16","443","INFO","78047D0CC5E3A17A3E6C63F792B4906550744FD053860A6DE813CA66AE66809E","",""
