"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","boussole.jeunes.gouv.fr/185.194.82.154","443","INFO","HTTP","",""
"pre_128cipher","boussole.jeunes.gouv.fr/185.194.82.154","443","INFO","No 128 cipher limit bug","",""
"SSLv2","boussole.jeunes.gouv.fr/185.194.82.154","443","OK","not offered","",""
"SSLv3","boussole.jeunes.gouv.fr/185.194.82.154","443","OK","not offered","",""
"TLS1","boussole.jeunes.gouv.fr/185.194.82.154","443","INFO","not offered","",""
"TLS1_1","boussole.jeunes.gouv.fr/185.194.82.154","443","INFO","is not offered","",""
"TLS1_2","boussole.jeunes.gouv.fr/185.194.82.154","443","OK","offered","",""
"TLS1_3","boussole.jeunes.gouv.fr/185.194.82.154","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","boussole.jeunes.gouv.fr/185.194.82.154","443","INFO","not offered","",""
"cipherlist_NULL","boussole.jeunes.gouv.fr/185.194.82.154","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","boussole.jeunes.gouv.fr/185.194.82.154","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","boussole.jeunes.gouv.fr/185.194.82.154","443","OK","not offered","","CWE-327"
"cipherlist_LOW","boussole.jeunes.gouv.fr/185.194.82.154","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","boussole.jeunes.gouv.fr/185.194.82.154","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","boussole.jeunes.gouv.fr/185.194.82.154","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","boussole.jeunes.gouv.fr/185.194.82.154","443","OK","offered","",""
"cipherlist_STRONG","boussole.jeunes.gouv.fr/185.194.82.154","443","OK","offered","",""
"cipher_order","boussole.jeunes.gouv.fr/185.194.82.154","443","OK","server","",""
"protocol_negotiated","boussole.jeunes.gouv.fr/185.194.82.154","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","boussole.jeunes.gouv.fr/185.194.82.154","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","boussole.jeunes.gouv.fr/185.194.82.154","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","boussole.jeunes.gouv.fr/185.194.82.154","443","OK","offered","",""
"FS_ciphers","boussole.jeunes.gouv.fr/185.194.82.154","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","boussole.jeunes.gouv.fr/185.194.82.154","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","boussole.jeunes.gouv.fr/185.194.82.154","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","boussole.jeunes.gouv.fr/185.194.82.154","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","boussole.jeunes.gouv.fr/185.194.82.154","443","INFO","yes","",""
"sessionresumption_ticket","boussole.jeunes.gouv.fr/185.194.82.154","443","INFO","not supported","",""
"sessionresumption_ID","boussole.jeunes.gouv.fr/185.194.82.154","443","INFO","supported","",""
"TLS_timestamp","boussole.jeunes.gouv.fr/185.194.82.154","443","INFO","random","",""
"clientAuth","boussole.jeunes.gouv.fr/185.194.82.154","443","INFO","none","",""
"cert_numbers","boussole.jeunes.gouv.fr/185.194.82.154","443","INFO","1","",""
"cert_signatureAlgorithm","boussole.jeunes.gouv.fr/185.194.82.154","443","OK","SHA256 with RSA","",""
"cert_keySize","boussole.jeunes.gouv.fr/185.194.82.154","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","boussole.jeunes.gouv.fr/185.194.82.154","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","boussole.jeunes.gouv.fr/185.194.82.154","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","boussole.jeunes.gouv.fr/185.194.82.154","443","INFO","32C3990F711DC67FB29A12554BD93ADD","",""
"cert_fingerprintSHA1","boussole.jeunes.gouv.fr/185.194.82.154","443","INFO","BABEA5381BB1767F6D62FC21F82CCBD823F9AA18","",""
"cert_fingerprintSHA256","boussole.jeunes.gouv.fr/185.194.82.154","443","INFO","359B22EC894DC32D2B01E55BE6BED136515FD2BEDE758279B5264E47CA84304D","",""
