"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","carnets.fabrique.social.gouv.fr/51.11.227.220","443","INFO","HTTP","",""
"pre_128cipher","carnets.fabrique.social.gouv.fr/51.11.227.220","443","INFO","No 128 cipher limit bug","",""
"SSLv2","carnets.fabrique.social.gouv.fr/51.11.227.220","443","OK","not offered","",""
"SSLv3","carnets.fabrique.social.gouv.fr/51.11.227.220","443","OK","not offered","",""
"TLS1","carnets.fabrique.social.gouv.fr/51.11.227.220","443","INFO","not offered","",""
"TLS1_1","carnets.fabrique.social.gouv.fr/51.11.227.220","443","INFO","is not offered","",""
"TLS1_2","carnets.fabrique.social.gouv.fr/51.11.227.220","443","OK","offered","",""
"TLS1_3","carnets.fabrique.social.gouv.fr/51.11.227.220","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","carnets.fabrique.social.gouv.fr/51.11.227.220","443","OK","h2","",""
"ALPN","carnets.fabrique.social.gouv.fr/51.11.227.220","443","INFO","http/1.1","",""
"cipherlist_NULL","carnets.fabrique.social.gouv.fr/51.11.227.220","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","carnets.fabrique.social.gouv.fr/51.11.227.220","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","carnets.fabrique.social.gouv.fr/51.11.227.220","443","OK","not offered","","CWE-327"
"cipherlist_LOW","carnets.fabrique.social.gouv.fr/51.11.227.220","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","carnets.fabrique.social.gouv.fr/51.11.227.220","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","carnets.fabrique.social.gouv.fr/51.11.227.220","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","carnets.fabrique.social.gouv.fr/51.11.227.220","443","INFO","not offered","",""
"cipherlist_STRONG","carnets.fabrique.social.gouv.fr/51.11.227.220","443","OK","offered","",""
"cipher_order","carnets.fabrique.social.gouv.fr/51.11.227.220","443","OK","server","",""
"protocol_negotiated","carnets.fabrique.social.gouv.fr/51.11.227.220","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","carnets.fabrique.social.gouv.fr/51.11.227.220","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","carnets.fabrique.social.gouv.fr/51.11.227.220","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","carnets.fabrique.social.gouv.fr/51.11.227.220","443","OK","offered","",""
"FS_ciphers","carnets.fabrique.social.gouv.fr/51.11.227.220","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","carnets.fabrique.social.gouv.fr/51.11.227.220","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","carnets.fabrique.social.gouv.fr/51.11.227.220","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
