"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","covid-19.sante.gouv.fr/51.11.227.220","443","INFO","HTTP","",""
"pre_128cipher","covid-19.sante.gouv.fr/51.11.227.220","443","INFO","No 128 cipher limit bug","",""
"SSLv2","covid-19.sante.gouv.fr/51.11.227.220","443","OK","not offered","",""
"SSLv3","covid-19.sante.gouv.fr/51.11.227.220","443","OK","not offered","",""
"TLS1","covid-19.sante.gouv.fr/51.11.227.220","443","INFO","not offered","",""
"TLS1_1","covid-19.sante.gouv.fr/51.11.227.220","443","INFO","is not offered","",""
"TLS1_2","covid-19.sante.gouv.fr/51.11.227.220","443","OK","offered","",""
"TLS1_3","covid-19.sante.gouv.fr/51.11.227.220","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","covid-19.sante.gouv.fr/51.11.227.220","443","OK","h2","",""
"ALPN","covid-19.sante.gouv.fr/51.11.227.220","443","INFO","http/1.1","",""
"cipherlist_NULL","covid-19.sante.gouv.fr/51.11.227.220","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","covid-19.sante.gouv.fr/51.11.227.220","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","covid-19.sante.gouv.fr/51.11.227.220","443","OK","not offered","","CWE-327"
"cipherlist_LOW","covid-19.sante.gouv.fr/51.11.227.220","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","covid-19.sante.gouv.fr/51.11.227.220","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","covid-19.sante.gouv.fr/51.11.227.220","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","covid-19.sante.gouv.fr/51.11.227.220","443","INFO","not offered","",""
"cipherlist_STRONG","covid-19.sante.gouv.fr/51.11.227.220","443","OK","offered","",""
"cipher_order","covid-19.sante.gouv.fr/51.11.227.220","443","OK","server","",""
"protocol_negotiated","covid-19.sante.gouv.fr/51.11.227.220","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","covid-19.sante.gouv.fr/51.11.227.220","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","covid-19.sante.gouv.fr/51.11.227.220","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","covid-19.sante.gouv.fr/51.11.227.220","443","OK","offered","",""
"FS_ciphers","covid-19.sante.gouv.fr/51.11.227.220","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","covid-19.sante.gouv.fr/51.11.227.220","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","covid-19.sante.gouv.fr/51.11.227.220","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","covid-19.sante.gouv.fr/51.11.227.220","443","INFO","valid for 600 seconds only (<daily)","",""
"SSL_sessionID_support","covid-19.sante.gouv.fr/51.11.227.220","443","INFO","yes","",""
"sessionresumption_ticket","covid-19.sante.gouv.fr/51.11.227.220","443","INFO","not supported","",""
"sessionresumption_ID","covid-19.sante.gouv.fr/51.11.227.220","443","INFO","not supported","",""
"TLS_timestamp","covid-19.sante.gouv.fr/51.11.227.220","443","INFO","random","",""
"clientAuth","covid-19.sante.gouv.fr/51.11.227.220","443","INFO","none","",""
"cert_numbers","covid-19.sante.gouv.fr/51.11.227.220","443","INFO","1","",""
"cert_signatureAlgorithm","covid-19.sante.gouv.fr/51.11.227.220","443","OK","SHA256 with RSA","",""
"cert_keySize","covid-19.sante.gouv.fr/51.11.227.220","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","covid-19.sante.gouv.fr/51.11.227.220","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","covid-19.sante.gouv.fr/51.11.227.220","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","covid-19.sante.gouv.fr/51.11.227.220","443","INFO","8F5179A4E5B219B20D97F5E7A847261C","",""
"cert_fingerprintSHA1","covid-19.sante.gouv.fr/51.11.227.220","443","INFO","90EFF59145032C408BBE8BD82A506E7847CD1FA1","",""
