"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","INFO","HTTP","",""
"pre_128cipher","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","INFO","No 128 cipher limit bug","",""
"SSLv2","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","OK","not offered","",""
"SSLv3","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","OK","not offered","",""
"TLS1","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","INFO","not offered","",""
"TLS1_1","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","INFO","not offered","",""
"TLS1_2","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","OK","offered","",""
"TLS1_3","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","INFO","not offered","",""
"cipherlist_NULL","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","OK","not offered","","CWE-327"
"cipherlist_LOW","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","INFO","not offered","",""
"cipherlist_STRONG_FS","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","OK","offered","",""
"cipher_order-tls1_2","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","OK","server","",""
"cipherorder_TLSv1_2","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","OK","server","",""
"FS","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","OK","offered","",""
"FS_ciphers","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","INFO","yes","",""
"sessionresumption_ticket","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","INFO","not supported","",""
"sessionresumption_ID","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","INFO","supported","",""
"TLS_timestamp","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","INFO","random","",""
"cert_compression","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","INFO","N/A","",""
"clientAuth","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","INFO","none","",""
"cert_numbers","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","INFO","1","",""
"cert_signatureAlgorithm","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","OK","SHA256 with RSA","",""
"cert_keySize","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","OK","RSA 3072 bits (exponent is 65537)","",""
"cert_keyUsage","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","INFO","317D7DB9B30325A4F46F35456958A6A4","",""
"cert_serialNumberLen","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","INFO","16","",""
"cert_fingerprintSHA1","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","INFO","52743794FD5297AAD2FDDE03DE757F612A509BEF","",""
"cert_fingerprintSHA256","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","INFO","C0801F8274C902F1E4B3AEDC27D059905FDB09E7236CC2B780A05B786F20A307","",""
"cert","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","INFO","-----BEGIN CERTIFICATE-----\nMIIJhjCCB26gAwIBAgIQMX19ubMDJaT0bzVFaVimpDANBgkqhkiG9w0BAQsFADB9MQswCQYDVQQGEwJGUjESMBAGA1UECgwJREhJTVlPVElTMRwwGgYDVQQLDBMwMDAyIDQ4MTQ2MzA4MTAwMDM2MR0wGwYDVQRhDBROVFJGUi00ODE0NjMwODEwMDAzNjEdMBsGA1UEAwwUQ2VydGlnbmEgU2VydmljZXMgQ0EwHhcNMjQxMDIxMjIwMDAwWhcNMjUxMTE0MjI1OTU5WjCBpzELMAkGA1UEBhMCRlIxDjAMBgNVBAcMBVBBUklTMUEwPwYDVQQKDDhTRUNSRVRBUklBVCBHRU5FUkFMIE1JTklTVEVSRVMgQ0hBUkdFUyBBRkZBSVJFUyBTT0NJQUxFUzEwMC4GA1UEAwwnZGF0YWNvbGxlY3RlLmVxdWlwZW1lbnRzLnNwb3J0cy5nb3V2LmZyMRMwEQYDVQQFEwpTMzI1NDgyMzg3MIIBojANBgkqhkiG9w0BAQEFAAOCAY8AMIIBigKCAYEAtMKMNz1DnsgqMD3f/3+VgF1qsluzAUaja5eGICf58RurKf8uuk1S5lsruMIb3QeBDsrCHpPaG4SXgUUUPGX61ngVBIAYSmjYQTTo3CihAh9fa84m/oUgZncQ8ShQlWJfV+mZz9dEXgxlV4Uv4qeIgGZzwi6mmX8fdkMHGbc8FXP4GjwT9DzSuHzFqxW1fkHgXG60lyrVgajd57xlA0rpuOFGP4l0Z739KPF7n4KWYAEFmaFeTt55U9suLqiWozRpbFlHwP6i1fw/ja5hGfxGOLX8hHTYyAX4SBJts7GLgU91FRvFTT6DHbGUhBLvj4k+9khIJ6qgmyKJqiRzYXC7xdvAXNQ3vUbK3BXxMAqE+/qadnVv2WGEoIxUH01OYn7HKSpEooCwTxPO9GPvo6XhcwzjmtQsB2WhNTx/4+fDXNbutA3+Iu+N+6aJlPSXpvk8v05eiuC6b1OTOcjK40bAdkhfqtmT2Bvzc9ormLYDFhR6akhguwuBHKFN5na0wH0jAgMBAAGjggRVMIIEUTCB5AYIKwYBBQUHAQEEgdcwgdQwNgYIKwYBBQUHMAKGKmh0dHA6Ly9hdXRvcml0ZS5jZXJ0aWduYS5mci9zZXJ2aWNlc2NhLmRlcjA4BggrBgEFBQcwAoYsaHR0cDovL2F1dG9yaXRlLmRoaW15b3Rpcy5jb20vc2VydmljZXNjYS5kZXIwLgYIKwYBBQUHMAGGImh0dHA6Ly9zZXJ2aWNlc2NhLm9jc3AuY2VydGlnbmEuZnIwMAYIKwYBBQUHMAGGJGh0dHA6Ly9zZXJ2aWNlc2NhLm9jc3AuZGhpbXlvdGlzLmNvbTAfBgNVHSMEGDAWgBSs7IaPSzccuH8XGxnQruhO4zRcEjAMBgNVHRMBAf8EAjAAMGEGA1UdIARaMFgwCAYGZ4EMAQICMEwGCyqBegGBMQIFAQECMD0wOwYIKwYBBQUHAgEWL2h0dHBzOi8vd3d3LmNlcnRpZ25hLmNvbS9hdXRvcml0ZS1jZXJ0aWZpY2F0aW9uMGUGA1UdHwReMFwwK6ApoCeGJWh0dHA6Ly9jcmwuY2VydGlnbmEuZnIvc2VydmljZXNjYS5jcmwwLaAroCmGJ2h0dHA6Ly9jcmwuZGhpbXlvdGlzLmNvbS9zZXJ2aWNlc2NhLmNybDATBgNVHSUEDDAKBggrBgEFBQcDATAOBgNVHQ8BAf8EBAMCBaAwMgYDVR0RBCswKYInZGF0YWNvbGxlY3RlLmVxdWlwZW1lbnRzLnNwb3J0cy5nb3V2LmZyMB0GA1UdDgQWBBS4fB7FfHUqMx0Su6osaBmSiPGHUzCCAfUGCisGAQQB1nkCBAIEggHlBIIB4QHfAHUAKOKBOP2DIUXpqdaqdTdtg3eohRKzwH9yQUgh3L3pjGYAAAGSs3JUxgAABAMARjBEAiAfpMrkSXW9fc8q4k2OGmKw58PBKSBfix2H3DfwcxMrIwIgWMO1I+gUJjDATyOcsR9F1Y950eTpTlHU/A7klqvoaHYAdwAN4fIwK9MNwUBiEgnqVS78R3R8sdfpMO8OQh60fk6qNAAAAZKzclMVAAAEAwBIMEYCIQDags9er85gFoZ3++V0xg98O+oUmFA6HBFZTbTd2wWMWAIhAPA0QqXiCPo52SUR2wsgZXkmnGsoWiQ+dsqQ8qIuMstyAHUA3dzKNJXX4RYF55Uy+sef+D0cUN/bADoUEnYKLKy7yCoAAAGSs3JR9gAABAMARjBEAiAesauC1Ip0r2fJkVYWuOED4KDP8jSTXTzfLV+CxcoWkgIgFQ+3mnwZPIH9EJjhRUY8wDH6cPoSpnEDvAsWggGBKo4AdgAaBP9J0FQdQK/2oMO/8djEZy9O7O4jQGiYaxdALtyJfQAAAZKzclRaAAAEAwBHMEUCIQDx67ZUKyM/kpuLLCgPG+u/1mQIyWsxGWh+GPXcSTFRpgIgMzbHZFosM1O++JdaEmg4m5vNQmwtNZfASxA9JYbs3vMwDQYJKoZIhvcNAQELBQADggIBAEM4RMBC7iowkNF2M38rHnzGs94QhYiVjnoIyTjuGWOnvTlur/cswle+L++rtC3lEWUez7QcPSq8S7BigRZavr9NKyVhQPaGneGbqlyDXgCTKfiS7lOfPwvDM42srYYuM3Ew7MvghAkDRNfTWUXEy5hQE6Hedbw/VKSuH79gLeL7ryGSKsiWt6c0UJTEV79aayds3xMXD6rqxRf+ZxU6MhKK4ieabNt3vAlk3BnNBDJWPuARpjW9tXJcjzuI76VTkaHWzFnoccAgx3NLRBDyj36fLI90DgQDdjW6nvSs5TyLuwloPR889p8HFKf6VX4XutHQacBLsCacnbuOXGxwVWGWbW215MQWoPyJ5qro3Hdn1CiZ2OXTx5kxsP/xc+zhvlbm9v+ki30gL+67keuapfTFdaNHpwbPoaoGtuyz7xUC00Vs6JmJPTz7uNUPzVoy9r15pHqC/lUfSGt25dNJOVFZprS+R1DjP+M6m/JT90btT0JNoAYx03B3v0S6K+q3WgmbQAflTLu41GKQ8iYHQMPG/bYxaLyjivGi3u5szYFKg35hDVroRpvQPSz4mJqHqXVqA4i0kLpcgZDAtmorvNAGqAKAEVSyHqaYVZXoRfn48wcYCoSpeMfutDXYYE9lkHlsl7s7UYgKupOuYHNbHQM8h9b2YGSJq5XI5mFkftlh\n-----END CERTIFICATE-----","",""
"cert_commonName","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","OK","datacollecte.equipements.sports.gouv.fr","",""
"cert_commonName_wo_SNI","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","INFO","datacollecte.equipements.sports.gouv.fr","",""
"cert_subjectAltName","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","INFO","datacollecte.equipements.sports.gouv.fr","",""
"cert_trust","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","OK","Ok via SAN and CN (same w/o SNI)","",""
"cert_chain_of_trust","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","OK","passed.","",""
"cert_certificatePolicies_EV","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","INFO","no","",""
"cert_expirationStatus","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","OK","334 >= 60 days","",""
"cert_notBefore","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","INFO","2024-10-21 22:00","",""
"cert_notAfter","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","OK","2025-11-14 22:59","",""
"cert_extlifeSpan","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","INFO","not present","",""
"cert_crlDistributionPoints","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","INFO","http://crl.certigna.fr/servicesca.crl http://crl.dhimyotis.com/servicesca.crl","",""
"cert_ocspURL","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","INFO","http://servicesca.ocsp.certigna.fr http://servicesca.ocsp.dhimyotis.com","",""
"OCSP_stapling","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","LOW","not offered","",""
"cert_mustStapleExtension","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","INFO","--","",""
"DNS_CAArecord","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","LOW","--","",""
"certificate_transparency","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","OK","yes (certificate extension)","",""
"certs_countServer","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","INFO","2","",""
"certs_list_ordering_problem","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","INFO","no","",""
"cert_caIssuers","datacollecte.equipements.sports.gouv.fr/185.194.82.176","443","INFO","Certigna Services CA (DHIMYOTIS from FR)","",""
