"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","developpement-durable.sports.gouv.fr/185.75.143.93","443","INFO","HTTP","",""
"pre_128cipher","developpement-durable.sports.gouv.fr/185.75.143.93","443","INFO","No 128 cipher limit bug","",""
"SSLv2","developpement-durable.sports.gouv.fr/185.75.143.93","443","OK","not offered","",""
"SSLv3","developpement-durable.sports.gouv.fr/185.75.143.93","443","OK","not offered","",""
"TLS1","developpement-durable.sports.gouv.fr/185.75.143.93","443","INFO","not offered","",""
"TLS1_1","developpement-durable.sports.gouv.fr/185.75.143.93","443","INFO","not offered","",""
"TLS1_2","developpement-durable.sports.gouv.fr/185.75.143.93","443","OK","offered","",""
"TLS1_3","developpement-durable.sports.gouv.fr/185.75.143.93","443","OK","offered with final","",""
"ALPN_HTTP2","developpement-durable.sports.gouv.fr/185.75.143.93","443","OK","h2","",""
"ALPN","developpement-durable.sports.gouv.fr/185.75.143.93","443","INFO","http/1.1","",""
"cipherlist_NULL","developpement-durable.sports.gouv.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","developpement-durable.sports.gouv.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","developpement-durable.sports.gouv.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_LOW","developpement-durable.sports.gouv.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","developpement-durable.sports.gouv.fr/185.75.143.93","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","developpement-durable.sports.gouv.fr/185.75.143.93","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","developpement-durable.sports.gouv.fr/185.75.143.93","443","INFO","not offered","",""
"cipherlist_STRONG_FS","developpement-durable.sports.gouv.fr/185.75.143.93","443","OK","offered","",""
"scanProblem","developpement-durable.sports.gouv.fr/185.75.143.93","443","FATAL","repeated TCP connect problems, giving up","",""
