"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","drdjscs.gouv.fr/185.194.82.162","443","INFO","HTTP","",""
"pre_128cipher","drdjscs.gouv.fr/185.194.82.162","443","INFO","No 128 cipher limit bug","",""
"SSLv2","drdjscs.gouv.fr/185.194.82.162","443","OK","not offered","",""
"SSLv3","drdjscs.gouv.fr/185.194.82.162","443","OK","not offered","",""
"TLS1","drdjscs.gouv.fr/185.194.82.162","443","INFO","not offered","",""
"TLS1_1","drdjscs.gouv.fr/185.194.82.162","443","INFO","not offered","",""
"TLS1_2","drdjscs.gouv.fr/185.194.82.162","443","OK","offered","",""
"TLS1_3","drdjscs.gouv.fr/185.194.82.162","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","drdjscs.gouv.fr/185.194.82.162","443","INFO","not offered","",""
"cipherlist_NULL","drdjscs.gouv.fr/185.194.82.162","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","drdjscs.gouv.fr/185.194.82.162","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","drdjscs.gouv.fr/185.194.82.162","443","OK","not offered","","CWE-327"
"cipherlist_LOW","drdjscs.gouv.fr/185.194.82.162","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","drdjscs.gouv.fr/185.194.82.162","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","drdjscs.gouv.fr/185.194.82.162","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","drdjscs.gouv.fr/185.194.82.162","443","INFO","not offered","",""
"cipherlist_STRONG","drdjscs.gouv.fr/185.194.82.162","443","OK","offered","",""
"cipher_order","drdjscs.gouv.fr/185.194.82.162","443","OK","server","",""
"protocol_negotiated","drdjscs.gouv.fr/185.194.82.162","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","drdjscs.gouv.fr/185.194.82.162","443","OK","ECDHE-RSA-AES256-GCM-SHA384, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","drdjscs.gouv.fr/185.194.82.162","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"FS","drdjscs.gouv.fr/185.194.82.162","443","OK","offered","",""
"FS_ciphers","drdjscs.gouv.fr/185.194.82.162","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","drdjscs.gouv.fr/185.194.82.162","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","drdjscs.gouv.fr/185.194.82.162","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","drdjscs.gouv.fr/185.194.82.162","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","drdjscs.gouv.fr/185.194.82.162","443","INFO","yes","",""
"sessionresumption_ticket","drdjscs.gouv.fr/185.194.82.162","443","INFO","not supported","",""
"sessionresumption_ID","drdjscs.gouv.fr/185.194.82.162","443","INFO","supported","",""
"TLS_timestamp","drdjscs.gouv.fr/185.194.82.162","443","INFO","random","",""
"clientAuth","drdjscs.gouv.fr/185.194.82.162","443","INFO","none","",""
"cert_numbers","drdjscs.gouv.fr/185.194.82.162","443","INFO","1","",""
"cert_signatureAlgorithm","drdjscs.gouv.fr/185.194.82.162","443","OK","SHA256 with RSA","",""
"cert_keySize","drdjscs.gouv.fr/185.194.82.162","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","drdjscs.gouv.fr/185.194.82.162","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","drdjscs.gouv.fr/185.194.82.162","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","drdjscs.gouv.fr/185.194.82.162","443","INFO","A3E90693B4ED8A7D5A402E68BB0B0D8D","",""
"cert_fingerprintSHA1","drdjscs.gouv.fr/185.194.82.162","443","INFO","DE0C1A1FD0E0CB1E068A2253FC27E7C6A2111779","",""
"cert_fingerprintSHA256","drdjscs.gouv.fr/185.194.82.162","443","INFO","DE83493B597034A57AD20FCA2219A4AF92CF26BB1E6791D351133FE906FC155F","",""
"cert","drdjscs.gouv.fr/185.194.82.162","443","INFO","-----BEGIN CERTIFICATE----- MIIIGDCCBgCgAwIBAgIRAKPpBpO07Yp9WkAuaLsLDY0wDQYJKoZIhvcNAQELBQAw fTELMAkGA1UEBhMCRlIxEjAQBgNVBAoMCURISU1ZT1RJUzEcMBoGA1UECwwTMDAw MiA0ODE0NjMwODEwMDAzNjEdMBsGA1UEYQwUTlRSRlItNDgxNDYzMDgxMDAwMzYx HTAbBgNVBAMMFENlcnRpZ25hIFNlcnZpY2VzIENBMB4XDTIxMDEyODIzMDAwMFoX DTIyMDEyODIyNTk1OVowgbAxCzAJBgNVBAYTAkZSMQ4wDAYDVQQHDAVQQVJJUzFB MD8GA1UECgw4U0VDUkVUQVJJQVQgR0VORVJBTCBNSU5JU1RFUkVTIENIQVJHRVMg QUZGQUlSRVMgU09DSUFMRVMxHDAaBgNVBAsMEzAwMDIgMTMwMDA2ODAyMDAwMTYx HDAaBgNVBAMME3d3dy5kcmRqc2NzLmdvdXYuZnIxEjAQBgNVBAUTCVMxODkwNTAy MzCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAKy2jLYg5jt8u4yqinf5 UHW8/KE3VKkhl/Bp/Cc70bX4QrLu87XGRxqfNJkl44fJqb5FMyqryrxhjimrxfLV 1AUHKP0bCHnDKaurBCDap/w/j9Fm+S4eofyGwiYiPKItQIBbr0NFtRVjvZQmtfgg NGvoCP65Hi2BOClCoBSQLazFgyzyNjAvSz2Lt5DQGGbvL0DE593FsLGnt7RekD3Y cv7AvrlgBM/nPMK3unmhZwJkOrOa9VVlHnwfNMQAm71CvX5ijvcytZoU8SF0FLov pzVG+oQQzDEh+Q23MPwxg2jARIOGu4e9TQ6LU97ZVIFTJbi1yu96S3farPk43exy bHUCAwEAAaOCA10wggNZMIHkBggrBgEFBQcBAQSB1zCB1DA2BggrBgEFBQcwAoYq aHR0cDovL2F1dG9yaXRlLmNlcnRpZ25hLmZyL3NlcnZpY2VzY2EuZGVyMDgGCCsG AQUFBzAChixodHRwOi8vYXV0b3JpdGUuZGhpbXlvdGlzLmNvbS9zZXJ2aWNlc2Nh LmRlcjAwBggrBgEFBQcwAYYkaHR0cDovL3NlcnZpY2VzY2Eub2NzcC5kaGlteW90 aXMuY29tMC4GCCsGAQUFBzABhiJodHRwOi8vc2VydmljZXNjYS5vY3NwLmNlcnRp Z25hLmZyMB8GA1UdIwQYMBaAFKzsho9LNxy4fxcbGdCu6E7jNFwSMAkGA1UdEwQC MAAwYQYDVR0gBFowWDAIBgZngQwBAgIwTAYLKoF6AYExAgUBAQEwPTA7BggrBgEF BQcCARYvaHR0cHM6Ly93d3cuY2VydGlnbmEuY29tL2F1dG9yaXRlLWNlcnRpZmlj YXRpb24wZQYDVR0fBF4wXDAroCmgJ4YlaHR0cDovL2NybC5jZXJ0aWduYS5mci9z ZXJ2aWNlc2NhLmNybDAtoCugKYYnaHR0cDovL2NybC5kaGlteW90aXMuY29tL3Nl cnZpY2VzY2EuY3JsMBMGA1UdJQQMMAoGCCsGAQUFBwMBMA4GA1UdDwEB/wQEAwIF oDAvBgNVHREEKDAmghN3d3cuZHJkanNjcy5nb3V2LmZygg9kcmRqc2NzLmdvdXYu ZnIwHQYDVR0OBBYEFGGNDoesbkkx3G+scNFOkh5J1hs3MIIBAwYKKwYBBAHWeQIE AgSB9ASB8QDvAHYARqVV63X6kSAwtaKJafTzfREsQXS+/Um4havy/HD+bUcAAAF3 TZ3AGQAABAMARzBFAiADNoVjk5G0ahqc4XWSwTJg7JAGixEKLNrenyryeyBnmQIh ANRSY5a2JUTYaWQ6wtU02rf3+glyPLIfoDzvuNWztEnVAHUAb1N2rDHwMRnYmQCk URX/dxUcEdkCwQApBo2yCJo32RMAAAF3TZ3DCQAABAMARjBEAiAmNhd/t9WARrxD FvVs2YzGWzKxG++Izp+/fIEZWvxnLAIgTY6T/CNxfT9Dea8uKmOVG0Vx0MlhugPy 4UyAfVb9DxYwDQYJKoZIhvcNAQELBQADggIBAJqknSEEP79kl1ibpOV+2UWOOwO0 U0ppQlBxIhk9pFtulywOVcZEAY9KlG9td+C9nQJgMQX/3OZyKklZZKFVA123/UZp rVjfUJmsXYz8ivxnMN1+n9VKvLy1cWxg73+Dr5XANtDQjkSXzL0xIlCIPsACQSpn wEcGjbJep4guJuyB4TERI85+PXLpzx6qKeAGDwHoFn15HvGFltllExwyJUKIQ0SR 0EbQCpyjikBxKuAju892TF8gxkov13faFi7IFYFVYtCCZDxAsNFcup43AGQp/nEf jeNapWnYIYojBVypJsd5SiIwnM1xwMh84VX/8mjGBFYK9u20dnd7epAlM60l0t82 fUE9PU8mRPyhULzbww1QmSOCmFNJ9EEaoh+NPiWhKRtnA2lyd2J9sArBnU4dP66/ lK/TtQakuTRwXkmHED8YgbdZ0Wz7NOyF9itTapBIQwzuC8j94Ht7745DtFBPu+7f tR5Q4Q9nXsB7jeSNbW3Htr5UrVFjR/f8+mkwR0+dLNgzxG0Xf51ZDXpIC7pDtEBj UGMwESwjPsZ0eaeOMMyIw7F13kzGDNoKje9yAb18MpEQ89Y6rSVQGlYjbBfgFgkW +F/FWdzRKknP55IByBHrF/8JSjy3WwJC2klG/qR0LX+hWc6gwUPNWFgCDC45tPF9 AUwR3TpUGeuYwrVc -----END CERTIFICATE-----","",""
"cert_commonName","drdjscs.gouv.fr/185.194.82.162","443","OK","www.drdjscs.gouv.fr","",""
"cert_commonName_wo_SNI","drdjscs.gouv.fr/185.194.82.162","443","INFO","www.drdjscs.gouv.fr","",""
"cert_subjectAltName","drdjscs.gouv.fr/185.194.82.162","443","INFO","www.drdjscs.gouv.fr drdjscs.gouv.fr","",""
"cert_trust","drdjscs.gouv.fr/185.194.82.162","443","OK","Ok via SAN (same w/o SNI)","",""
"cert_chain_of_trust","drdjscs.gouv.fr/185.194.82.162","443","CRITICAL","Some certificate trust checks failed -> Java (chain incomplete)  , OK -> Mozilla Microsoft Linux Apple","",""
"cert_certificatePolicies_EV","drdjscs.gouv.fr/185.194.82.162","443","INFO","no","",""
