"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","drdjscs.gouv.fr/185.75.143.22","443","INFO","HTTP","",""
"pre_128cipher","drdjscs.gouv.fr/185.75.143.22","443","INFO","No 128 cipher limit bug","",""
"SSLv2","drdjscs.gouv.fr/185.75.143.22","443","OK","not offered","",""
"SSLv3","drdjscs.gouv.fr/185.75.143.22","443","OK","not offered","",""
"TLS1","drdjscs.gouv.fr/185.75.143.22","443","INFO","not offered","",""
"TLS1_1","drdjscs.gouv.fr/185.75.143.22","443","INFO","not offered","",""
"TLS1_2","drdjscs.gouv.fr/185.75.143.22","443","OK","offered","",""
"TLS1_3","drdjscs.gouv.fr/185.75.143.22","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","drdjscs.gouv.fr/185.75.143.22","443","OK","h2","",""
"ALPN","drdjscs.gouv.fr/185.75.143.22","443","INFO","http/1.1","",""
"cipherlist_NULL","drdjscs.gouv.fr/185.75.143.22","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","drdjscs.gouv.fr/185.75.143.22","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","drdjscs.gouv.fr/185.75.143.22","443","OK","not offered","","CWE-327"
"cipherlist_LOW","drdjscs.gouv.fr/185.75.143.22","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","drdjscs.gouv.fr/185.75.143.22","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","drdjscs.gouv.fr/185.75.143.22","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","drdjscs.gouv.fr/185.75.143.22","443","INFO","not offered","",""
"cipherlist_STRONG","drdjscs.gouv.fr/185.75.143.22","443","OK","offered","",""
"cipher_order-tls1_2","drdjscs.gouv.fr/185.75.143.22","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","drdjscs.gouv.fr/185.75.143.22","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 384   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","drdjscs.gouv.fr/185.75.143.22","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 4096    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","drdjscs.gouv.fr/185.75.143.22","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 384   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","drdjscs.gouv.fr/185.75.143.22","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 4096    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","drdjscs.gouv.fr/185.75.143.22","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","drdjscs.gouv.fr/185.75.143.22","443","INFO","NOT a cipher order configured","",""
"protocol_negotiated","drdjscs.gouv.fr/185.75.143.22","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","drdjscs.gouv.fr/185.75.143.22","443","OK","DHE-RSA-AES128-GCM-SHA256, 4096 bit DH  (limited sense as client will pick)","",""
"FS","drdjscs.gouv.fr/185.75.143.22","443","OK","offered","",""
"FS_ciphers","drdjscs.gouv.fr/185.75.143.22","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","drdjscs.gouv.fr/185.75.143.22","443","OK","secp384r1","",""
"TLS_extensions","drdjscs.gouv.fr/185.75.143.22","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'status request/#5' 'heartbeat/#15'","",""
