"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","drees.solidarites-sante.gouv.fr/185.194.82.72","443","INFO","HTTP","",""
"pre_128cipher","drees.solidarites-sante.gouv.fr/185.194.82.72","443","INFO","No 128 cipher limit bug","",""
"SSLv2","drees.solidarites-sante.gouv.fr/185.194.82.72","443","OK","not offered","",""
"SSLv3","drees.solidarites-sante.gouv.fr/185.194.82.72","443","OK","not offered","",""
"TLS1","drees.solidarites-sante.gouv.fr/185.194.82.72","443","INFO","not offered","",""
"TLS1_1","drees.solidarites-sante.gouv.fr/185.194.82.72","443","INFO","not offered","",""
"TLS1_2","drees.solidarites-sante.gouv.fr/185.194.82.72","443","OK","offered","",""
"TLS1_3","drees.solidarites-sante.gouv.fr/185.194.82.72","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","drees.solidarites-sante.gouv.fr/185.194.82.72","443","INFO","not offered","",""
"cipherlist_NULL","drees.solidarites-sante.gouv.fr/185.194.82.72","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","drees.solidarites-sante.gouv.fr/185.194.82.72","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","drees.solidarites-sante.gouv.fr/185.194.82.72","443","OK","not offered","","CWE-327"
"cipherlist_LOW","drees.solidarites-sante.gouv.fr/185.194.82.72","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","drees.solidarites-sante.gouv.fr/185.194.82.72","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","drees.solidarites-sante.gouv.fr/185.194.82.72","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","drees.solidarites-sante.gouv.fr/185.194.82.72","443","OK","offered","",""
"cipherlist_STRONG","drees.solidarites-sante.gouv.fr/185.194.82.72","443","OK","offered","",""
"cipher_order","drees.solidarites-sante.gouv.fr/185.194.82.72","443","OK","server","",""
"protocol_negotiated","drees.solidarites-sante.gouv.fr/185.194.82.72","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","drees.solidarites-sante.gouv.fr/185.194.82.72","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","drees.solidarites-sante.gouv.fr/185.194.82.72","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","drees.solidarites-sante.gouv.fr/185.194.82.72","443","OK","offered","",""
"FS_ciphers","drees.solidarites-sante.gouv.fr/185.194.82.72","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
