"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","election-tpe.travail.gouv.fr/194.5.109.200","443","DEBUG","Couldn't determine service, skipping all HTTP checks","",""
"pre_128cipher","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","No 128 cipher limit bug","",""
"SSLv2","election-tpe.travail.gouv.fr/194.5.109.200","443","OK","not offered","",""
"SSLv3","election-tpe.travail.gouv.fr/194.5.109.200","443","OK","not offered","",""
"TLS1","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","not offered","",""
"TLS1_1","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","not offered","",""
"TLS1_2","election-tpe.travail.gouv.fr/194.5.109.200","443","OK","offered","",""
"TLS1_3","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","not offered","",""
"cipherlist_NULL","election-tpe.travail.gouv.fr/194.5.109.200","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","election-tpe.travail.gouv.fr/194.5.109.200","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","election-tpe.travail.gouv.fr/194.5.109.200","443","OK","not offered","","CWE-327"
"cipherlist_LOW","election-tpe.travail.gouv.fr/194.5.109.200","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","election-tpe.travail.gouv.fr/194.5.109.200","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","not offered","",""
"cipherlist_STRONG","election-tpe.travail.gouv.fr/194.5.109.200","443","OK","offered","",""
"cipher_order-tls1_2","election-tpe.travail.gouv.fr/194.5.109.200","443","OK","server","",""
"cipherorder_TLSv1_2","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order","election-tpe.travail.gouv.fr/194.5.109.200","443","OK","server","",""
"protocol_negotiated","election-tpe.travail.gouv.fr/194.5.109.200","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","election-tpe.travail.gouv.fr/194.5.109.200","443","LOW","ECDHE-RSA-AES128-SHA, 256 bit ECDH (P-256) (cbc)","",""
"FS","election-tpe.travail.gouv.fr/194.5.109.200","443","OK","offered","",""
"FS_ciphers","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","election-tpe.travail.gouv.fr/194.5.109.200","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","yes","",""
"sessionresumption_ticket","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","not supported","",""
"sessionresumption_ID","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","supported","",""
"TLS_timestamp","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","random","",""
"cert_compression","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","N/A","",""
"clientAuth","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","none","",""
"cert_numbers","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","1","",""
"cert_signatureAlgorithm","election-tpe.travail.gouv.fr/194.5.109.200","443","OK","SHA256 with RSA","",""
"cert_keySize","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","07CC7A665C89D3E1FED7608CD12298D1","",""
"cert_serialNumberLen","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","16","",""
"cert_fingerprintSHA1","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","BF8058A9270DE580B58EB38A0701B8BDBF9739A2","",""
"cert_fingerprintSHA256","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","51D8B60CB20FA5F44A54DE4E9B57E3EE9D8E3F805A02FE3D11335F53A508165C","",""
"cert","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","-----BEGIN CERTIFICATE----- MIIGYTCCBUmgAwIBAgIQB8x6ZlyJ0+H+12CM0SKY0TANBgkqhkiG9w0BAQsFADBN MQswCQYDVQQGEwJVUzEVMBMGA1UEChMMRGlnaUNlcnQgSW5jMScwJQYDVQQDEx5E aWdpQ2VydCBTSEEyIFNlY3VyZSBTZXJ2ZXIgQ0EwHhcNMjAwODI1MDAwMDAwWhcN MjEwODI2MTIwMDAwWjB/MQswCQYDVQQGEwJGUjEaMBgGA1UEBxMRQ0hBUkVOVE9O LUxFLVBPTlQxETAPBgNVBAoTCERPQ0FQT1NUMRowGAYDVQQLExFESUdJVEFMIFNP TFVUSU9OUzElMCMGA1UEAxMcZWxlY3Rpb24tdHBlLnRyYXZhaWwuZ291di5mcjCC ASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAL2SbEOYDMyTQ8oYQwtHYMT4 b+iLrk8g+IKSIDc/C/4XhKKqhK0vSaOnxAoNtr/rMCaEl1g7wVXK3cON1a+FTfdv ctlSONGO2lpx4523jiehdJnCr2U2mEa2ix1FqmTtc7ufiCVa8k5oRqp9ZGLolbmT YKnqY8lHdk/WDKZFQewh9ua+P21rQHYIoGzpAs7hjeoUgVC3Cqj9qOxHz5EhYXOc 5ryMdl+6y8KB1Pmgre4QlvS6Kf2mDq9Y12RyOLWzJvx1asBrHsez9c9oZ5/FpaFr XkN2VNelOUUSXz/POwSZymRVGXiwoUERM+A88CIE+hrZgJ7CH6LroD33m4BvHZkC AwEAAaOCAwkwggMFMB8GA1UdIwQYMBaAFA+AYRyCMWHVLyjnjUY4tCzhxtniMB0G A1UdDgQWBBQAHVLH0+aZMyy2hvxgApOkrqj2GzBJBgNVHREEQjBAgiB3d3cuZWxl Y3Rpb24tdHBlLnRyYXZhaWwuZ291di5mcoIcZWxlY3Rpb24tdHBlLnRyYXZhaWwu Z291di5mcjAOBgNVHQ8BAf8EBAMCBaAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsG AQUFBwMCMGsGA1UdHwRkMGIwL6AtoCuGKWh0dHA6Ly9jcmwzLmRpZ2ljZXJ0LmNv bS9zc2NhLXNoYTItZzYuY3JsMC+gLaArhilodHRwOi8vY3JsNC5kaWdpY2VydC5j b20vc3NjYS1zaGEyLWc2LmNybDBMBgNVHSAERTBDMDcGCWCGSAGG/WwBATAqMCgG CCsGAQUFBwIBFhxodHRwczovL3d3dy5kaWdpY2VydC5jb20vQ1BTMAgGBmeBDAEC AjB8BggrBgEFBQcBAQRwMG4wJAYIKwYBBQUHMAGGGGh0dHA6Ly9vY3NwLmRpZ2lj ZXJ0LmNvbTBGBggrBgEFBQcwAoY6aHR0cDovL2NhY2VydHMuZGlnaWNlcnQuY29t L0RpZ2lDZXJ0U0hBMlNlY3VyZVNlcnZlckNBLmNydDAJBgNVHRMEAjAAMIIBAwYK KwYBBAHWeQIEAgSB9ASB8QDvAHYA9lyUL9F3MCIUVBgIMJRWjuNNExkzv98MLyAL zE7xZOMAAAF0JhUCwAAABAMARzBFAiA+510KCnRrP2onRuRyVlECUo74SeshXfs5 vy89NlvoIQIhAMogCoo/M29B1HsrtNH1XIh6JyLSH+Jbu03dOtmapxSaAHUAXNxD kv7mq0VEsV6a1FbmEDf71fpH3KFzlLJe5vbHDsoAAAF0JhUC3AAABAMARjBEAiBO aQbVfhGQAWS/RDWTxMwaeQmR1UG9T0hcnIYEb5pFJQIgIckqZ5WN7ZY5k0O0ihB0 J7SH4XyiEJ5uH0tiqUPGVbowDQYJKoZIhvcNAQELBQADggEBAKyXqiYp4FZrvTBr VO2e/wcd9UniVg6702mlb4ZDWE66EE2zoe2stxyPk4GAOsslFdoq5EkltwPhKJxL U+kvOBHCCLS1miDpDgPNehJ6sOjy8kjJeUALursYmevOe9uZB+fjNHVQncAW/aBN 4Q6ptAVQ7BpwMPpG46HIYEHAGvMkp67zs9bF/fgwWmzF1UJOgpz2t3uUw7BnyXA2 iaqwzTTRrOCkz+jSHcIVZZEd2uPxwLf7NabHBg+e7ADZjcR1pdXGfCJ+fS/MY7Sv Jk4NIIQF//DdR5LXsQDbQBsW0tNMU3EE3BI1LIH0oKh16iyyED0iHqZQkNL3qA2v JsbZrA4= -----END CERTIFICATE-----","",""
"cert_commonName","election-tpe.travail.gouv.fr/194.5.109.200","443","OK","election-tpe.travail.gouv.fr","",""
"cert_commonName_wo_SNI","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","election-tpe.travail.gouv.fr","",""
"cert_subjectAltName","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","www.election-tpe.travail.gouv.fr election-tpe.travail.gouv.fr","",""
"cert_trust","election-tpe.travail.gouv.fr/194.5.109.200","443","OK","Ok via SAN and CN (same w/o SNI)","",""
"cert_chain_of_trust","election-tpe.travail.gouv.fr/194.5.109.200","443","CRITICAL","failed (expired).","",""
"cert_certificatePolicies_EV","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","no","",""
"cert_expirationStatus","election-tpe.travail.gouv.fr/194.5.109.200","443","CRITICAL","expired","",""
"cert_notBefore","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","2020-08-25 00:00","",""
"cert_notAfter","election-tpe.travail.gouv.fr/194.5.109.200","443","CRITICAL","2021-08-26 12:00","",""
"cert_extlifeSpan","election-tpe.travail.gouv.fr/194.5.109.200","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","not present","",""
"cert_crlDistributionPoints","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","http://crl3.digicert.com/ssca-sha2-g6.crl http://crl4.digicert.com/ssca-sha2-g6.crl","",""
"cert_ocspURL","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","http://ocsp.digicert.com","",""
"OCSP_stapling","election-tpe.travail.gouv.fr/194.5.109.200","443","LOW","not offered","",""
"cert_mustStapleExtension","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","--","",""
"DNS_CAArecord","election-tpe.travail.gouv.fr/194.5.109.200","443","LOW","--","",""
"certificate_transparency","election-tpe.travail.gouv.fr/194.5.109.200","443","OK","yes (certificate extension)","",""
"certs_countServer","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","3","",""
"certs_list_ordering_problem","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","no","",""
"cert_caIssuers","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","DigiCert SHA2 Secure Server CA (DigiCert Inc from US)","",""
"intermediate_cert <#1>","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","-----BEGIN CERTIFICATE----- MIIElDCCA3ygAwIBAgIQAf2j627KdciIQ4tyS8+8kTANBgkqhkiG9w0BAQsFADBh MQswCQYDVQQGEwJVUzEVMBMGA1UEChMMRGlnaUNlcnQgSW5jMRkwFwYDVQQLExB3 d3cuZGlnaWNlcnQuY29tMSAwHgYDVQQDExdEaWdpQ2VydCBHbG9iYWwgUm9vdCBD QTAeFw0xMzAzMDgxMjAwMDBaFw0yMzAzMDgxMjAwMDBaME0xCzAJBgNVBAYTAlVT MRUwEwYDVQQKEwxEaWdpQ2VydCBJbmMxJzAlBgNVBAMTHkRpZ2lDZXJ0IFNIQTIg U2VjdXJlIFNlcnZlciBDQTCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEB ANyuWJBNwcQwFZA1W248ghX1LFy949v/cUP6ZCWA1O4Yok3wZtAKc24RmDYXZK83 nf36QYSvx6+M/hpzTc8zl5CilodTgyu5pnVILR1WN3vaMTIa16yrBvSqXUu3R0bd KpPDkC55gIDvEwRqFDu1m5K+wgdlTvza/P96rtxcflUxDOg5B6TXvi/TC2rSsd9f /ld0Uzs1gN2ujkSYs58O09rg1/RrKatEp0tYhG2SS4HD2nOLEpdIkARFdRrdNzGX kujNVA075ME/OV4uuPNcfhCOhkEAjUVmR7ChZc6gqikJTvOX6+guqw9ypzAO+sf0 /RR3w6RbKFfCs/mC/bdFWJsCAwEAAaOCAVowggFWMBIGA1UdEwEB/wQIMAYBAf8C AQAwDgYDVR0PAQH/BAQDAgGGMDQGCCsGAQUFBwEBBCgwJjAkBggrBgEFBQcwAYYY aHR0cDovL29jc3AuZGlnaWNlcnQuY29tMHsGA1UdHwR0MHIwN6A1oDOGMWh0dHA6 Ly9jcmwzLmRpZ2ljZXJ0LmNvbS9EaWdpQ2VydEdsb2JhbFJvb3RDQS5jcmwwN6A1 oDOGMWh0dHA6Ly9jcmw0LmRpZ2ljZXJ0LmNvbS9EaWdpQ2VydEdsb2JhbFJvb3RD QS5jcmwwPQYDVR0gBDYwNDAyBgRVHSAAMCowKAYIKwYBBQUHAgEWHGh0dHBzOi8v d3d3LmRpZ2ljZXJ0LmNvbS9DUFMwHQYDVR0OBBYEFA+AYRyCMWHVLyjnjUY4tCzh xtniMB8GA1UdIwQYMBaAFAPeUDVW0Uy7ZvCj4hsbw5eyPdFVMA0GCSqGSIb3DQEB CwUAA4IBAQAjPt9L0jFCpbZ+QlwaRMxp0Wi0XUvgBCFsS+JtzLHgl4+mUwnNqipl 5TlPHoOlblyYoiQm5vuh7ZPHLgLGTUq/sELfeNqzqPlt/yGFUzZgTHbO7Djc1lGA 8MXW5dRNJ2Srm8c+cftIl7gzbckTB+6WohsYFfZcTEDts8Ls/3HB40f/1LkAtDdC 2iDJ6m6K7hQGrn2iWZiIqBtvLfTyyRRfJs8sjX7tN8Cp1Tm5gr8ZDOo0rwAhaPit c+LJMto4JQtV05od8GiG7S5BNO98pVAdvzr508EIDObtHopYJeS4d60tbvVS3bR0 j6tJLp07kzQoH3jOlOrHvdPJbRzeXDLz -----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","154C433C491929C5EF686E838E323664A00E6A0D822CCC958FB4DAB03E49A08F","",""
"intermediate_cert_notBefore <#1>","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","2013-03-08 12:00","",""
"intermediate_cert_notAfter <#1>","election-tpe.travail.gouv.fr/194.5.109.200","443","OK","2023-03-08 12:00","",""
"intermediate_cert_expiration <#1>","election-tpe.travail.gouv.fr/194.5.109.200","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","DigiCert SHA2 Secure Server CA <-- DigiCert Global Root CA","",""
"intermediate_cert <#2>","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","-----BEGIN CERTIFICATE----- MIIDrzCCApegAwIBAgIQCDvgVpBCRrGhdWrJWZHHSjANBgkqhkiG9w0BAQUFADBh MQswCQYDVQQGEwJVUzEVMBMGA1UEChMMRGlnaUNlcnQgSW5jMRkwFwYDVQQLExB3 d3cuZGlnaWNlcnQuY29tMSAwHgYDVQQDExdEaWdpQ2VydCBHbG9iYWwgUm9vdCBD QTAeFw0wNjExMTAwMDAwMDBaFw0zMTExMTAwMDAwMDBaMGExCzAJBgNVBAYTAlVT MRUwEwYDVQQKEwxEaWdpQ2VydCBJbmMxGTAXBgNVBAsTEHd3dy5kaWdpY2VydC5j b20xIDAeBgNVBAMTF0RpZ2lDZXJ0IEdsb2JhbCBSb290IENBMIIBIjANBgkqhkiG 9w0BAQEFAAOCAQ8AMIIBCgKCAQEA4jvhEXLeqKTTo1eqUKKPC3eQyaKl7hLOllsB CSDMAZOnTjC3U/dDxGkAV53ijSLdhwZAAIEJzs4bg7/fzTtxRuLWZscFs3YnFo97 nh6Vfe63SKMI2tavegw5BmV/Sl0fvBf4q77uKNd0f3p4mVmFaG5cIzJLv07A6Fpt 43C/dxC//AH2hdmoRBBYMql1GNXRor5H4idq9Joz+EkIYIvUX7Q6hL+hqkpMfT7P T19sdl6gSzeRntwi5m3OFBqOasv+zbMUZBfHWymeMr/y7vrTC0LUq7dBMtoM1O/4 gdW7jVg/tRvoSSiicNoxBN33shbyTApOB6jtSj1etX+jkMOvJwIDAQABo2MwYTAO BgNVHQ8BAf8EBAMCAYYwDwYDVR0TAQH/BAUwAwEB/zAdBgNVHQ4EFgQUA95QNVbR TLtm8KPiGxvDl7I90VUwHwYDVR0jBBgwFoAUA95QNVbRTLtm8KPiGxvDl7I90VUw DQYJKoZIhvcNAQEFBQADggEBAMucN6pIExIK+t1EnE9SsPTfrgT1eXkIoyQY/Esr hMAtudXH/vTBH1jLuG2cenTnmCmrEbXjcKChzUyImZOMkXDiqw8cvpOp/2PV5Adg 06O/nVsJ8dWO41P0jmP6P6fbtGbfYmbW0W5BjfIttep3Sp+dWOIrWcBAI+0tKIJF PnlUkiaY4IBIqDfv8NZ5YBberOgOzW6sRBc4L0na4UU+Krk2U886UAb3LujEV0ls YSEY1QSteDwsOoBrp+uvFRTp2InBuThs4pFsiv9kuXclVzDAGySj4dzp30d8tbQk CAUw7C29C79Fv1C5qfPrmAESrciIxpg0X40KPMbp1ZWVbd4= -----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#2>","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","4348A0E9444C78CB265E058D5E8944B4D84F9662BD26DB257F8934A443C70161","",""
"intermediate_cert_notBefore <#2>","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","2006-11-10 00:00","",""
"intermediate_cert_notAfter <#2>","election-tpe.travail.gouv.fr/194.5.109.200","443","OK","2031-11-10 00:00","",""
"intermediate_cert_expiration <#2>","election-tpe.travail.gouv.fr/194.5.109.200","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#2>","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","DigiCert Global Root CA <-- DigiCert Global Root CA","",""
"intermediate_cert_badOCSP","election-tpe.travail.gouv.fr/194.5.109.200","443","OK","intermediate certificate(s) is/are ok","",""
"heartbleed","election-tpe.travail.gouv.fr/194.5.109.200","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","election-tpe.travail.gouv.fr/194.5.109.200","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","not applicable, not HTTP","CVE-2016-9244","CWE-200"
"ROBOT","election-tpe.travail.gouv.fr/194.5.109.200","443","OK","not vulnerable, no RSA key transport cipher","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","election-tpe.travail.gouv.fr/194.5.109.200","443","OK","supported","","CWE-310"
"secure_client_renego","election-tpe.travail.gouv.fr/194.5.109.200","443","MEDIUM","VULNERABLE, potential DoS threat","CVE-2011-1473","CWE-310"
"CRIME_TLS","election-tpe.travail.gouv.fr/194.5.109.200","443","OK","not vulnerable (not using HTTP anyway)","CVE-2012-4929","CWE-310"
"POODLE_SSL","election-tpe.travail.gouv.fr/194.5.109.200","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","election-tpe.travail.gouv.fr/194.5.109.200","443","OK","no protocol below TLS 1.2 offered","",""
"SWEET32","election-tpe.travail.gouv.fr/194.5.109.200","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","election-tpe.travail.gouv.fr/194.5.109.200","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","election-tpe.travail.gouv.fr/194.5.109.200","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN_hint","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://search.censys.io/search?resource=hosts&virtual_hosts=INCLUDE&q=51D8B60CB20FA5F44A54DE4E9B57E3EE9D8E3F805A02FE3D11335F53A508165C","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM","election-tpe.travail.gouv.fr/194.5.109.200","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"LOGJAM-common_primes","election-tpe.travail.gouv.fr/194.5.109.200","443","OK","no DH key with <= TLS 1.2","CVE-2015-4000","CWE-310"
"BEAST","election-tpe.travail.gouv.fr/194.5.109.200","443","OK","not vulnerable, no SSL3 or TLS1","CVE-2011-3389","CWE-20"
"LUCKY13","election-tpe.travail.gouv.fr/194.5.109.200","443","LOW","potentially vulnerable, uses TLS CBC ciphers","CVE-2013-0169","CWE-310"
"winshock","election-tpe.travail.gouv.fr/194.5.109.200","443","OK","not vulnerable","CVE-2014-6321","CWE-94"
"RC4","election-tpe.travail.gouv.fr/194.5.109.200","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
"clientsimulation-android_60","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-android_70","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-android_81","election-tpe.travail.gouv.fr/194.5.109.200","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
