"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","entreprises-transparence.sante.gouv.fr/185.194.82.77","443","INFO","HTTP","",""
"pre_128cipher","entreprises-transparence.sante.gouv.fr/185.194.82.77","443","INFO","No 128 cipher limit bug","",""
"SSLv2","entreprises-transparence.sante.gouv.fr/185.194.82.77","443","OK","not offered","",""
"SSLv3","entreprises-transparence.sante.gouv.fr/185.194.82.77","443","OK","not offered","",""
"TLS1","entreprises-transparence.sante.gouv.fr/185.194.82.77","443","INFO","not offered","",""
"TLS1_1","entreprises-transparence.sante.gouv.fr/185.194.82.77","443","INFO","not offered","",""
"TLS1_2","entreprises-transparence.sante.gouv.fr/185.194.82.77","443","OK","offered","",""
"TLS1_3","entreprises-transparence.sante.gouv.fr/185.194.82.77","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","entreprises-transparence.sante.gouv.fr/185.194.82.77","443","INFO","not offered","",""
"cipherlist_NULL","entreprises-transparence.sante.gouv.fr/185.194.82.77","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","entreprises-transparence.sante.gouv.fr/185.194.82.77","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","entreprises-transparence.sante.gouv.fr/185.194.82.77","443","OK","not offered","","CWE-327"
"cipherlist_LOW","entreprises-transparence.sante.gouv.fr/185.194.82.77","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","entreprises-transparence.sante.gouv.fr/185.194.82.77","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","entreprises-transparence.sante.gouv.fr/185.194.82.77","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","entreprises-transparence.sante.gouv.fr/185.194.82.77","443","OK","offered","",""
"cipherlist_STRONG","entreprises-transparence.sante.gouv.fr/185.194.82.77","443","OK","offered","",""
"cipher_order-tls1_2","entreprises-transparence.sante.gouv.fr/185.194.82.77","443","OK","server","",""
"cipherorder_TLSv1_2","entreprises-transparence.sante.gouv.fr/185.194.82.77","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","entreprises-transparence.sante.gouv.fr/185.194.82.77","443","OK","server","",""
"protocol_negotiated","entreprises-transparence.sante.gouv.fr/185.194.82.77","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","entreprises-transparence.sante.gouv.fr/185.194.82.77","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"FS","entreprises-transparence.sante.gouv.fr/185.194.82.77","443","OK","offered","",""
"FS_ciphers","entreprises-transparence.sante.gouv.fr/185.194.82.77","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","entreprises-transparence.sante.gouv.fr/185.194.82.77","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","entreprises-transparence.sante.gouv.fr/185.194.82.77","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","entreprises-transparence.sante.gouv.fr/185.194.82.77","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","entreprises-transparence.sante.gouv.fr/185.194.82.77","443","INFO","yes","",""
"sessionresumption_ticket","entreprises-transparence.sante.gouv.fr/185.194.82.77","443","INFO","not supported","",""
"sessionresumption_ID","entreprises-transparence.sante.gouv.fr/185.194.82.77","443","INFO","supported","",""
"TLS_timestamp","entreprises-transparence.sante.gouv.fr/185.194.82.77","443","INFO","random","",""
"cert_compression","entreprises-transparence.sante.gouv.fr/185.194.82.77","443","INFO","N/A","",""
"clientAuth","entreprises-transparence.sante.gouv.fr/185.194.82.77","443","INFO","none","",""
"cert_numbers","entreprises-transparence.sante.gouv.fr/185.194.82.77","443","INFO","1","",""
"cert_signatureAlgorithm","entreprises-transparence.sante.gouv.fr/185.194.82.77","443","OK","SHA256 with RSA","",""
"cert_keySize","entreprises-transparence.sante.gouv.fr/185.194.82.77","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","entreprises-transparence.sante.gouv.fr/185.194.82.77","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","entreprises-transparence.sante.gouv.fr/185.194.82.77","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","entreprises-transparence.sante.gouv.fr/185.194.82.77","443","INFO","ADD9ECFE2B14750F5C31092611DFB388","",""
"cert_serialNumberLen","entreprises-transparence.sante.gouv.fr/185.194.82.77","443","INFO","16","",""
"cert_fingerprintSHA1","entreprises-transparence.sante.gouv.fr/185.194.82.77","443","INFO","3DEBEEF0DCA9EC84ACF289E0D30B1E866BC77B4A","",""
"cert_fingerprintSHA256","entreprises-transparence.sante.gouv.fr/185.194.82.77","443","INFO","CFB1D4787A0FB56C383BCDFA5B2C2B95A9C7B10B1403584F0782094655349A9F","",""
