"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","eps.sante.gouv.fr/185.194.82.46","443","INFO","HTTP","",""
"pre_128cipher","eps.sante.gouv.fr/185.194.82.46","443","INFO","No 128 cipher limit bug","",""
"SSLv2","eps.sante.gouv.fr/185.194.82.46","443","OK","not offered","",""
"SSLv3","eps.sante.gouv.fr/185.194.82.46","443","OK","not offered","",""
"TLS1","eps.sante.gouv.fr/185.194.82.46","443","INFO","not offered","",""
"TLS1_1","eps.sante.gouv.fr/185.194.82.46","443","INFO","not offered","",""
"TLS1_2","eps.sante.gouv.fr/185.194.82.46","443","OK","offered","",""
"TLS1_3","eps.sante.gouv.fr/185.194.82.46","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","eps.sante.gouv.fr/185.194.82.46","443","INFO","not offered","",""
"cipherlist_NULL","eps.sante.gouv.fr/185.194.82.46","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","eps.sante.gouv.fr/185.194.82.46","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","eps.sante.gouv.fr/185.194.82.46","443","OK","not offered","","CWE-327"
"cipherlist_LOW","eps.sante.gouv.fr/185.194.82.46","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","eps.sante.gouv.fr/185.194.82.46","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","eps.sante.gouv.fr/185.194.82.46","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","eps.sante.gouv.fr/185.194.82.46","443","OK","offered","",""
"cipherlist_STRONG","eps.sante.gouv.fr/185.194.82.46","443","OK","offered","",""
"cipher_order","eps.sante.gouv.fr/185.194.82.46","443","OK","server","",""
"protocol_negotiated","eps.sante.gouv.fr/185.194.82.46","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","eps.sante.gouv.fr/185.194.82.46","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","eps.sante.gouv.fr/185.194.82.46","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","eps.sante.gouv.fr/185.194.82.46","443","OK","offered","",""
"FS_ciphers","eps.sante.gouv.fr/185.194.82.46","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","eps.sante.gouv.fr/185.194.82.46","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","eps.sante.gouv.fr/185.194.82.46","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","eps.sante.gouv.fr/185.194.82.46","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","eps.sante.gouv.fr/185.194.82.46","443","INFO","yes","",""
"sessionresumption_ticket","eps.sante.gouv.fr/185.194.82.46","443","INFO","not supported","",""
"sessionresumption_ID","eps.sante.gouv.fr/185.194.82.46","443","INFO","supported","",""
"TLS_timestamp","eps.sante.gouv.fr/185.194.82.46","443","INFO","random","",""
"clientAuth","eps.sante.gouv.fr/185.194.82.46","443","INFO","none","",""
"cert_numbers","eps.sante.gouv.fr/185.194.82.46","443","INFO","1","",""
"cert_signatureAlgorithm","eps.sante.gouv.fr/185.194.82.46","443","OK","SHA256 with RSA","",""
"cert_keySize","eps.sante.gouv.fr/185.194.82.46","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","eps.sante.gouv.fr/185.194.82.46","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","eps.sante.gouv.fr/185.194.82.46","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","eps.sante.gouv.fr/185.194.82.46","443","INFO","98682BB476D0D9F581D78FD2CA876FB9","",""
"cert_fingerprintSHA1","eps.sante.gouv.fr/185.194.82.46","443","INFO","B57D011DB3206806CECDE38059983C7BE9BEA25D","",""
"cert_fingerprintSHA256","eps.sante.gouv.fr/185.194.82.46","443","INFO","14FB2AFD89581FBB81FDE4227682C8A87DF083B74611C8466CAE543C3AEA3924","",""
"cert","eps.sante.gouv.fr/185.194.82.46","443","INFO","-----BEGIN CERTIFICATE----- MIIIyDCCBrCgAwIBAgIRAJhoK7R20Nn1gdeP0sqHb7kwDQYJKoZIhvcNAQELBQAw fTELMAkGA1UEBhMCRlIxEjAQBgNVBAoMCURISU1ZT1RJUzEcMBoGA1UECwwTMDAw MiA0ODE0NjMwODEwMDAzNjEdMBsGA1UEYQwUTlRSRlItNDgxNDYzMDgxMDAwMzYx HTAbBgNVBAMMFENlcnRpZ25hIFNlcnZpY2VzIENBMB4XDTIwMDkxNzExMzk1MloX DTIxMDkxNzExMzk1MlowgY8xCzAJBgNVBAYTAkZSMRQwEgYDVQQHDAtQQVJJUyBT UCAwNzEcMBoGA1UECgwTU0cgTUlOIEFGRkFJUkVTIFNPQzEcMBoGA1UECwwTMDAw MiAxMzAwMDY4MDIwMDAxNjEaMBgGA1UEAwwRZXBzLnNhbnRlLmdvdXYuZnIxEjAQ BgNVBAUTCVMxNzU2ODAxMDCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEB ANewMjOq1fNG7IK8DH+LFrYblGQW6CQ+2KXyyUYfSRrAc/Gk3//MmHJ+9JCkHhA9 YOr5e/JhGudgm0CFWB8uYlTviPOHD/a+J9sILBgvz/+2FBG0fIs+khe9o8RfFJ9k Ex2mIsjXMIt0MI9ty0etbMyfgRUa/rasvekq8l7IeOLIvaKebLAWxsSNuuIJ/3B5 3RXU0/jTy+RM2aYyzaAFN/3lHQvAKTow7UU7lMXrEvPgL1x1nOxmIelDtOfGokP1 LxGDpPWJ9bXY1kWUacMvnqxOJORiJPgjmKN4PeMIPc29NlvycjWWWwPUyDVIHvyc qFBULz7M7eto16lufcFAieUCAwEAAaOCBC4wggQqMAkGA1UdEwQCMAAwDgYDVR0P AQH/BAQDAgWgMBMGA1UdJQQMMAoGCCsGAQUFBwMBMGUGA1UdHwReMFwwK6ApoCeG JWh0dHA6Ly9jcmwuY2VydGlnbmEuZnIvc2VydmljZXNjYS5jcmwwLaAroCmGJ2h0 dHA6Ly9jcmwuZGhpbXlvdGlzLmNvbS9zZXJ2aWNlc2NhLmNybDCB5AYIKwYBBQUH AQEEgdcwgdQwNgYIKwYBBQUHMAKGKmh0dHA6Ly9hdXRvcml0ZS5jZXJ0aWduYS5m ci9zZXJ2aWNlc2NhLmRlcjA4BggrBgEFBQcwAoYsaHR0cDovL2F1dG9yaXRlLmRo aW15b3Rpcy5jb20vc2VydmljZXNjYS5kZXIwLgYIKwYBBQUHMAGGImh0dHA6Ly9z ZXJ2aWNlc2NhLm9jc3AuY2VydGlnbmEuZnIwMAYIKwYBBQUHMAGGJGh0dHA6Ly9z ZXJ2aWNlc2NhLm9jc3AuZGhpbXlvdGlzLmNvbTAdBgNVHQ4EFgQUgrr7IMeib+k6 tw5eME+kIBESsPYwHwYDVR0jBBgwFoAUrOyGj0s3HLh/FxsZ0K7oTuM0XBIwHAYD VR0RBBUwE4IRZXBzLnNhbnRlLmdvdXYuZnIwVAYDVR0gBE0wSzAIBgZngQwBAgIw PwYLKoF6AYExAgUBAQEwMDAuBggrBgEFBQcCARYiaHR0cHM6Ly93d3cuY2VydGln bmEuZnIvYXV0b3JpdGVzLzCCAfQGCisGAQQB1nkCBAIEggHkBIIB4AHeAHYARJRl LrDuzq/EQAfYqP4owNrmgr7YyzG1P9MzlrW2gagAAAF0m90ZZQAABAMARzBFAiAd msLODuWKJKPcET7ygoSAFha1fr0tJHlL78u8iCckfAIhAM1JOM8howt1yuX0Usvq w4ZF/gq/uZRCxGACj7oM/4I5AHYAb1N2rDHwMRnYmQCkURX/dxUcEdkCwQApBo2y CJo32RMAAAF0m90Z3QAABAMARzBFAiEA2cVfvRCfGmMqKuFpPzTOTJQMa+0lz/F8 Ew2FubW9YFICIBQR8Bro1RIsakdOtca6ib1F23QWpoGRm1BqfwhA5RlQAHUAXNxD kv7mq0VEsV6a1FbmEDf71fpH3KFzlLJe5vbHDsoAAAF0m90cUAAABAMARjBEAiA1 IIw0HY3eUc9IYwsI66sH0Odr5WTixz9LZ6unC3HAxQIgXwQm1ka4VuyOXR3N4yDh O5LF20MdS2rfzaNHbwvsfe8AdQD2XJQv0XcwIhRUGAgwlFaO400TGTO/3wwvIAvM TvFk4wAAAXSb3R0CAAAEAwBGMEQCIHOqTrddptmr05hxHdUrJIcvb/ij6FPaaCw5 kWdrAIaaAiA7AflzwAMNW+IpimIDVeeb5iHpDHJ5zEnGWtSa1Il5UTANBgkqhkiG 9w0BAQsFAAOCAgEAbjXiE/xUlzhHyVRLJfEQ/4MzX379tQG1JfDtPBBwiQwH0tCn aLVTASJJbpcqzw5P2NRwBbKSTIwUzatmN11tEi8SniBr8ZxlPDUo8I9zo2tPTdUJ XQvxQXgzThPltRH7jtg/TfTWMv/frNnSPSzmyCHUyH+9DSmukatukIEcwOEssGE8 n4pIy57SCqYVSCk8GgpbLG9SPcznWvO8IGh2//qOsoQ1n/Skq0IkhI6+bGb7G6zY mQmsVyYw96srfAGmAGbIjnAL1KkiVPu66lw8iqKRJ/PgBG3psRnPfUcxyDkcLa8V b9cWC72yc57eblpldudqOJR0KONb/+Y0x4UiI+S9HBzUZn4sRzI12459Di37WvWM bUwqjqlonbnjgV7fPjGeSG2nOfxRmo9R4Y8P2dIvYEwkxrMkCZgo+lO1okx6NDC6 Z9udtNJYmkHT9i+3OIYCqc72VwGuInO+bnF2UNahHbOB4GICDd/RZx7jRT9k4hZM GLfrGAJFsNZkbNJeMKiZqdSTPBHKgua9RbYse+OS/ahUZjYugp8Oz4mdGxBsivZU 2I2hDDLb0hlar0WddWZyj44xM+N6pnr02V1eTo3byv1hN+LV19veOSvYYKtCe2WX UFXRWV40FDeHsmMcc7hTp/LKM4JuR7tgcmKIQgbkt/tddR4YTNkz+13v97U= -----END CERTIFICATE-----","",""
"cert_commonName","eps.sante.gouv.fr/185.194.82.46","443","OK","eps.sante.gouv.fr","",""
"cert_commonName_wo_SNI","eps.sante.gouv.fr/185.194.82.46","443","INFO","eps.sante.gouv.fr","",""
"cert_subjectAltName","eps.sante.gouv.fr/185.194.82.46","443","INFO","eps.sante.gouv.fr","",""
"cert_trust","eps.sante.gouv.fr/185.194.82.46","443","OK","Ok via SAN and CN (same w/o SNI)","",""
"cert_chain_of_trust","eps.sante.gouv.fr/185.194.82.46","443","CRITICAL","Some certificate trust checks failed -> Java (chain incomplete)  , OK -> Mozilla Microsoft Linux Apple","",""
"cert_certificatePolicies_EV","eps.sante.gouv.fr/185.194.82.46","443","INFO","no","",""
"cert_expirationStatus","eps.sante.gouv.fr/185.194.82.46","443","OK","94 >= 60 days","",""
"cert_notBefore","eps.sante.gouv.fr/185.194.82.46","443","INFO","2020-09-17 11:39","",""
"cert_notAfter","eps.sante.gouv.fr/185.194.82.46","443","OK","2021-09-17 11:39","",""
"cert_extlifeSpan","eps.sante.gouv.fr/185.194.82.46","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","eps.sante.gouv.fr/185.194.82.46","443","INFO","not present","",""
"cert_crlDistributionPoints","eps.sante.gouv.fr/185.194.82.46","443","INFO","http://crl.certigna.fr/servicesca.crl http://crl.dhimyotis.com/servicesca.crl","",""
"cert_ocspURL","eps.sante.gouv.fr/185.194.82.46","443","INFO","http://servicesca.ocsp.certigna.fr http://servicesca.ocsp.dhimyotis.com","",""
"OCSP_stapling","eps.sante.gouv.fr/185.194.82.46","443","LOW","not offered","",""
"cert_mustStapleExtension","eps.sante.gouv.fr/185.194.82.46","443","INFO","--","",""
"DNS_CAArecord","eps.sante.gouv.fr/185.194.82.46","443","LOW","--","",""
"certificate_transparency","eps.sante.gouv.fr/185.194.82.46","443","OK","yes (certificate extension)","",""
"certs_countServer","eps.sante.gouv.fr/185.194.82.46","443","INFO","2","",""
"certs_list_ordering_problem","eps.sante.gouv.fr/185.194.82.46","443","INFO","no","",""
"cert_caIssuers","eps.sante.gouv.fr/185.194.82.46","443","INFO","Certigna Services CA (DHIMYOTIS from FR)","",""
"intermediate_cert <#1>","eps.sante.gouv.fr/185.194.82.46","443","INFO","-----BEGIN CERTIFICATE----- MIIGFjCCBP6gAwIBAgIQb4L6KKzW94S7WxILqHNnrTANBgkqhkiG9w0BAQsFADA0 MQswCQYDVQQGEwJGUjESMBAGA1UECgwJRGhpbXlvdGlzMREwDwYDVQQDDAhDZXJ0 aWduYTAeFw0xNTExMjUxMTMzNTJaFw0yNTExMjIxMTMzNTJaMH0xCzAJBgNVBAYT AkZSMRIwEAYDVQQKDAlESElNWU9USVMxHDAaBgNVBAsMEzAwMDIgNDgxNDYzMDgx MDAwMzYxHTAbBgNVBGEMFE5UUkZSLTQ4MTQ2MzA4MTAwMDM2MR0wGwYDVQQDDBRD ZXJ0aWduYSBTZXJ2aWNlcyBDQTCCAiIwDQYJKoZIhvcNAQEBBQADggIPADCCAgoC ggIBALPM+7LpWBz9wFcPaTc3xnB+5g0XrnptB0EPPfrR04vO52Ykm4ky1d4ZLd10 tbM1fa1RqNSOVWWg93O4pL7zCFKlz6JV74ZZVhHpEAwzBwv2oPnxvVbxtSN67xsS Y66ahUYxjzs8+3FhmsiRxqwnTYvK2u70uglUvRisOKyTL/M6JnrC4y8tlmoz7OSa 5BmBMVplJFQtvmON6N9aHLvYMz+EyJPCbXL6pELxeHjFT5QmIaRamsr2DOTaCjtB ZKI1Wnh3X7lnbjM8MESJiV2t7E9tIQNG0Z/HI3tO4aaUMum3KysY5sC8v3vi7rry GidgzHQhrtP0ZXWW5UH/k7umLS/P/XXWnCFpc2Lxa1uDGfc2im7xibRoPP+JNZsz N76euFlls6jyEXAiwnVr14tVVTewLK0OWs5SJHpEKp8PGMZRDj59EmMvokWwzL6Q zNZ6vVAp00oOm05sbspNY9+MFqGKKUsKvhFGEa4XmRNxDe6KswLcjPZB+NKHZ0QW Fd4ip5C5XmEK/8qIPjwVr9dah9+oiHGGO8Wx7gJAMF5DTmkvW7GhqCKj1LmHnabj zc8av6kxWVQZi/C7HCm9i/W4wio+JA2EAFLqNL3GPNbK9kau4yPhQt/c7zxzo0OH nlsV4THCG7oOCd3cfCiyfQcb3FBt6OSpaKRZxjCLBwP00r0fAgMBAAGjggHZMIIB 1TASBgNVHRMBAf8ECDAGAQH/AgEAMA4GA1UdDwEB/wQEAwIBBjAdBgNVHQ4EFgQU rOyGj0s3HLh/FxsZ0K7oTuM0XBIwZAYDVR0jBF0wW4AUGu3+QTmQtCRZvgHyUtVF 9lo53BGhOKQ2MDQxCzAJBgNVBAYTAkZSMRIwEAYDVQQKDAlEaGlteW90aXMxETAP BgNVBAMMCENlcnRpZ25hggkA/tzjAQ/JSP8wSQYDVR0gBEIwQDA+BgoqgXoBgTEB AAECMDAwLgYIKwYBBQUHAgEWImh0dHBzOi8vd3d3LmNlcnRpZ25hLmZyL2F1dG9y aXRlcy8wfAYIKwYBBQUHAQEEcDBuMDQGCCsGAQUFBzAChihodHRwOi8vYXV0b3Jp dGUuY2VydGlnbmEuZnIvY2VydGlnbmEuZGVyMDYGCCsGAQUFBzAChipodHRwOi8v YXV0b3JpdGUuZGhpbXlvdGlzLmNvbS9jZXJ0aWduYS5kZXIwYQYDVR0fBFowWDAp oCegJYYjaHR0cDovL2NybC5jZXJ0aWduYS5mci9jZXJ0aWduYS5jcmwwK6ApoCeG JWh0dHA6Ly9jcmwuZGhpbXlvdGlzLmNvbS9jZXJ0aWduYS5jcmwwDQYJKoZIhvcN AQELBQADggEBAGLft7gIuGPZVfg0cTM+HT2xAZFPDb/2+siH06x+dH044zMKbBIN bRzhKipwB1A3MW8FQjveE9tyrfyuqZE/X+o2SlGcdNV44ybYkxo4f6kcLEavV/IW +oFEnojZlhpksYcxrvQoEyqkAwshe8IS2KtZHKVACrt+XSs0lwvy7ALGmHaF7A4b y6cZWItA7Lhj8XWp+8tBJDj7HocRbWtxzEODdBuyMgJzFrNjc+97J0vH/K0+3yjm kczpKshMA0tM+MF9XDMN/MuwrPmUWGO/fHiqHgUp8yqeWtl1n44ZxkkK1t9GRwhn DWLv73/xhTmdhWYQ/reo0GbgBoLiltKmIJQ= -----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","eps.sante.gouv.fr/185.194.82.46","443","INFO","71E653BFBF5E72515B4099BBD5EC8872812B47C6EC1FA9ADD327E1C92C9EA16D","",""
"intermediate_cert_notBefore <#1>","eps.sante.gouv.fr/185.194.82.46","443","INFO","2015-11-25 11:33","",""
"intermediate_cert_notAfter <#1>","eps.sante.gouv.fr/185.194.82.46","443","OK","2025-11-22 11:33","",""
"intermediate_cert_expiration <#1>","eps.sante.gouv.fr/185.194.82.46","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","eps.sante.gouv.fr/185.194.82.46","443","INFO","Certigna Services CA <-- Certigna","",""
"intermediate_cert_badOCSP","eps.sante.gouv.fr/185.194.82.46","443","OK","intermediate certificate(s) is/are ok","",""
