"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","eps.sante.gouv.fr/185.194.82.46","443","INFO","HTTP","",""
"pre_128cipher","eps.sante.gouv.fr/185.194.82.46","443","INFO","No 128 cipher limit bug","",""
"SSLv2","eps.sante.gouv.fr/185.194.82.46","443","OK","not offered","",""
"SSLv3","eps.sante.gouv.fr/185.194.82.46","443","OK","not offered","",""
"TLS1","eps.sante.gouv.fr/185.194.82.46","443","INFO","not offered","",""
"TLS1_1","eps.sante.gouv.fr/185.194.82.46","443","INFO","not offered","",""
"TLS1_2","eps.sante.gouv.fr/185.194.82.46","443","OK","offered","",""
"TLS1_3","eps.sante.gouv.fr/185.194.82.46","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","eps.sante.gouv.fr/185.194.82.46","443","INFO","not offered","",""
"cipherlist_NULL","eps.sante.gouv.fr/185.194.82.46","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","eps.sante.gouv.fr/185.194.82.46","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","eps.sante.gouv.fr/185.194.82.46","443","OK","not offered","","CWE-327"
"cipherlist_LOW","eps.sante.gouv.fr/185.194.82.46","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","eps.sante.gouv.fr/185.194.82.46","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","eps.sante.gouv.fr/185.194.82.46","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","eps.sante.gouv.fr/185.194.82.46","443","INFO","not offered","",""
"cipherlist_STRONG","eps.sante.gouv.fr/185.194.82.46","443","OK","offered","",""
"cipher_order-tls1_2","eps.sante.gouv.fr/185.194.82.46","443","OK","server","",""
"cipherorder_TLSv1_2","eps.sante.gouv.fr/185.194.82.46","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","eps.sante.gouv.fr/185.194.82.46","443","OK","server","",""
"FS","eps.sante.gouv.fr/185.194.82.46","443","OK","offered","",""
"FS_ciphers","eps.sante.gouv.fr/185.194.82.46","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","eps.sante.gouv.fr/185.194.82.46","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","eps.sante.gouv.fr/185.194.82.46","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","eps.sante.gouv.fr/185.194.82.46","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","eps.sante.gouv.fr/185.194.82.46","443","INFO","yes","",""
"sessionresumption_ticket","eps.sante.gouv.fr/185.194.82.46","443","INFO","not supported","",""
"sessionresumption_ID","eps.sante.gouv.fr/185.194.82.46","443","INFO","supported","",""
"TLS_timestamp","eps.sante.gouv.fr/185.194.82.46","443","INFO","random","",""
"cert_compression","eps.sante.gouv.fr/185.194.82.46","443","INFO","N/A","",""
"clientAuth","eps.sante.gouv.fr/185.194.82.46","443","INFO","none","",""
"cert_numbers","eps.sante.gouv.fr/185.194.82.46","443","INFO","1","",""
"cert_signatureAlgorithm","eps.sante.gouv.fr/185.194.82.46","443","OK","SHA256 with RSA","",""
"cert_keySize","eps.sante.gouv.fr/185.194.82.46","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","eps.sante.gouv.fr/185.194.82.46","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","eps.sante.gouv.fr/185.194.82.46","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","eps.sante.gouv.fr/185.194.82.46","443","INFO","B8A04B8354EFA585D2F99D84A2F7D265","",""
"cert_serialNumberLen","eps.sante.gouv.fr/185.194.82.46","443","INFO","16","",""
"cert_fingerprintSHA1","eps.sante.gouv.fr/185.194.82.46","443","INFO","6C1ED49C34BBBFE40D07D1006035971689DB0E43","",""
"cert_fingerprintSHA256","eps.sante.gouv.fr/185.194.82.46","443","INFO","4EFD99D940D36764047EF8207B45CD1C8F88F566C1139A1DB8D95A12C50B6114","",""
"cert","eps.sante.gouv.fr/185.194.82.46","443","INFO","-----BEGIN CERTIFICATE-----\nMIIIlDCCBnygAwIBAgIRALigS4NU76WF0vmdhKL30mUwDQYJKoZIhvcNAQELBQAwfTELMAkGA1UEBhMCRlIxEjAQBgNVBAoMCURISU1ZT1RJUzEcMBoGA1UECwwTMDAwMiA0ODE0NjMwODEwMDAzNjEdMBsGA1UEYQwUTlRSRlItNDgxNDYzMDgxMDAwMzYxHTAbBgNVBAMMFENlcnRpZ25hIFNlcnZpY2VzIENBMB4XDTIyMDcyODIyMDAwMFoXDTIzMDcyODIxNTk1OVowga8xCzAJBgNVBAYTAkZSMQ4wDAYDVQQHDAVQQVJJUzFBMD8GA1UECgw4U0VDUkVUQVJJQVQgR0VORVJBTCBNSU5JU1RFUkVTIENIQVJHRVMgQUZGQUlSRVMgU09DSUFMRVMxHDAaBgNVBAsMEzAwMDIgMTMwMDA2ODAyMDAwMTYxGjAYBgNVBAMMEWVwcy5zYW50ZS5nb3V2LmZyMRMwEQYDVQQFEwpTMjQzODMyNDg0MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA3rgI/zQ43LSkR+eISrSkHXYuJfB6AkP+2uDS1t7nG5y2wfsmveJVbJmW6sqjj2c4PfayBiyjWFhhm5lKrrmRJKTRAUfyruPWgGyTzCq3wpwXPLAzxhKiEKT/1dFlwSaUWNWxKADBfzxbzdEb/BxMbCdGa3b1F7/VYVaNgiDaH8l8VGhq/iO1epBqkmxe2IWbYByHPvLXlO9EMAEXMP+RexJSwzpyrwdYepK9aSgj4ZnEzPnSbM6fA5jW+X4Y0Sg+2wWWhPvb4YBTfjKs6b7t3qCAdoDpc+D8uSkTJvMIgPswKaFelitZAAnHavWiCzhrW5jGwrVlujNRjWOnJ6bHbQIDAQABo4ID2jCCA9YwgeQGCCsGAQUFBwEBBIHXMIHUMDgGCCsGAQUFBzAChixodHRwOi8vYXV0b3JpdGUuZGhpbXlvdGlzLmNvbS9zZXJ2aWNlc2NhLmRlcjA2BggrBgEFBQcwAoYqaHR0cDovL2F1dG9yaXRlLmNlcnRpZ25hLmZyL3NlcnZpY2VzY2EuZGVyMDAGCCsGAQUFBzABhiRodHRwOi8vc2VydmljZXNjYS5vY3NwLmRoaW15b3Rpcy5jb20wLgYIKwYBBQUHMAGGImh0dHA6Ly9zZXJ2aWNlc2NhLm9jc3AuY2VydGlnbmEuZnIwHwYDVR0jBBgwFoAUrOyGj0s3HLh/FxsZ0K7oTuM0XBIwCQYDVR0TBAIwADBhBgNVHSAEWjBYMAgGBmeBDAECAjBMBgsqgXoBgTECBQEBATA9MDsGCCsGAQUFBwIBFi9odHRwczovL3d3dy5jZXJ0aWduYS5jb20vYXV0b3JpdGUtY2VydGlmaWNhdGlvbjBlBgNVHR8EXjBcMCugKaAnhiVodHRwOi8vY3JsLmNlcnRpZ25hLmZyL3NlcnZpY2VzY2EuY3JsMC2gK6AphidodHRwOi8vY3JsLmRoaW15b3Rpcy5jb20vc2VydmljZXNjYS5jcmwwEwYDVR0lBAwwCgYIKwYBBQUHAwEwDgYDVR0PAQH/BAQDAgWgMDMGA1UdEQQsMCqCFXd3dy5lcHMuc2FudGUuZ291di5mcoIRZXBzLnNhbnRlLmdvdXYuZnIwHQYDVR0OBBYEFBbRF5Qq+Isx6g2EVlGDwI/CbHbHMIIBfAYKKwYBBAHWeQIEAgSCAWwEggFoAWYAdgCt9776fP8QyIudPZwePhhqtGcpXc+xDCTKhYY069yCigAAAYJIuGeHAAAEAwBHMEUCIQCITIzidawqGmxvz1xK8/a5OblYWvEVnQ5yKr5p1IBFnQIgOCJRQU4et4i+v3U7J11YWO3LwF8cNZhKTCAqnds0nfcAdQDoPtDaPvUGNTLnVyi8iWvJA9PL0RFr7Otp4Xd9bQa9bgAAAYJIuG0pAAAEAwBGMEQCIED+9aldWFVhUSAEgL5z7W5jFYazM4EKbhPsiwHnjTsEAiA1TbIWk8r8jpXOQDf611qLa9U/uO9BOfmU/zC4ZcTioQB1ALNzdwfhhFD4Y4bWBancEQlKeS2xZwwLh9zwAw55NqWaAAABgki4cOIAAAQDAEYwRAIfefpv85s3DDnKQsTuGcidufhrn21ZndkcsjpefVnUjgIhAIS/qJVcJKhsvaFXMQItvRbf6IyvcCP/id66Oa6wUY/qMA0GCSqGSIb3DQEBCwUAA4ICAQCWjFUDJcQ+XmFKSc5QaG/+OyeOs1fJda+iZIgcX837OI/pyTHa4aB0FXHKdrpD3i0jt9R4OVJALrmB2E/deMF8Lr61pGG1/m1ddJYu91wviojxYvZVchyVEQPNY/JE4gtPdtVc5KvimRUnIzFm2Qv4HDT53i94kKJfEDe7ZvNTiAAEZBoEhzzcEZo0HGA+61sPi0aam7Wwt09PzX6x/8PP11g9Qd3rlQRwbnfS0IOG9Guhv4TaMrcjRwc16aXrIYoM57JfxZiaxDjM7tMCgCctw6qB1WE22lwb9/mLw7cpahAKZYjULAuh/uGy96X54Rdgq8YBCiNnEj8KzpK3rRKEdmSBwrVAWXj3o4p/GkzS0VGArqGP3Lq8fQ6MOv4gi+ho7yCJ2W7s+wVNpqnVB5AwLys+mx2s2/G9NW9VES8xwLsABUyOz05yXpk0fyC5C0NOzPm/FajN6Omxv9Porrj25A0zfcDydwV61y4sDHVZXW3ZwwLAUP0jSezcXs/7ufLbxaIY4mx2LHMasuG51Q28wt32DDfIl/bx3YvCGTZRZiEhFNaR7oawOZa8K3tsfPVds+vCKcwYV8PmlsyTqQmYJH12JVEVl1/+wlGv8K5ryZ73L7LZwpdBP1N2xgFwcSwB3fGiHPgAU4eaSFeixUAQKmRstPSMQVA9cGHe9brojg==\n-----END CERTIFICATE-----","",""
"cert_commonName","eps.sante.gouv.fr/185.194.82.46","443","OK","eps.sante.gouv.fr","",""
"cert_commonName_wo_SNI","eps.sante.gouv.fr/185.194.82.46","443","INFO","eps.sante.gouv.fr","",""
"cert_subjectAltName","eps.sante.gouv.fr/185.194.82.46","443","INFO","www.eps.sante.gouv.fr eps.sante.gouv.fr","",""
"cert_trust","eps.sante.gouv.fr/185.194.82.46","443","OK","Ok via SAN and CN (same w/o SNI)","",""
"cert_chain_of_trust","eps.sante.gouv.fr/185.194.82.46","443","CRITICAL","Some certificate trust checks failed -> Java (chain incomplete)  , OK -> Mozilla Microsoft Linux Apple","",""
"cert_certificatePolicies_EV","eps.sante.gouv.fr/185.194.82.46","443","INFO","no","",""
"cert_expirationStatus","eps.sante.gouv.fr/185.194.82.46","443","OK","243 >= 60 days","",""
"cert_notBefore","eps.sante.gouv.fr/185.194.82.46","443","INFO","2022-07-28 22:00","",""
"cert_notAfter","eps.sante.gouv.fr/185.194.82.46","443","OK","2023-07-28 21:59","",""
"cert_extlifeSpan","eps.sante.gouv.fr/185.194.82.46","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","eps.sante.gouv.fr/185.194.82.46","443","INFO","not present","",""
"cert_crlDistributionPoints","eps.sante.gouv.fr/185.194.82.46","443","INFO","http://crl.certigna.fr/servicesca.crl http://crl.dhimyotis.com/servicesca.crl","",""
"cert_ocspURL","eps.sante.gouv.fr/185.194.82.46","443","INFO","http://servicesca.ocsp.dhimyotis.com http://servicesca.ocsp.certigna.fr","",""
"OCSP_stapling","eps.sante.gouv.fr/185.194.82.46","443","LOW","not offered","",""
"cert_mustStapleExtension","eps.sante.gouv.fr/185.194.82.46","443","INFO","--","",""
"DNS_CAArecord","eps.sante.gouv.fr/185.194.82.46","443","LOW","--","",""
"certificate_transparency","eps.sante.gouv.fr/185.194.82.46","443","OK","yes (certificate extension)","",""
"certs_countServer","eps.sante.gouv.fr/185.194.82.46","443","INFO","2","",""
"certs_list_ordering_problem","eps.sante.gouv.fr/185.194.82.46","443","INFO","no","",""
"cert_caIssuers","eps.sante.gouv.fr/185.194.82.46","443","INFO","Certigna Services CA (DHIMYOTIS from FR)","",""
"intermediate_cert <#1>","eps.sante.gouv.fr/185.194.82.46","443","INFO","-----BEGIN CERTIFICATE-----\nMIIGFjCCBP6gAwIBAgIQb4L6KKzW94S7WxILqHNnrTANBgkqhkiG9w0BAQsFADA0MQswCQYDVQQGEwJGUjESMBAGA1UECgwJRGhpbXlvdGlzMREwDwYDVQQDDAhDZXJ0aWduYTAeFw0xNTExMjUxMTMzNTJaFw0yNTExMjIxMTMzNTJaMH0xCzAJBgNVBAYTAkZSMRIwEAYDVQQKDAlESElNWU9USVMxHDAaBgNVBAsMEzAwMDIgNDgxNDYzMDgxMDAwMzYxHTAbBgNVBGEMFE5UUkZSLTQ4MTQ2MzA4MTAwMDM2MR0wGwYDVQQDDBRDZXJ0aWduYSBTZXJ2aWNlcyBDQTCCAiIwDQYJKoZIhvcNAQEBBQADggIPADCCAgoCggIBALPM+7LpWBz9wFcPaTc3xnB+5g0XrnptB0EPPfrR04vO52Ykm4ky1d4ZLd10tbM1fa1RqNSOVWWg93O4pL7zCFKlz6JV74ZZVhHpEAwzBwv2oPnxvVbxtSN67xsSY66ahUYxjzs8+3FhmsiRxqwnTYvK2u70uglUvRisOKyTL/M6JnrC4y8tlmoz7OSa5BmBMVplJFQtvmON6N9aHLvYMz+EyJPCbXL6pELxeHjFT5QmIaRamsr2DOTaCjtBZKI1Wnh3X7lnbjM8MESJiV2t7E9tIQNG0Z/HI3tO4aaUMum3KysY5sC8v3vi7rryGidgzHQhrtP0ZXWW5UH/k7umLS/P/XXWnCFpc2Lxa1uDGfc2im7xibRoPP+JNZszN76euFlls6jyEXAiwnVr14tVVTewLK0OWs5SJHpEKp8PGMZRDj59EmMvokWwzL6QzNZ6vVAp00oOm05sbspNY9+MFqGKKUsKvhFGEa4XmRNxDe6KswLcjPZB+NKHZ0QWFd4ip5C5XmEK/8qIPjwVr9dah9+oiHGGO8Wx7gJAMF5DTmkvW7GhqCKj1LmHnabjzc8av6kxWVQZi/C7HCm9i/W4wio+JA2EAFLqNL3GPNbK9kau4yPhQt/c7zxzo0OHnlsV4THCG7oOCd3cfCiyfQcb3FBt6OSpaKRZxjCLBwP00r0fAgMBAAGjggHZMIIB1TASBgNVHRMBAf8ECDAGAQH/AgEAMA4GA1UdDwEB/wQEAwIBBjAdBgNVHQ4EFgQUrOyGj0s3HLh/FxsZ0K7oTuM0XBIwZAYDVR0jBF0wW4AUGu3+QTmQtCRZvgHyUtVF9lo53BGhOKQ2MDQxCzAJBgNVBAYTAkZSMRIwEAYDVQQKDAlEaGlteW90aXMxETAPBgNVBAMMCENlcnRpZ25hggkA/tzjAQ/JSP8wSQYDVR0gBEIwQDA+BgoqgXoBgTEBAAECMDAwLgYIKwYBBQUHAgEWImh0dHBzOi8vd3d3LmNlcnRpZ25hLmZyL2F1dG9yaXRlcy8wfAYIKwYBBQUHAQEEcDBuMDQGCCsGAQUFBzAChihodHRwOi8vYXV0b3JpdGUuY2VydGlnbmEuZnIvY2VydGlnbmEuZGVyMDYGCCsGAQUFBzAChipodHRwOi8vYXV0b3JpdGUuZGhpbXlvdGlzLmNvbS9jZXJ0aWduYS5kZXIwYQYDVR0fBFowWDApoCegJYYjaHR0cDovL2NybC5jZXJ0aWduYS5mci9jZXJ0aWduYS5jcmwwK6ApoCeGJWh0dHA6Ly9jcmwuZGhpbXlvdGlzLmNvbS9jZXJ0aWduYS5jcmwwDQYJKoZIhvcNAQELBQADggEBAGLft7gIuGPZVfg0cTM+HT2xAZFPDb/2+siH06x+dH044zMKbBINbRzhKipwB1A3MW8FQjveE9tyrfyuqZE/X+o2SlGcdNV44ybYkxo4f6kcLEavV/IW+oFEnojZlhpksYcxrvQoEyqkAwshe8IS2KtZHKVACrt+XSs0lwvy7ALGmHaF7A4by6cZWItA7Lhj8XWp+8tBJDj7HocRbWtxzEODdBuyMgJzFrNjc+97J0vH/K0+3yjmkczpKshMA0tM+MF9XDMN/MuwrPmUWGO/fHiqHgUp8yqeWtl1n44ZxkkK1t9GRwhnDWLv73/xhTmdhWYQ/reo0GbgBoLiltKmIJQ=\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","eps.sante.gouv.fr/185.194.82.46","443","INFO","71E653BFBF5E72515B4099BBD5EC8872812B47C6EC1FA9ADD327E1C92C9EA16D","",""
"intermediate_cert_notBefore <#1>","eps.sante.gouv.fr/185.194.82.46","443","INFO","2015-11-25 11:33","",""
"intermediate_cert_notAfter <#1>","eps.sante.gouv.fr/185.194.82.46","443","OK","2025-11-22 11:33","",""
"intermediate_cert_expiration <#1>","eps.sante.gouv.fr/185.194.82.46","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","eps.sante.gouv.fr/185.194.82.46","443","INFO","Certigna Services CA <-- Certigna","",""
"intermediate_cert_badOCSP","eps.sante.gouv.fr/185.194.82.46","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","eps.sante.gouv.fr/185.194.82.46","443","INFO","200 OK ('/')","",""
"HTTP_clock_skew","eps.sante.gouv.fr/185.194.82.46","443","INFO","0 seconds from localtime","",""
"HTTP_headerTime","eps.sante.gouv.fr/185.194.82.46","443","INFO","1669515927","",""
