"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","experimentation-fej.injep.fr/185.194.82.181","443","INFO","HTTP","",""
"pre_128cipher","experimentation-fej.injep.fr/185.194.82.181","443","INFO","No 128 cipher limit bug","",""
"SSLv2","experimentation-fej.injep.fr/185.194.82.181","443","OK","not offered","",""
"SSLv3","experimentation-fej.injep.fr/185.194.82.181","443","OK","not offered","",""
"TLS1","experimentation-fej.injep.fr/185.194.82.181","443","INFO","not offered","",""
"TLS1_1","experimentation-fej.injep.fr/185.194.82.181","443","INFO","not offered","",""
"TLS1_2","experimentation-fej.injep.fr/185.194.82.181","443","OK","offered","",""
"TLS1_3","experimentation-fej.injep.fr/185.194.82.181","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","experimentation-fej.injep.fr/185.194.82.181","443","INFO","not offered","",""
"cipherlist_NULL","experimentation-fej.injep.fr/185.194.82.181","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","experimentation-fej.injep.fr/185.194.82.181","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","experimentation-fej.injep.fr/185.194.82.181","443","OK","not offered","","CWE-327"
"cipherlist_LOW","experimentation-fej.injep.fr/185.194.82.181","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","experimentation-fej.injep.fr/185.194.82.181","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","experimentation-fej.injep.fr/185.194.82.181","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","experimentation-fej.injep.fr/185.194.82.181","443","INFO","not offered","",""
"cipherlist_STRONG","experimentation-fej.injep.fr/185.194.82.181","443","OK","offered","",""
"cipher_order-tls1_2","experimentation-fej.injep.fr/185.194.82.181","443","OK","server","",""
"cipherorder_TLSv1_2","experimentation-fej.injep.fr/185.194.82.181","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","experimentation-fej.injep.fr/185.194.82.181","443","OK","server","",""
"protocol_negotiated","experimentation-fej.injep.fr/185.194.82.181","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","experimentation-fej.injep.fr/185.194.82.181","443","OK","ECDHE-RSA-AES256-GCM-SHA384, 256 bit ECDH (P-256)","",""
"FS","experimentation-fej.injep.fr/185.194.82.181","443","OK","offered","",""
"FS_ciphers","experimentation-fej.injep.fr/185.194.82.181","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","experimentation-fej.injep.fr/185.194.82.181","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","experimentation-fej.injep.fr/185.194.82.181","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","experimentation-fej.injep.fr/185.194.82.181","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","experimentation-fej.injep.fr/185.194.82.181","443","INFO","yes","",""
"sessionresumption_ticket","experimentation-fej.injep.fr/185.194.82.181","443","INFO","not supported","",""
"sessionresumption_ID","experimentation-fej.injep.fr/185.194.82.181","443","INFO","supported","",""
"TLS_timestamp","experimentation-fej.injep.fr/185.194.82.181","443","INFO","random","",""
"cert_compression","experimentation-fej.injep.fr/185.194.82.181","443","INFO","N/A","",""
"clientAuth","experimentation-fej.injep.fr/185.194.82.181","443","INFO","none","",""
"cert_numbers","experimentation-fej.injep.fr/185.194.82.181","443","INFO","1","",""
"cert_signatureAlgorithm","experimentation-fej.injep.fr/185.194.82.181","443","OK","SHA256 with RSA","",""
"cert_keySize","experimentation-fej.injep.fr/185.194.82.181","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","experimentation-fej.injep.fr/185.194.82.181","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","experimentation-fej.injep.fr/185.194.82.181","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","experimentation-fej.injep.fr/185.194.82.181","443","INFO","510EEB7A50CA960F265C1F22332CFAF6","",""
"cert_serialNumberLen","experimentation-fej.injep.fr/185.194.82.181","443","INFO","16","",""
"cert_fingerprintSHA1","experimentation-fej.injep.fr/185.194.82.181","443","INFO","DEC665F266B58AC0868AADFEE9F4E8CCEBB34F4E","",""
"cert_fingerprintSHA256","experimentation-fej.injep.fr/185.194.82.181","443","INFO","2F117E26CCBB07A2B6675E22DDC08106B5C73A2A5CF86A295E1A194B949243DA","",""
