"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","fabrique.social.gouv.fr/51.11.227.220","443","INFO","HTTP","",""
"pre_128cipher","fabrique.social.gouv.fr/51.11.227.220","443","INFO","No 128 cipher limit bug","",""
"SSLv2","fabrique.social.gouv.fr/51.11.227.220","443","OK","not offered","",""
"SSLv3","fabrique.social.gouv.fr/51.11.227.220","443","OK","not offered","",""
"TLS1","fabrique.social.gouv.fr/51.11.227.220","443","INFO","not offered","",""
"TLS1_1","fabrique.social.gouv.fr/51.11.227.220","443","INFO","is not offered","",""
"TLS1_2","fabrique.social.gouv.fr/51.11.227.220","443","OK","offered","",""
"TLS1_3","fabrique.social.gouv.fr/51.11.227.220","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","fabrique.social.gouv.fr/51.11.227.220","443","OK","h2","",""
"ALPN","fabrique.social.gouv.fr/51.11.227.220","443","INFO","http/1.1","",""
"cipherlist_NULL","fabrique.social.gouv.fr/51.11.227.220","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","fabrique.social.gouv.fr/51.11.227.220","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","fabrique.social.gouv.fr/51.11.227.220","443","OK","not offered","","CWE-327"
"cipherlist_LOW","fabrique.social.gouv.fr/51.11.227.220","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","fabrique.social.gouv.fr/51.11.227.220","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","fabrique.social.gouv.fr/51.11.227.220","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","fabrique.social.gouv.fr/51.11.227.220","443","INFO","not offered","",""
"cipherlist_STRONG","fabrique.social.gouv.fr/51.11.227.220","443","OK","offered","",""
"cipher_order","fabrique.social.gouv.fr/51.11.227.220","443","OK","server","",""
"protocol_negotiated","fabrique.social.gouv.fr/51.11.227.220","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","fabrique.social.gouv.fr/51.11.227.220","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","fabrique.social.gouv.fr/51.11.227.220","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","fabrique.social.gouv.fr/51.11.227.220","443","OK","offered","",""
"FS_ciphers","fabrique.social.gouv.fr/51.11.227.220","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","fabrique.social.gouv.fr/51.11.227.220","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","fabrique.social.gouv.fr/51.11.227.220","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","fabrique.social.gouv.fr/51.11.227.220","443","INFO","valid for 600 seconds only (<daily)","",""
"SSL_sessionID_support","fabrique.social.gouv.fr/51.11.227.220","443","INFO","yes","",""
"sessionresumption_ticket","fabrique.social.gouv.fr/51.11.227.220","443","INFO","not supported","",""
"sessionresumption_ID","fabrique.social.gouv.fr/51.11.227.220","443","INFO","not supported","",""
"TLS_timestamp","fabrique.social.gouv.fr/51.11.227.220","443","INFO","random","",""
"clientAuth","fabrique.social.gouv.fr/51.11.227.220","443","INFO","none","",""
"cert_numbers","fabrique.social.gouv.fr/51.11.227.220","443","INFO","1","",""
"cert_signatureAlgorithm","fabrique.social.gouv.fr/51.11.227.220","443","OK","SHA256 with RSA","",""
"cert_keySize","fabrique.social.gouv.fr/51.11.227.220","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","fabrique.social.gouv.fr/51.11.227.220","443","INFO","Digital Signature, Key Encipherment","",""
