"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","hcfea.fr/185.194.82.165","443","INFO","HTTP","",""
"pre_128cipher","hcfea.fr/185.194.82.165","443","INFO","No 128 cipher limit bug","",""
"SSLv2","hcfea.fr/185.194.82.165","443","OK","not offered","",""
"SSLv3","hcfea.fr/185.194.82.165","443","OK","not offered","",""
"TLS1","hcfea.fr/185.194.82.165","443","INFO","not offered","",""
"TLS1_1","hcfea.fr/185.194.82.165","443","INFO","not offered","",""
"TLS1_2","hcfea.fr/185.194.82.165","443","OK","offered","",""
"TLS1_3","hcfea.fr/185.194.82.165","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","hcfea.fr/185.194.82.165","443","INFO","not offered","",""
"cipherlist_NULL","hcfea.fr/185.194.82.165","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","hcfea.fr/185.194.82.165","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","hcfea.fr/185.194.82.165","443","OK","not offered","","CWE-327"
"cipherlist_LOW","hcfea.fr/185.194.82.165","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","hcfea.fr/185.194.82.165","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","hcfea.fr/185.194.82.165","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","hcfea.fr/185.194.82.165","443","INFO","not offered","",""
"cipherlist_STRONG","hcfea.fr/185.194.82.165","443","OK","offered","",""
"cipher_order-tls1_2","hcfea.fr/185.194.82.165","443","OK","server","",""
"cipherorder_TLSv1_2","hcfea.fr/185.194.82.165","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","hcfea.fr/185.194.82.165","443","OK","server","",""
"protocol_negotiated","hcfea.fr/185.194.82.165","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","hcfea.fr/185.194.82.165","443","OK","ECDHE-RSA-AES256-GCM-SHA384, 256 bit ECDH (P-256)","",""
"FS","hcfea.fr/185.194.82.165","443","OK","offered","",""
"FS_ciphers","hcfea.fr/185.194.82.165","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","hcfea.fr/185.194.82.165","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","hcfea.fr/185.194.82.165","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","hcfea.fr/185.194.82.165","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","hcfea.fr/185.194.82.165","443","INFO","yes","",""
"sessionresumption_ticket","hcfea.fr/185.194.82.165","443","INFO","not supported","",""
"sessionresumption_ID","hcfea.fr/185.194.82.165","443","INFO","supported","",""
"TLS_timestamp","hcfea.fr/185.194.82.165","443","INFO","random","",""
"cert_compression","hcfea.fr/185.194.82.165","443","INFO","N/A","",""
"clientAuth","hcfea.fr/185.194.82.165","443","INFO","none","",""
"cert_numbers","hcfea.fr/185.194.82.165","443","INFO","1","",""
"cert_signatureAlgorithm","hcfea.fr/185.194.82.165","443","OK","SHA256 with RSA","",""
"cert_keySize","hcfea.fr/185.194.82.165","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","hcfea.fr/185.194.82.165","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","hcfea.fr/185.194.82.165","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","hcfea.fr/185.194.82.165","443","INFO","347322C8753A15916EAF9744CCC3C2B0","",""
"cert_serialNumberLen","hcfea.fr/185.194.82.165","443","INFO","16","",""
"cert_fingerprintSHA1","hcfea.fr/185.194.82.165","443","INFO","78E096DC0EC1DE8C92D984DD0E3AAACAFE53515E","",""
"cert_fingerprintSHA256","hcfea.fr/185.194.82.165","443","INFO","A06166A542149FE1101D1385804A06C3AADE7E00FAD01C665996618503B47917","",""
"cert","hcfea.fr/185.194.82.165","443","INFO","-----BEGIN CERTIFICATE----- MIIIezCCBmOgAwIBAgIQNHMiyHU6FZFur5dEzMPCsDANBgkqhkiG9w0BAQsFADB9 MQswCQYDVQQGEwJGUjESMBAGA1UECgwJREhJTVlPVElTMRwwGgYDVQQLDBMwMDAy IDQ4MTQ2MzA4MTAwMDM2MR0wGwYDVQRhDBROVFJGUi00ODE0NjMwODEwMDAzNjEd MBsGA1UEAwwUQ2VydGlnbmEgU2VydmljZXMgQ0EwHhcNMjIwNzI3MjIwMDAwWhcN MjMwNzI3MjE1OTU5WjCBpjELMAkGA1UEBhMCRlIxDjAMBgNVBAcMBVBBUklTMUEw PwYDVQQKDDhTRUNSRVRBUklBVCBHRU5FUkFMIE1JTklTVEVSRVMgQ0hBUkdFUyBB RkZBSVJFUyBTT0NJQUxFUzEcMBoGA1UECwwTMDAwMiAxMzAwMDY4MDIwMDAxNjER MA8GA1UEAwwIaGNmZWEuZnIxEzARBgNVBAUTClMyNDM3NDI0ODMwggEiMA0GCSqG SIb3DQEBAQUAA4IBDwAwggEKAoIBAQC7wYe9jxE+odQYbfEuaPXGgGyBUFI1zYZh TBRd60eTvB3WlIF9nCOrkfE313UpqN9lsVDVAeLofVj5fqm+JaDcxkvu6wYNFe+Y dmCsrGXZ2GeOIKrUfVaKhJr9VVMJnLszR3Yp34MHdrv2eH3K+lEnm4oEMRxIH6vi ozc+OMMgFpxFN/hBYcB7en+N8SHJ2P96PGS5tWtN9LXE6ymK/geoGFQbndvVMXjq Kji8JWlxtfAqdWi6LFxPO471g79J0lNb8U3VGtLy5+7QGPrEY4MzCydIuxVxK2KM 8HUlfJ8lNDx6ytjk9aCHT4rWUulg+hTRZZpfojI/Lyl35dx4ROEPAgMBAAGjggPL MIIDxzCB5AYIKwYBBQUHAQEEgdcwgdQwNgYIKwYBBQUHMAKGKmh0dHA6Ly9hdXRv cml0ZS5jZXJ0aWduYS5mci9zZXJ2aWNlc2NhLmRlcjA4BggrBgEFBQcwAoYsaHR0 cDovL2F1dG9yaXRlLmRoaW15b3Rpcy5jb20vc2VydmljZXNjYS5kZXIwMAYIKwYB BQUHMAGGJGh0dHA6Ly9zZXJ2aWNlc2NhLm9jc3AuZGhpbXlvdGlzLmNvbTAuBggr BgEFBQcwAYYiaHR0cDovL3NlcnZpY2VzY2Eub2NzcC5jZXJ0aWduYS5mcjAfBgNV HSMEGDAWgBSs7IaPSzccuH8XGxnQruhO4zRcEjAJBgNVHRMEAjAAMGEGA1UdIARa MFgwCAYGZ4EMAQICMEwGCyqBegGBMQIFAQEBMD0wOwYIKwYBBQUHAgEWL2h0dHBz Oi8vd3d3LmNlcnRpZ25hLmNvbS9hdXRvcml0ZS1jZXJ0aWZpY2F0aW9uMGUGA1Ud HwReMFwwK6ApoCeGJWh0dHA6Ly9jcmwuY2VydGlnbmEuZnIvc2VydmljZXNjYS5j cmwwLaAroCmGJ2h0dHA6Ly9jcmwuZGhpbXlvdGlzLmNvbS9zZXJ2aWNlc2NhLmNy bDATBgNVHSUEDDAKBggrBgEFBQcDATAOBgNVHQ8BAf8EBAMCBaAwIQYDVR0RBBow GIIMd3d3LmhjZmVhLmZygghoY2ZlYS5mcjAdBgNVHQ4EFgQUiu7x6Z/O1u63dn/o osm5NgYjYHgwggF/BgorBgEEAdZ5AgQCBIIBbwSCAWsBaQB3AK33vvp8/xDIi509 nB4+GGq0Zyldz7EMJMqFhjTr3IKKAAABgkSgHsoAAAQDAEgwRgIhAOPQ9kNzOtpW q0gC1Qm2o1tddjBr2jZgQONk50mdoYkBAiEAwPkRtJHnqgGKjcqSorqosxg8jgli hZjcNqKVoytw0MwAdgDoPtDaPvUGNTLnVyi8iWvJA9PL0RFr7Otp4Xd9bQa9bgAA AYJEoB7cAAAEAwBHMEUCIAHsBBnuVnDgtglsq3KUP7h13gVhBh1cF9FRiao+NSN7 AiEAzLpJDJjD+xJCKenMp6hcGD7rkKHBOYSlk5VJTeQYoBMAdgA1zxkbv7FsV78P rUxtQsu7ticgJlHqP+Eq76gDwzvWTAAAAYJEoCN2AAAEAwBHMEUCIEEWp2/w4/+K JvSkqMnknOQLqvE+/OLEaQ56SSKlEVtPAiEAkGnLw2SLUdnQ5BNdhdL8ez7npKss UNenJBsdy/jR3mMwDQYJKoZIhvcNAQELBQADggIBAEKhd83i9nDk9QpG3hOw/OuW qWs6KN3msg6gcvFsl/v8PTDNrrvLWcsSk3prcWpD7sdhxPRATKKTYIh51LETduT9 rcsnly1AGXN9e6wFaj/a1x4Xh7HG2s3CAoPU2M2LVt54zoQNXENE8I7+UPHwJex7 WN3LVeph9aWUkXrerJr1/xkrOHKwAj71MXsx96pjb9ULpYQNTgKnKPQO9WP6RkGE cQ+r19DCcix6/zyX7oLOGGhZWYmJTSgX0Eyk2Rl3lRjplwfM8DxLpJS3kNEITaPP zu3arPwoRgZMHUNx8rXLyWe0wB+qg/2sy0SyoQdi/8SqdQVrUq/6AC7EesxEhVAb rT4koaj3bcQzsJbFAsxT1iZ1Xa6iMAr8XFGNN7Id91uHxKItgfN+uBwSwqNqceM9 iNhCkPmslz5I5tmBmDXZpI5l5uKlU/OVQwceiww4YabmVxeDsjrIwGSsy0GpnysU VGXMLuexztlw+wEqi+ocF7WqSmITdlRK1TIEaL5K0jIBF+ayMPOL/BvC/wQeDUKq hOtKlHD3VrsoHuFM1HHa3HuR56vBmQH+7eNSEtnPbs8xdS6/MxjG+Rc+5E895t4S f2bXMqIT/j6drOXi7D7fVxliIVGnGS1hhqtq6Xuly+90xlqE5hkKkdyunvxwIhnv ac9xDf6I37wI2vQEuuc0 -----END CERTIFICATE-----","",""
"cert_commonName","hcfea.fr/185.194.82.165","443","OK","hcfea.fr","",""
"cert_commonName_wo_SNI","hcfea.fr/185.194.82.165","443","INFO","hcfea.fr","",""
"cert_subjectAltName","hcfea.fr/185.194.82.165","443","INFO","www.hcfea.fr hcfea.fr","",""
"cert_trust","hcfea.fr/185.194.82.165","443","OK","Ok via SAN and CN (same w/o SNI)","",""
"cert_chain_of_trust","hcfea.fr/185.194.82.165","443","CRITICAL","Some certificate trust checks failed -> Java (chain incomplete)  , OK -> Mozilla Microsoft Linux Apple","",""
"cert_certificatePolicies_EV","hcfea.fr/185.194.82.165","443","INFO","no","",""
"cert_expirationStatus","hcfea.fr/185.194.82.165","443","OK","277 >= 60 days","",""
"cert_notBefore","hcfea.fr/185.194.82.165","443","INFO","2022-07-27 22:00","",""
"cert_notAfter","hcfea.fr/185.194.82.165","443","OK","2023-07-27 21:59","",""
"cert_extlifeSpan","hcfea.fr/185.194.82.165","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","hcfea.fr/185.194.82.165","443","INFO","not present","",""
"cert_crlDistributionPoints","hcfea.fr/185.194.82.165","443","INFO","http://crl.certigna.fr/servicesca.crl http://crl.dhimyotis.com/servicesca.crl","",""
"cert_ocspURL","hcfea.fr/185.194.82.165","443","INFO","http://servicesca.ocsp.dhimyotis.com http://servicesca.ocsp.certigna.fr","",""
"OCSP_stapling","hcfea.fr/185.194.82.165","443","LOW","not offered","",""
"cert_mustStapleExtension","hcfea.fr/185.194.82.165","443","INFO","--","",""
"DNS_CAArecord","hcfea.fr/185.194.82.165","443","LOW","--","",""
"certificate_transparency","hcfea.fr/185.194.82.165","443","OK","yes (certificate extension)","",""
"certs_countServer","hcfea.fr/185.194.82.165","443","INFO","2","",""
"certs_list_ordering_problem","hcfea.fr/185.194.82.165","443","INFO","no","",""
"cert_caIssuers","hcfea.fr/185.194.82.165","443","INFO","Certigna Services CA (DHIMYOTIS from FR)","",""
"intermediate_cert <#1>","hcfea.fr/185.194.82.165","443","INFO","-----BEGIN CERTIFICATE----- MIIGFjCCBP6gAwIBAgIQb4L6KKzW94S7WxILqHNnrTANBgkqhkiG9w0BAQsFADA0 MQswCQYDVQQGEwJGUjESMBAGA1UECgwJRGhpbXlvdGlzMREwDwYDVQQDDAhDZXJ0 aWduYTAeFw0xNTExMjUxMTMzNTJaFw0yNTExMjIxMTMzNTJaMH0xCzAJBgNVBAYT AkZSMRIwEAYDVQQKDAlESElNWU9USVMxHDAaBgNVBAsMEzAwMDIgNDgxNDYzMDgx MDAwMzYxHTAbBgNVBGEMFE5UUkZSLTQ4MTQ2MzA4MTAwMDM2MR0wGwYDVQQDDBRD ZXJ0aWduYSBTZXJ2aWNlcyBDQTCCAiIwDQYJKoZIhvcNAQEBBQADggIPADCCAgoC ggIBALPM+7LpWBz9wFcPaTc3xnB+5g0XrnptB0EPPfrR04vO52Ykm4ky1d4ZLd10 tbM1fa1RqNSOVWWg93O4pL7zCFKlz6JV74ZZVhHpEAwzBwv2oPnxvVbxtSN67xsS Y66ahUYxjzs8+3FhmsiRxqwnTYvK2u70uglUvRisOKyTL/M6JnrC4y8tlmoz7OSa 5BmBMVplJFQtvmON6N9aHLvYMz+EyJPCbXL6pELxeHjFT5QmIaRamsr2DOTaCjtB ZKI1Wnh3X7lnbjM8MESJiV2t7E9tIQNG0Z/HI3tO4aaUMum3KysY5sC8v3vi7rry GidgzHQhrtP0ZXWW5UH/k7umLS/P/XXWnCFpc2Lxa1uDGfc2im7xibRoPP+JNZsz N76euFlls6jyEXAiwnVr14tVVTewLK0OWs5SJHpEKp8PGMZRDj59EmMvokWwzL6Q zNZ6vVAp00oOm05sbspNY9+MFqGKKUsKvhFGEa4XmRNxDe6KswLcjPZB+NKHZ0QW Fd4ip5C5XmEK/8qIPjwVr9dah9+oiHGGO8Wx7gJAMF5DTmkvW7GhqCKj1LmHnabj zc8av6kxWVQZi/C7HCm9i/W4wio+JA2EAFLqNL3GPNbK9kau4yPhQt/c7zxzo0OH nlsV4THCG7oOCd3cfCiyfQcb3FBt6OSpaKRZxjCLBwP00r0fAgMBAAGjggHZMIIB 1TASBgNVHRMBAf8ECDAGAQH/AgEAMA4GA1UdDwEB/wQEAwIBBjAdBgNVHQ4EFgQU rOyGj0s3HLh/FxsZ0K7oTuM0XBIwZAYDVR0jBF0wW4AUGu3+QTmQtCRZvgHyUtVF 9lo53BGhOKQ2MDQxCzAJBgNVBAYTAkZSMRIwEAYDVQQKDAlEaGlteW90aXMxETAP BgNVBAMMCENlcnRpZ25hggkA/tzjAQ/JSP8wSQYDVR0gBEIwQDA+BgoqgXoBgTEB AAECMDAwLgYIKwYBBQUHAgEWImh0dHBzOi8vd3d3LmNlcnRpZ25hLmZyL2F1dG9y aXRlcy8wfAYIKwYBBQUHAQEEcDBuMDQGCCsGAQUFBzAChihodHRwOi8vYXV0b3Jp dGUuY2VydGlnbmEuZnIvY2VydGlnbmEuZGVyMDYGCCsGAQUFBzAChipodHRwOi8v YXV0b3JpdGUuZGhpbXlvdGlzLmNvbS9jZXJ0aWduYS5kZXIwYQYDVR0fBFowWDAp oCegJYYjaHR0cDovL2NybC5jZXJ0aWduYS5mci9jZXJ0aWduYS5jcmwwK6ApoCeG JWh0dHA6Ly9jcmwuZGhpbXlvdGlzLmNvbS9jZXJ0aWduYS5jcmwwDQYJKoZIhvcN AQELBQADggEBAGLft7gIuGPZVfg0cTM+HT2xAZFPDb/2+siH06x+dH044zMKbBIN bRzhKipwB1A3MW8FQjveE9tyrfyuqZE/X+o2SlGcdNV44ybYkxo4f6kcLEavV/IW +oFEnojZlhpksYcxrvQoEyqkAwshe8IS2KtZHKVACrt+XSs0lwvy7ALGmHaF7A4b y6cZWItA7Lhj8XWp+8tBJDj7HocRbWtxzEODdBuyMgJzFrNjc+97J0vH/K0+3yjm kczpKshMA0tM+MF9XDMN/MuwrPmUWGO/fHiqHgUp8yqeWtl1n44ZxkkK1t9GRwhn DWLv73/xhTmdhWYQ/reo0GbgBoLiltKmIJQ= -----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","hcfea.fr/185.194.82.165","443","INFO","71E653BFBF5E72515B4099BBD5EC8872812B47C6EC1FA9ADD327E1C92C9EA16D","",""
"intermediate_cert_notBefore <#1>","hcfea.fr/185.194.82.165","443","INFO","2015-11-25 11:33","",""
"intermediate_cert_notAfter <#1>","hcfea.fr/185.194.82.165","443","OK","2025-11-22 11:33","",""
"intermediate_cert_expiration <#1>","hcfea.fr/185.194.82.165","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","hcfea.fr/185.194.82.165","443","INFO","Certigna Services CA <-- Certigna","",""
"intermediate_cert_badOCSP","hcfea.fr/185.194.82.165","443","OK","intermediate certificate(s) is/are ok","",""
"insecure_redirect","hcfea.fr/185.194.82.165","443","HIGH","Redirect to insecure URL: 'http://www.hcfea.fr/'","",""
"HTTP_status_code","hcfea.fr/185.194.82.165","443","INFO","301 Moved Permanently ('/')","",""
"HTTP_clock_skew","hcfea.fr/185.194.82.165","443","INFO","0 seconds from localtime","",""
"HTTP_headerTime","hcfea.fr/185.194.82.165","443","INFO","1666495510","",""
"HSTS","hcfea.fr/185.194.82.165","443","LOW","not offered","",""
"HPKP","hcfea.fr/185.194.82.165","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","hcfea.fr/185.194.82.165","443","INFO","Apache","",""
"banner_application","hcfea.fr/185.194.82.165","443","INFO","No application banner found","",""
"cookie_count","hcfea.fr/185.194.82.165","443","INFO","1 at '/' (30x detected, better try target URL of 30x)","",""
"cookie_secure","hcfea.fr/185.194.82.165","443","OK","All (1) at '/' marked as secure","",""
"cookie_httponly","hcfea.fr/185.194.82.165","443","OK","All (1) at '/' marked as HttpOnly (30x detected, better try target URL of 30x)","",""
"cookie_bigip_f5","hcfea.fr/185.194.82.165","443","MEDIUM","Information leakage: F5 cookie BIGipServerpool-hcfea-portail.cegedim.cloud-HTTP 832657418.20480.0000 is default IPv4 pool member 10.88.161.49:80","","CWE-212"
"security_headers","hcfea.fr/185.194.82.165","443","MEDIUM","--","",""
"banner_reverseproxy","hcfea.fr/185.194.82.165","443","INFO","--","","CWE-200"
"heartbleed","hcfea.fr/185.194.82.165","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","hcfea.fr/185.194.82.165","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","hcfea.fr/185.194.82.165","443","OK","no session ticket extension","CVE-2016-9244","CWE-200"
"ROBOT","hcfea.fr/185.194.82.165","443","OK","not vulnerable, no RSA key transport cipher","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","hcfea.fr/185.194.82.165","443","OK","supported","","CWE-310"
"secure_client_renego","hcfea.fr/185.194.82.165","443","OK","not vulnerable, mitigated","CVE-2011-1473","CWE-310"
"CRIME_TLS","hcfea.fr/185.194.82.165","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","hcfea.fr/185.194.82.165","443","OK","not vulnerable, no gzip/deflate/compress/br HTTP compression  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","hcfea.fr/185.194.82.165","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","hcfea.fr/185.194.82.165","443","OK","no protocol below TLS 1.2 offered","",""
"SWEET32","hcfea.fr/185.194.82.165","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","hcfea.fr/185.194.82.165","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","hcfea.fr/185.194.82.165","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN_hint","hcfea.fr/185.194.82.165","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://search.censys.io/search?resource=hosts&virtual_hosts=INCLUDE&q=A06166A542149FE1101D1385804A06C3AADE7E00FAD01C665996618503B47917","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM","hcfea.fr/185.194.82.165","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"LOGJAM-common_primes","hcfea.fr/185.194.82.165","443","OK","no DH key with <= TLS 1.2","CVE-2015-4000","CWE-310"
"BEAST","hcfea.fr/185.194.82.165","443","OK","not vulnerable, no SSL3 or TLS1","CVE-2011-3389","CWE-20"
"LUCKY13","hcfea.fr/185.194.82.165","443","OK","not vulnerable","CVE-2013-0169","CWE-310"
"winshock","hcfea.fr/185.194.82.165","443","OK","not vulnerable","CVE-2014-6321","CWE-94"
"RC4","hcfea.fr/185.194.82.165","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
"clientsimulation-android_60","hcfea.fr/185.194.82.165","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_70","hcfea.fr/185.194.82.165","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-android_81","hcfea.fr/185.194.82.165","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-android_90","hcfea.fr/185.194.82.165","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-android_X","hcfea.fr/185.194.82.165","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-android_11","hcfea.fr/185.194.82.165","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-android_12","hcfea.fr/185.194.82.165","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-chrome_79_win10","hcfea.fr/185.194.82.165","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-chrome_101_win10","hcfea.fr/185.194.82.165","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-firefox_66_win81","hcfea.fr/185.194.82.165","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-firefox_100_win10","hcfea.fr/185.194.82.165","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-ie_6_xp","hcfea.fr/185.194.82.165","443","INFO","No connection","",""
"clientsimulation-ie_8_win7","hcfea.fr/185.194.82.165","443","INFO","No connection","",""
"clientsimulation-ie_8_xp","hcfea.fr/185.194.82.165","443","INFO","No connection","",""
"clientsimulation-ie_11_win7","hcfea.fr/185.194.82.165","443","INFO","No connection","",""
"clientsimulation-ie_11_win81","hcfea.fr/185.194.82.165","443","INFO","No connection","",""
"clientsimulation-ie_11_winphone81","hcfea.fr/185.194.82.165","443","INFO","No connection","",""
"clientsimulation-ie_11_win10","hcfea.fr/185.194.82.165","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-edge_15_win10","hcfea.fr/185.194.82.165","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-edge_101_win10_21h2","hcfea.fr/185.194.82.165","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
