"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","handicap.gouv.fr/185.194.82.27","443","INFO","HTTP","",""
"pre_128cipher","handicap.gouv.fr/185.194.82.27","443","INFO","No 128 cipher limit bug","",""
"SSLv2","handicap.gouv.fr/185.194.82.27","443","OK","not offered","",""
"SSLv3","handicap.gouv.fr/185.194.82.27","443","OK","not offered","",""
"TLS1","handicap.gouv.fr/185.194.82.27","443","INFO","not offered","",""
"TLS1_1","handicap.gouv.fr/185.194.82.27","443","INFO","is not offered","",""
"TLS1_2","handicap.gouv.fr/185.194.82.27","443","OK","offered","",""
"TLS1_3","handicap.gouv.fr/185.194.82.27","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","handicap.gouv.fr/185.194.82.27","443","INFO","not offered","",""
"cipherlist_NULL","handicap.gouv.fr/185.194.82.27","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","handicap.gouv.fr/185.194.82.27","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","handicap.gouv.fr/185.194.82.27","443","OK","not offered","","CWE-327"
"cipherlist_LOW","handicap.gouv.fr/185.194.82.27","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","handicap.gouv.fr/185.194.82.27","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","handicap.gouv.fr/185.194.82.27","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","handicap.gouv.fr/185.194.82.27","443","OK","offered","",""
"cipherlist_STRONG","handicap.gouv.fr/185.194.82.27","443","OK","offered","",""
"cipher_order","handicap.gouv.fr/185.194.82.27","443","OK","server","",""
"protocol_negotiated","handicap.gouv.fr/185.194.82.27","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","handicap.gouv.fr/185.194.82.27","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","handicap.gouv.fr/185.194.82.27","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","handicap.gouv.fr/185.194.82.27","443","OK","offered","",""
"FS_ciphers","handicap.gouv.fr/185.194.82.27","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","handicap.gouv.fr/185.194.82.27","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","handicap.gouv.fr/185.194.82.27","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","handicap.gouv.fr/185.194.82.27","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","handicap.gouv.fr/185.194.82.27","443","INFO","yes","",""
"sessionresumption_ticket","handicap.gouv.fr/185.194.82.27","443","INFO","not supported","",""
"sessionresumption_ID","handicap.gouv.fr/185.194.82.27","443","INFO","not supported","",""
"TLS_timestamp","handicap.gouv.fr/185.194.82.27","443","INFO","random","",""
"clientAuth","handicap.gouv.fr/185.194.82.27","443","INFO","none","",""
"cert_numbers","handicap.gouv.fr/185.194.82.27","443","INFO","1","",""
"cert_signatureAlgorithm","handicap.gouv.fr/185.194.82.27","443","OK","SHA256 with RSA","",""
"cert_keySize","handicap.gouv.fr/185.194.82.27","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","handicap.gouv.fr/185.194.82.27","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","handicap.gouv.fr/185.194.82.27","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","handicap.gouv.fr/185.194.82.27","443","INFO","478F30AE608180CD69583D0CB0899C60","",""
"cert_fingerprintSHA1","handicap.gouv.fr/185.194.82.27","443","INFO","01B06A69F7F815B6477BDBAA79968D00D6B204F5","",""
"cert_fingerprintSHA256","handicap.gouv.fr/185.194.82.27","443","INFO","CA3C1665838231470299C6A05B9322D005BD3813650367624D1F9BD54050521D","",""
