"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","haut-conseil-egalite.gouv.fr/185.194.83.18","443","INFO","HTTP","",""
"pre_128cipher","haut-conseil-egalite.gouv.fr/185.194.83.18","443","INFO","No 128 cipher limit bug","",""
"SSLv2","haut-conseil-egalite.gouv.fr/185.194.83.18","443","OK","not offered","",""
"SSLv3","haut-conseil-egalite.gouv.fr/185.194.83.18","443","OK","not offered","",""
"TLS1","haut-conseil-egalite.gouv.fr/185.194.83.18","443","INFO","not offered","",""
"TLS1_1","haut-conseil-egalite.gouv.fr/185.194.83.18","443","INFO","not offered","",""
"TLS1_2","haut-conseil-egalite.gouv.fr/185.194.83.18","443","OK","offered","",""
"TLS1_3","haut-conseil-egalite.gouv.fr/185.194.83.18","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","haut-conseil-egalite.gouv.fr/185.194.83.18","443","INFO","not offered","",""
"cipherlist_NULL","haut-conseil-egalite.gouv.fr/185.194.83.18","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","haut-conseil-egalite.gouv.fr/185.194.83.18","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","haut-conseil-egalite.gouv.fr/185.194.83.18","443","OK","not offered","","CWE-327"
"cipherlist_LOW","haut-conseil-egalite.gouv.fr/185.194.83.18","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","haut-conseil-egalite.gouv.fr/185.194.83.18","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","haut-conseil-egalite.gouv.fr/185.194.83.18","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","haut-conseil-egalite.gouv.fr/185.194.83.18","443","INFO","not offered","",""
"cipherlist_STRONG_FS","haut-conseil-egalite.gouv.fr/185.194.83.18","443","OK","offered","",""
"cipher_order-tls1_2","haut-conseil-egalite.gouv.fr/185.194.83.18","443","OK","server","",""
"cipherorder_TLSv1_2","haut-conseil-egalite.gouv.fr/185.194.83.18","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","haut-conseil-egalite.gouv.fr/185.194.83.18","443","OK","server","",""
"FS","haut-conseil-egalite.gouv.fr/185.194.83.18","443","OK","offered","",""
"FS_ciphers","haut-conseil-egalite.gouv.fr/185.194.83.18","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","haut-conseil-egalite.gouv.fr/185.194.83.18","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","haut-conseil-egalite.gouv.fr/185.194.83.18","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","haut-conseil-egalite.gouv.fr/185.194.83.18","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","haut-conseil-egalite.gouv.fr/185.194.83.18","443","INFO","yes","",""
"sessionresumption_ticket","haut-conseil-egalite.gouv.fr/185.194.83.18","443","INFO","not supported","",""
"sessionresumption_ID","haut-conseil-egalite.gouv.fr/185.194.83.18","443","INFO","supported","",""
"TLS_timestamp","haut-conseil-egalite.gouv.fr/185.194.83.18","443","INFO","random","",""
"cert_compression","haut-conseil-egalite.gouv.fr/185.194.83.18","443","INFO","N/A","",""
"clientAuth","haut-conseil-egalite.gouv.fr/185.194.83.18","443","INFO","none","",""
"cert_numbers","haut-conseil-egalite.gouv.fr/185.194.83.18","443","INFO","1","",""
"cert_signatureAlgorithm","haut-conseil-egalite.gouv.fr/185.194.83.18","443","OK","SHA256 with RSA","",""
"cert_keySize","haut-conseil-egalite.gouv.fr/185.194.83.18","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","haut-conseil-egalite.gouv.fr/185.194.83.18","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","haut-conseil-egalite.gouv.fr/185.194.83.18","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","haut-conseil-egalite.gouv.fr/185.194.83.18","443","INFO","CF0944BDE08D4BB7BE42E6840D7F535F","",""
"cert_serialNumberLen","haut-conseil-egalite.gouv.fr/185.194.83.18","443","INFO","16","",""
"cert_fingerprintSHA1","haut-conseil-egalite.gouv.fr/185.194.83.18","443","INFO","9C1D97E6F93C6DE2B0C1E765148BAF175E8D4E27","",""
"cert_fingerprintSHA256","haut-conseil-egalite.gouv.fr/185.194.83.18","443","INFO","9AA9E6F0244ED27325ACF4AA4DBC06B581F348DFE436CD5785FF26EA5709D15C","",""
"cert","haut-conseil-egalite.gouv.fr/185.194.83.18","443","INFO","-----BEGIN CERTIFICATE-----\nMIIInDCCBoSgAwIBAgIRAM8JRL3gjUu3vkLmhA1/U18wDQYJKoZIhvcNAQELBQAwfTELMAkGA1UEBhMCRlIxEjAQBgNVBAoMCURISU1ZT1RJUzEcMBoGA1UECwwTMDAwMiA0ODE0NjMwODEwMDAzNjEdMBsGA1UEYQwUTlRSRlItNDgxNDYzMDgxMDAwMzYxHTAbBgNVBAMMFENlcnRpZ25hIFNlcnZpY2VzIENBMB4XDTI0MDQxNTIyMDAwMFoXDTI1MDUxMDIxNTk1OVowgZwxCzAJBgNVBAYTAkZSMQ4wDAYDVQQHDAVQQVJJUzFBMD8GA1UECgw4U0VDUkVUQVJJQVQgR0VORVJBTCBNSU5JU1RFUkVTIENIQVJHRVMgQUZGQUlSRVMgU09DSUFMRVMxJTAjBgNVBAMMHGhhdXQtY29uc2VpbC1lZ2FsaXRlLmdvdXYuZnIxEzARBgNVBAUTClMzMDY1MjA5NzgwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDVNWb6DytqqAC+eztbF4NZjZj5dBql0jGrqtHz8gSffv5Fs7cuJ0hjhLtSZVyCHZb8VmNB4kB0UlFp2ApsJ3/ZOtgXjDrm/xb/71ZApSDc7a5ckW1efLoLGRhyEddlMNfG8WWVTXxmE+e5NGAbXccIBGsWuByLoEvfHSfLo1yokcJp8F2O2nF6Q2Gd/y8DGg4kzMhzdhnR6Wr6gyI2d3Pou90Ob5saU9SLa+piY0m/PihWoVugOs47rm16A8KAY3GaANdUrMGK3XMyFw45wEztHDNCMQC7H0b+P8u37wVBTcszBJdb0s8N08713LfhWywNAG7Q6xynOuXQOPPWKvPxAgMBAAGjggP1MIID8TCB5AYIKwYBBQUHAQEEgdcwgdQwNgYIKwYBBQUHMAKGKmh0dHA6Ly9hdXRvcml0ZS5jZXJ0aWduYS5mci9zZXJ2aWNlc2NhLmRlcjA4BggrBgEFBQcwAoYsaHR0cDovL2F1dG9yaXRlLmRoaW15b3Rpcy5jb20vc2VydmljZXNjYS5kZXIwLgYIKwYBBQUHMAGGImh0dHA6Ly9zZXJ2aWNlc2NhLm9jc3AuY2VydGlnbmEuZnIwMAYIKwYBBQUHMAGGJGh0dHA6Ly9zZXJ2aWNlc2NhLm9jc3AuZGhpbXlvdGlzLmNvbTAfBgNVHSMEGDAWgBSs7IaPSzccuH8XGxnQruhO4zRcEjAMBgNVHRMBAf8EAjAAMGEGA1UdIARaMFgwCAYGZ4EMAQICMEwGCyqBegGBMQIFAQEBMD0wOwYIKwYBBQUHAgEWL2h0dHBzOi8vd3d3LmNlcnRpZ25hLmNvbS9hdXRvcml0ZS1jZXJ0aWZpY2F0aW9uMGUGA1UdHwReMFwwLaAroCmGJ2h0dHA6Ly9jcmwuZGhpbXlvdGlzLmNvbS9zZXJ2aWNlc2NhLmNybDAroCmgJ4YlaHR0cDovL2NybC5jZXJ0aWduYS5mci9zZXJ2aWNlc2NhLmNybDATBgNVHSUEDDAKBggrBgEFBQcDATAOBgNVHQ8BAf8EBAMCBaAwSQYDVR0RBEIwQIIcaGF1dC1jb25zZWlsLWVnYWxpdGUuZ291di5mcoIgd3d3LmhhdXQtY29uc2VpbC1lZ2FsaXRlLmdvdXYuZnIwHQYDVR0OBBYEFAgWij3JoA8EDOpuLGxx3djL5qe1MIIBfgYKKwYBBAHWeQIEAgSCAW4EggFqAWgAdgBOdaMnXJoQwzhbbNTfP1LrHfDgjhuNacCx+mSxYpo53wAAAY7l5LcPAAAEAwBHMEUCIBlrJOCj6Je2ttZLg7RojnQkGmTLJ7Cnm2VYLYg9wTE2AiEAqTkvGeHcBab+BkbXa8hnhXI+V+lF9XOOG/9rvMg0ZNkAdwDPEVbu1S58r/OHW9lpLpvpGnFnSrAX7KwB0lt3zsw7CAAAAY7l5LdfAAAEAwBIMEYCIQCVVTBdjOK3yczQwxQU+G75ph9zenHYznyodcf5NfN2SgIhALWs/onpgYmzo0Bb9YGl1uNh50VSU7n8Pkoy0cUPB3JpAHUAouMK5EXvva2bfjjtR2d3U9eCW4SU1yteGyzEuVCkR+cAAAGO5eS8VwAABAMARjBEAiBe5TiZKJ+egePz2wlmcMGnv+knGDT9aS5RtrgI89lp7AIgG1faYiZEt/8gDDzrwiaSitb/Xuvt0VaYZ7rzHpny3mYwDQYJKoZIhvcNAQELBQADggIBAIRUFS0bZwqP7t1g7fTzv7y1KgAkRiizUqsw/9BnffipSyc+NV529engbbmhE92rZDN5/Jax62nvx4oIfyuMz1VoZ1lqEhdA9yhYfpSP+7JE837Vc6SbhPuibkUXh/mlFFuOGot2jtId2rPfPp0clI5n12RYahcN9Dv2PI+9LjuSS/byZgOgXxF0A5fkeJhGqikl3MEYOtdBvgKJxbrw9rurpuJmYVgZdugL0N1IMOPWFUJcWCn2Pv6T+jdSQ0ks6BSLmZBb21Hf7Suh90O5wDrRreZ/dP5stekK8LsOhgNNLhxbsQ3wcKfGdeusRJ711RHvLVmQHrW73Un3eAc8YndCwWv05M9vMt2bq3zDLY/5FYpH9DWVdSxvZD5ADHbviSjF1FoxQlAGrG9TVWJnW1geNh3JAOH1J+cf0Yqrh0P0mqH+vM+fh7MgZNgkgR6fyVYK7+anB558d+DStKtLyBejIsreKY5PsBWb0RVS0QRkciHGNtwnYKdFbxW9oiisTflkLuzTb9iwQB4yCczzC9WaxgR7tAhnYmxLMsNhlC8jxmV6XYwNJMjubQZi2Jyhvhjg5W+WbROvbX3j7fpQapkk2MP80sczIQwtRO/x7zkyiCOysKZat0GjlqAKcJl/kY5FPy0zuLPoxY5J0Fjq+hxX4l894iIShS5xwThuxqjY\n-----END CERTIFICATE-----","",""
"cert_commonName","haut-conseil-egalite.gouv.fr/185.194.83.18","443","OK","haut-conseil-egalite.gouv.fr","",""
"cert_commonName_wo_SNI","haut-conseil-egalite.gouv.fr/185.194.83.18","443","INFO","haut-conseil-egalite.gouv.fr","",""
"cert_subjectAltName","haut-conseil-egalite.gouv.fr/185.194.83.18","443","INFO","haut-conseil-egalite.gouv.fr www.haut-conseil-egalite.gouv.fr","",""
"cert_trust","haut-conseil-egalite.gouv.fr/185.194.83.18","443","OK","Ok via SAN and CN (same w/o SNI)","",""
"cert_chain_of_trust","haut-conseil-egalite.gouv.fr/185.194.83.18","443","OK","passed.","",""
"cert_certificatePolicies_EV","haut-conseil-egalite.gouv.fr/185.194.83.18","443","INFO","no","",""
"cert_expirationStatus","haut-conseil-egalite.gouv.fr/185.194.83.18","443","OK","258 >= 60 days","",""
"cert_notBefore","haut-conseil-egalite.gouv.fr/185.194.83.18","443","INFO","2024-04-15 22:00","",""
"cert_notAfter","haut-conseil-egalite.gouv.fr/185.194.83.18","443","OK","2025-05-10 21:59","",""
"cert_extlifeSpan","haut-conseil-egalite.gouv.fr/185.194.83.18","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","haut-conseil-egalite.gouv.fr/185.194.83.18","443","INFO","not present","",""
