"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","igas.gouv.fr/185.194.82.167","443","INFO","HTTP","",""
"pre_128cipher","igas.gouv.fr/185.194.82.167","443","INFO","No 128 cipher limit bug","",""
"SSLv2","igas.gouv.fr/185.194.82.167","443","OK","not offered","",""
"SSLv3","igas.gouv.fr/185.194.82.167","443","OK","not offered","",""
"TLS1","igas.gouv.fr/185.194.82.167","443","INFO","not offered","",""
"TLS1_1","igas.gouv.fr/185.194.82.167","443","INFO","is not offered","",""
"TLS1_2","igas.gouv.fr/185.194.82.167","443","OK","offered","",""
"TLS1_3","igas.gouv.fr/185.194.82.167","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","igas.gouv.fr/185.194.82.167","443","INFO","not offered","",""
"cipherlist_NULL","igas.gouv.fr/185.194.82.167","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","igas.gouv.fr/185.194.82.167","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","igas.gouv.fr/185.194.82.167","443","OK","not offered","","CWE-327"
"cipherlist_LOW","igas.gouv.fr/185.194.82.167","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","igas.gouv.fr/185.194.82.167","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","igas.gouv.fr/185.194.82.167","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","igas.gouv.fr/185.194.82.167","443","OK","offered","",""
"cipherlist_STRONG","igas.gouv.fr/185.194.82.167","443","OK","offered","",""
"cipher_order","igas.gouv.fr/185.194.82.167","443","OK","server","",""
"protocol_negotiated","igas.gouv.fr/185.194.82.167","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","igas.gouv.fr/185.194.82.167","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","igas.gouv.fr/185.194.82.167","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","igas.gouv.fr/185.194.82.167","443","OK","offered","",""
"FS_ciphers","igas.gouv.fr/185.194.82.167","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","igas.gouv.fr/185.194.82.167","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","igas.gouv.fr/185.194.82.167","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","igas.gouv.fr/185.194.82.167","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","igas.gouv.fr/185.194.82.167","443","INFO","yes","",""
"sessionresumption_ticket","igas.gouv.fr/185.194.82.167","443","INFO","not supported","",""
"sessionresumption_ID","igas.gouv.fr/185.194.82.167","443","INFO","supported","",""
"TLS_timestamp","igas.gouv.fr/185.194.82.167","443","INFO","random","",""
"clientAuth","igas.gouv.fr/185.194.82.167","443","INFO","none","",""
"cert_numbers","igas.gouv.fr/185.194.82.167","443","INFO","1","",""
"cert_signatureAlgorithm","igas.gouv.fr/185.194.82.167","443","OK","SHA256 with RSA","",""
"cert_keySize","igas.gouv.fr/185.194.82.167","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","igas.gouv.fr/185.194.82.167","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","igas.gouv.fr/185.194.82.167","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","igas.gouv.fr/185.194.82.167","443","INFO","C08122308A2599757C4AF0149992D148","",""
"cert_fingerprintSHA1","igas.gouv.fr/185.194.82.167","443","INFO","3FF5836AAE67A0215C99428FEBDDA56D6AE3A919","",""
"cert_fingerprintSHA256","igas.gouv.fr/185.194.82.167","443","INFO","5168ECE18451A7D320E981BA3653600F2F26BE9AAF81AE8B5E8E303D9B55077D","",""
"cert","igas.gouv.fr/185.194.82.167","443","INFO","-----BEGIN CERTIFICATE----- MIIICzCCBfOgAwIBAgIRAMCBIjCKJZl1fErwFJmS0UgwDQYJKoZIhvcNAQELBQAw fTELMAkGA1UEBhMCRlIxEjAQBgNVBAoMCURISU1ZT1RJUzEcMBoGA1UECwwTMDAw MiA0ODE0NjMwODEwMDAzNjEdMBsGA1UEYQwUTlRSRlItNDgxNDYzMDgxMDAwMzYx HTAbBgNVBAMMFENlcnRpZ25hIFNlcnZpY2VzIENBMB4XDTIwMTIwMTIzMDAwMFoX DTIxMTAzMDIxNTk1OVowgakxCzAJBgNVBAYTAkZSMQ4wDAYDVQQHDAVQQVJJUzFB MD8GA1UECgw4U0VDUkVUQVJJQVQgR0VORVJBTCBNSU5JU1RFUkVTIENIQVJHRVMg QUZGQUlSRVMgU09DSUFMRVMxHDAaBgNVBAsMEzAwMDIgMTMwMDA2ODAyMDAwMTYx FTATBgNVBAMMDGlnYXMuZ291di5mcjESMBAGA1UEBRMJUzE4MzM3MDAzMIIBIjAN BgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAtZ2N5k4kj/jhNqg5OKfo9LYLrSVH 9FTivOviaEsG5JJ7g2nmCGn5NTqetZWwhkH8uEPb0LLEkscUDToLGh/c3ODXUnB9 Ct1sUWQjx2u6gK2aqqsTcUmuINVGD1WJRDJwog2wCQMDMGd/NBwvn+bW1GetuKGu avCwrE9X8soL4H2+xMtQ+L3oyOURr96HAcEiNlNI5HXAj0MgJMp54pvZqdTnCxnW MlV/x0rrItjxUpzWXr0ga0pgBuY9QBbVtaTNB3x1N2l6f9yPJEMjQE0gBn3K2mZr +x0z1Qqr16YF9PX34lti/t4AN1E2pfqblVjDrKIO8ppfQgmpnC5TVo8E2QIDAQAB o4IDVzCCA1MwgeQGCCsGAQUFBwEBBIHXMIHUMDgGCCsGAQUFBzAChixodHRwOi8v YXV0b3JpdGUuZGhpbXlvdGlzLmNvbS9zZXJ2aWNlc2NhLmRlcjA2BggrBgEFBQcw AoYqaHR0cDovL2F1dG9yaXRlLmNlcnRpZ25hLmZyL3NlcnZpY2VzY2EuZGVyMDAG CCsGAQUFBzABhiRodHRwOi8vc2VydmljZXNjYS5vY3NwLmRoaW15b3Rpcy5jb20w LgYIKwYBBQUHMAGGImh0dHA6Ly9zZXJ2aWNlc2NhLm9jc3AuY2VydGlnbmEuZnIw HwYDVR0jBBgwFoAUrOyGj0s3HLh/FxsZ0K7oTuM0XBIwCQYDVR0TBAIwADBhBgNV HSAEWjBYMAgGBmeBDAECAjBMBgsqgXoBgTECBQEBATA9MDsGCCsGAQUFBwIBFi9o dHRwczovL3d3dy5jZXJ0aWduYS5jb20vYXV0b3JpdGUtY2VydGlmaWNhdGlvbjBl BgNVHR8EXjBcMCugKaAnhiVodHRwOi8vY3JsLmNlcnRpZ25hLmZyL3NlcnZpY2Vz Y2EuY3JsMC2gK6AphidodHRwOi8vY3JsLmRoaW15b3Rpcy5jb20vc2VydmljZXNj YS5jcmwwEwYDVR0lBAwwCgYIKwYBBQUHAwEwDgYDVR0PAQH/BAQDAgWgMCkGA1Ud EQQiMCCCEHd3dy5pZ2FzLmdvdXYuZnKCDGlnYXMuZ291di5mcjAdBgNVHQ4EFgQU IJxkMxpFRkA1Wvt/QN7eDG7WEZkwggEDBgorBgEEAdZ5AgQCBIH0BIHxAO8AdQB9 PvL4j/+IVWgkwsDKnlKJeSvFDngJfy5ql2iZfiLw1wAAAXYi2ssZAAAEAwBGMEQC IC3yUaBJ0DWNb4EMRND97EEl9GYtZx4HAJvYUi7SgRIBAiBTh+7zZba/gOEaeqM5 l5HZc1YWa9pWznd7tl58MhvgOQB2AESUZS6w7s6vxEAH2Kj+KMDa5oK+2MsxtT/T M5a1toGoAAABdiLay+wAAAQDAEcwRQIhAN2ki0DSVNqSREFslkk1qmx93Aa85r8B vHWAf7hvZeP6AiAKZW4lz3Kr7FJJASGWyTw7eIzROdt0D+jvq/ETYvGKqzANBgkq hkiG9w0BAQsFAAOCAgEAN4Ghskq6FQrBjeXU6NB6+7kxmnztatdRwXGRmJzPJFZ5 OA74IYQMbF4z8tm9JTFSRWkVMGZFttMdpiLvRqALwD9ZS2nzLxCy0DzFNu1MTcl4 kjtUuORE+JVWTketcA17J6FX5ps6oUO491eGklLRJKU2sPRhiwRBRmUuwiqR9wY6 hBAEPrXdE3ky1hQHFFVzayy1DdpygYR5C05pLRrqIVFywqgegwV6LIiiQxIYhqzo YUXokUoMU5uw7UL1JdoiWt9NjmT9R5Xcm7eFUInUsccuajTj1w/y7beQXqASs+of ysSwdBW4VQf1D5eZpod9X8CROCLLKQM4kM4en0olST6s7SlGQInI3TKg7WP8HOcG PbrwT7EA+nNkBT318NENRnwYckHjjsH4+lgr7Pfu1Gr97VQXGgU4rWxi6CwAG21Y m9E5Q6PbSawpaG9xbk3ilxZUJNdosNC7edvktgkYpBKJdfgmXr4SK6SebxAKasYx kt98ERnN3GzgWQ3gP7IncT6JA0kAOtzhuWy7263BmUBaKCJfH46F7O2BvpgzO0qZ P+SleR8dNHc50bRS/4Xvue8pg+IXrHmhnxX4lg/TVva/gAre1TowJkfzY1glqGhY Btw9Whv67KZoeafsefnGJ6mTHWwqtjBFusqYfl0uv2/kBHp8PZiOajqOzqjDia8= -----END CERTIFICATE-----","",""
"cert_commonName","igas.gouv.fr/185.194.82.167","443","OK","igas.gouv.fr","",""
"cert_commonName_wo_SNI","igas.gouv.fr/185.194.82.167","443","INFO","igas.gouv.fr","",""
"cert_subjectAltName","igas.gouv.fr/185.194.82.167","443","INFO","www.igas.gouv.fr igas.gouv.fr","",""
"cert_trust","igas.gouv.fr/185.194.82.167","443","OK","Ok via SAN and CN (same w/o SNI)","",""
"cert_chain_of_trust","igas.gouv.fr/185.194.82.167","443","CRITICAL","Some certificate trust checks failed -> Java (chain incomplete)  , OK -> Mozilla Microsoft Linux Apple","",""
"cert_certificatePolicies_EV","igas.gouv.fr/185.194.82.167","443","INFO","no","",""
"cert_expirationStatus","igas.gouv.fr/185.194.82.167","443","OK","210 >= 60 days","",""
"cert_notBefore","igas.gouv.fr/185.194.82.167","443","INFO","2020-12-01 23:00","",""
"cert_notAfter","igas.gouv.fr/185.194.82.167","443","OK","2021-10-30 21:59","",""
"cert_extlifeSpan","igas.gouv.fr/185.194.82.167","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","igas.gouv.fr/185.194.82.167","443","INFO","not present","",""
"cert_crlDistributionPoints","igas.gouv.fr/185.194.82.167","443","INFO","http://crl.certigna.fr/servicesca.crl http://crl.dhimyotis.com/servicesca.crl","",""
"cert_ocspURL","igas.gouv.fr/185.194.82.167","443","INFO","http://servicesca.ocsp.dhimyotis.com http://servicesca.ocsp.certigna.fr","",""
"OCSP_stapling","igas.gouv.fr/185.194.82.167","443","LOW","not offered","",""
"cert_mustStapleExtension","igas.gouv.fr/185.194.82.167","443","INFO","--","",""
"DNS_CAArecord","igas.gouv.fr/185.194.82.167","443","LOW","--","",""
"certificate_transparency","igas.gouv.fr/185.194.82.167","443","OK","yes (certificate extension)","",""
"certs_countServer","igas.gouv.fr/185.194.82.167","443","INFO","2","",""
"certs_list_ordering_problem","igas.gouv.fr/185.194.82.167","443","INFO","no","",""
"cert_caIssuers","igas.gouv.fr/185.194.82.167","443","INFO","Certigna Services CA (DHIMYOTIS from FR)","",""
"intermediate_cert <#1>","igas.gouv.fr/185.194.82.167","443","INFO","-----BEGIN CERTIFICATE----- MIIGFjCCBP6gAwIBAgIQb4L6KKzW94S7WxILqHNnrTANBgkqhkiG9w0BAQsFADA0 MQswCQYDVQQGEwJGUjESMBAGA1UECgwJRGhpbXlvdGlzMREwDwYDVQQDDAhDZXJ0 aWduYTAeFw0xNTExMjUxMTMzNTJaFw0yNTExMjIxMTMzNTJaMH0xCzAJBgNVBAYT AkZSMRIwEAYDVQQKDAlESElNWU9USVMxHDAaBgNVBAsMEzAwMDIgNDgxNDYzMDgx MDAwMzYxHTAbBgNVBGEMFE5UUkZSLTQ4MTQ2MzA4MTAwMDM2MR0wGwYDVQQDDBRD ZXJ0aWduYSBTZXJ2aWNlcyBDQTCCAiIwDQYJKoZIhvcNAQEBBQADggIPADCCAgoC ggIBALPM+7LpWBz9wFcPaTc3xnB+5g0XrnptB0EPPfrR04vO52Ykm4ky1d4ZLd10 tbM1fa1RqNSOVWWg93O4pL7zCFKlz6JV74ZZVhHpEAwzBwv2oPnxvVbxtSN67xsS Y66ahUYxjzs8+3FhmsiRxqwnTYvK2u70uglUvRisOKyTL/M6JnrC4y8tlmoz7OSa 5BmBMVplJFQtvmON6N9aHLvYMz+EyJPCbXL6pELxeHjFT5QmIaRamsr2DOTaCjtB ZKI1Wnh3X7lnbjM8MESJiV2t7E9tIQNG0Z/HI3tO4aaUMum3KysY5sC8v3vi7rry GidgzHQhrtP0ZXWW5UH/k7umLS/P/XXWnCFpc2Lxa1uDGfc2im7xibRoPP+JNZsz N76euFlls6jyEXAiwnVr14tVVTewLK0OWs5SJHpEKp8PGMZRDj59EmMvokWwzL6Q zNZ6vVAp00oOm05sbspNY9+MFqGKKUsKvhFGEa4XmRNxDe6KswLcjPZB+NKHZ0QW Fd4ip5C5XmEK/8qIPjwVr9dah9+oiHGGO8Wx7gJAMF5DTmkvW7GhqCKj1LmHnabj zc8av6kxWVQZi/C7HCm9i/W4wio+JA2EAFLqNL3GPNbK9kau4yPhQt/c7zxzo0OH nlsV4THCG7oOCd3cfCiyfQcb3FBt6OSpaKRZxjCLBwP00r0fAgMBAAGjggHZMIIB 1TASBgNVHRMBAf8ECDAGAQH/AgEAMA4GA1UdDwEB/wQEAwIBBjAdBgNVHQ4EFgQU rOyGj0s3HLh/FxsZ0K7oTuM0XBIwZAYDVR0jBF0wW4AUGu3+QTmQtCRZvgHyUtVF 9lo53BGhOKQ2MDQxCzAJBgNVBAYTAkZSMRIwEAYDVQQKDAlEaGlteW90aXMxETAP BgNVBAMMCENlcnRpZ25hggkA/tzjAQ/JSP8wSQYDVR0gBEIwQDA+BgoqgXoBgTEB AAECMDAwLgYIKwYBBQUHAgEWImh0dHBzOi8vd3d3LmNlcnRpZ25hLmZyL2F1dG9y aXRlcy8wfAYIKwYBBQUHAQEEcDBuMDQGCCsGAQUFBzAChihodHRwOi8vYXV0b3Jp dGUuY2VydGlnbmEuZnIvY2VydGlnbmEuZGVyMDYGCCsGAQUFBzAChipodHRwOi8v YXV0b3JpdGUuZGhpbXlvdGlzLmNvbS9jZXJ0aWduYS5kZXIwYQYDVR0fBFowWDAp oCegJYYjaHR0cDovL2NybC5jZXJ0aWduYS5mci9jZXJ0aWduYS5jcmwwK6ApoCeG JWh0dHA6Ly9jcmwuZGhpbXlvdGlzLmNvbS9jZXJ0aWduYS5jcmwwDQYJKoZIhvcN AQELBQADggEBAGLft7gIuGPZVfg0cTM+HT2xAZFPDb/2+siH06x+dH044zMKbBIN bRzhKipwB1A3MW8FQjveE9tyrfyuqZE/X+o2SlGcdNV44ybYkxo4f6kcLEavV/IW +oFEnojZlhpksYcxrvQoEyqkAwshe8IS2KtZHKVACrt+XSs0lwvy7ALGmHaF7A4b y6cZWItA7Lhj8XWp+8tBJDj7HocRbWtxzEODdBuyMgJzFrNjc+97J0vH/K0+3yjm kczpKshMA0tM+MF9XDMN/MuwrPmUWGO/fHiqHgUp8yqeWtl1n44ZxkkK1t9GRwhn DWLv73/xhTmdhWYQ/reo0GbgBoLiltKmIJQ= -----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","igas.gouv.fr/185.194.82.167","443","INFO","71E653BFBF5E72515B4099BBD5EC8872812B47C6EC1FA9ADD327E1C92C9EA16D","",""
"intermediate_cert_notBefore <#1>","igas.gouv.fr/185.194.82.167","443","INFO","2015-11-25 11:33","",""
"intermediate_cert_notAfter <#1>","igas.gouv.fr/185.194.82.167","443","OK","2025-11-22 11:33","",""
"intermediate_cert_expiration <#1>","igas.gouv.fr/185.194.82.167","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","igas.gouv.fr/185.194.82.167","443","INFO","Certigna Services CA <-- Certigna","",""
"intermediate_cert_badOCSP","igas.gouv.fr/185.194.82.167","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","igas.gouv.fr/185.194.82.167","443","INFO","200 OK ('/')","",""
"HTTP_clock_skew","igas.gouv.fr/185.194.82.167","443","INFO","-1 seconds from localtime","",""
"HSTS_time","igas.gouv.fr/185.194.82.167","443","OK","365 days (=31536000 seconds) > 15465600 seconds","",""
"HSTS_subdomains","igas.gouv.fr/185.194.82.167","443","OK","includes subdomains","",""
"HSTS_preload","igas.gouv.fr/185.194.82.167","443","INFO","domain is NOT marked for preloading","",""
