"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","igas.gouv.fr/185.194.83.89","443","INFO","HTTP","",""
"pre_128cipher","igas.gouv.fr/185.194.83.89","443","INFO","No 128 cipher limit bug","",""
"SSLv2","igas.gouv.fr/185.194.83.89","443","OK","not offered","",""
"SSLv3","igas.gouv.fr/185.194.83.89","443","OK","not offered","",""
"TLS1","igas.gouv.fr/185.194.83.89","443","INFO","not offered","",""
"TLS1_1","igas.gouv.fr/185.194.83.89","443","INFO","not offered","",""
"TLS1_2","igas.gouv.fr/185.194.83.89","443","OK","offered","",""
"TLS1_3","igas.gouv.fr/185.194.83.89","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","igas.gouv.fr/185.194.83.89","443","OK","h2","",""
"ALPN","igas.gouv.fr/185.194.83.89","443","INFO","http/1.1","",""
"cipherlist_NULL","igas.gouv.fr/185.194.83.89","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","igas.gouv.fr/185.194.83.89","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","igas.gouv.fr/185.194.83.89","443","OK","not offered","","CWE-327"
"cipherlist_LOW","igas.gouv.fr/185.194.83.89","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","igas.gouv.fr/185.194.83.89","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","igas.gouv.fr/185.194.83.89","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","igas.gouv.fr/185.194.83.89","443","INFO","not offered","",""
"cipherlist_STRONG_FS","igas.gouv.fr/185.194.83.89","443","OK","offered","",""
"cipher_order-tls1_2","igas.gouv.fr/185.194.83.89","443","OK","server","",""
"cipherorder_TLSv1_2","igas.gouv.fr/185.194.83.89","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","igas.gouv.fr/185.194.83.89","443","OK","server","",""
"FS","igas.gouv.fr/185.194.83.89","443","OK","offered","",""
"FS_ciphers","igas.gouv.fr/185.194.83.89","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","igas.gouv.fr/185.194.83.89","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","igas.gouv.fr/185.194.83.89","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","igas.gouv.fr/185.194.83.89","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","igas.gouv.fr/185.194.83.89","443","INFO","yes","",""
"sessionresumption_ticket","igas.gouv.fr/185.194.83.89","443","INFO","not supported","",""
"sessionresumption_ID","igas.gouv.fr/185.194.83.89","443","INFO","supported","",""
"TLS_timestamp","igas.gouv.fr/185.194.83.89","443","INFO","random","",""
"cert_compression","igas.gouv.fr/185.194.83.89","443","INFO","N/A","",""
"clientAuth","igas.gouv.fr/185.194.83.89","443","INFO","none","",""
"cert_numbers","igas.gouv.fr/185.194.83.89","443","INFO","1","",""
"cert_signatureAlgorithm","igas.gouv.fr/185.194.83.89","443","OK","SHA256 with RSA","",""
"cert_keySize","igas.gouv.fr/185.194.83.89","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","igas.gouv.fr/185.194.83.89","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","igas.gouv.fr/185.194.83.89","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","igas.gouv.fr/185.194.83.89","443","INFO","1E4355D54ABF59EB93C2EC5628F76EEA","",""
"cert_serialNumberLen","igas.gouv.fr/185.194.83.89","443","INFO","16","",""
"cert_fingerprintSHA1","igas.gouv.fr/185.194.83.89","443","INFO","5AA7E65D253A60A943B72B5EFCAF72AC9C279E77","",""
"cert_fingerprintSHA256","igas.gouv.fr/185.194.83.89","443","INFO","C017DD9B4DF116074E60352197A46CAC66419190F98C6B1CC018613027E7307F","",""
