"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","injep.fr/185.194.82.168","443","INFO","HTTP","",""
"pre_128cipher","injep.fr/185.194.82.168","443","INFO","No 128 cipher limit bug","",""
"SSLv2","injep.fr/185.194.82.168","443","OK","not offered","",""
"SSLv3","injep.fr/185.194.82.168","443","OK","not offered","",""
"TLS1","injep.fr/185.194.82.168","443","INFO","not offered","",""
"TLS1_1","injep.fr/185.194.82.168","443","INFO","is not offered","",""
"TLS1_2","injep.fr/185.194.82.168","443","OK","offered","",""
"TLS1_3","injep.fr/185.194.82.168","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","injep.fr/185.194.82.168","443","INFO","not offered","",""
"cipherlist_NULL","injep.fr/185.194.82.168","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","injep.fr/185.194.82.168","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","injep.fr/185.194.82.168","443","OK","not offered","","CWE-327"
"cipherlist_LOW","injep.fr/185.194.82.168","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","injep.fr/185.194.82.168","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","injep.fr/185.194.82.168","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","injep.fr/185.194.82.168","443","OK","offered","",""
"cipherlist_STRONG","injep.fr/185.194.82.168","443","OK","offered","",""
"cipher_order","injep.fr/185.194.82.168","443","OK","server","",""
"protocol_negotiated","injep.fr/185.194.82.168","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","injep.fr/185.194.82.168","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","injep.fr/185.194.82.168","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","injep.fr/185.194.82.168","443","OK","offered","",""
"FS_ciphers","injep.fr/185.194.82.168","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","injep.fr/185.194.82.168","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","injep.fr/185.194.82.168","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","injep.fr/185.194.82.168","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","injep.fr/185.194.82.168","443","INFO","yes","",""
"sessionresumption_ticket","injep.fr/185.194.82.168","443","INFO","not supported","",""
"sessionresumption_ID","injep.fr/185.194.82.168","443","INFO","supported","",""
"TLS_timestamp","injep.fr/185.194.82.168","443","INFO","random","",""
"clientAuth","injep.fr/185.194.82.168","443","INFO","none","",""
"cert_numbers","injep.fr/185.194.82.168","443","INFO","1","",""
"cert_signatureAlgorithm","injep.fr/185.194.82.168","443","OK","SHA256 with RSA","",""
"cert_keySize","injep.fr/185.194.82.168","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","injep.fr/185.194.82.168","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","injep.fr/185.194.82.168","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","injep.fr/185.194.82.168","443","INFO","8E9B401031E5A1AD4F693AC813772EE3","",""
"cert_fingerprintSHA1","injep.fr/185.194.82.168","443","INFO","72B87930C4425581275B09E41D7EEAEA7E7720F4","",""
"cert_fingerprintSHA256","injep.fr/185.194.82.168","443","INFO","1F42148E01C53B3B3289EADB51742D0A5B8168BD65DC88BF0F1F3E458F370396","",""
