"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","HTTP","",""
"pre_128cipher","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","No 128 cipher limit bug","",""
"SSLv2","lutte-pauvrete.gouv.fr/185.194.82.27","443","OK","not offered","",""
"SSLv3","lutte-pauvrete.gouv.fr/185.194.82.27","443","OK","not offered","",""
"TLS1","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","not offered","",""
"TLS1_1","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","is not offered","",""
"TLS1_2","lutte-pauvrete.gouv.fr/185.194.82.27","443","OK","offered","",""
"TLS1_3","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","not offered","",""
"cipherlist_NULL","lutte-pauvrete.gouv.fr/185.194.82.27","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","lutte-pauvrete.gouv.fr/185.194.82.27","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","lutte-pauvrete.gouv.fr/185.194.82.27","443","OK","not offered","","CWE-327"
"cipherlist_LOW","lutte-pauvrete.gouv.fr/185.194.82.27","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","lutte-pauvrete.gouv.fr/185.194.82.27","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","lutte-pauvrete.gouv.fr/185.194.82.27","443","OK","offered","",""
"cipherlist_STRONG","lutte-pauvrete.gouv.fr/185.194.82.27","443","OK","offered","",""
"cipher_order","lutte-pauvrete.gouv.fr/185.194.82.27","443","OK","server","",""
"protocol_negotiated","lutte-pauvrete.gouv.fr/185.194.82.27","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","lutte-pauvrete.gouv.fr/185.194.82.27","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","lutte-pauvrete.gouv.fr/185.194.82.27","443","OK","offered","",""
"FS_ciphers","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","lutte-pauvrete.gouv.fr/185.194.82.27","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","yes","",""
"sessionresumption_ticket","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","not supported","",""
"sessionresumption_ID","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","not supported","",""
"TLS_timestamp","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","random","",""
"clientAuth","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","none","",""
"cert_numbers","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","1","",""
"cert_signatureAlgorithm","lutte-pauvrete.gouv.fr/185.194.82.27","443","OK","SHA256 with RSA","",""
"cert_keySize","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","D0AEA1BA2141F10BD02CC044BF3B3D33","",""
"cert_fingerprintSHA1","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","B1BF56734E73C940A25294CBEC547387FA274FDD","",""
"cert_fingerprintSHA256","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","236F169C5B9A7E5369A8EE11834ABDB243DECBFB403F40D83958AB591F477CD3","",""
"cert","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","-----BEGIN CERTIFICATE----- MIIJOzCCByOgAwIBAgIRANCuobohQfEL0CzARL87PTMwDQYJKoZIhvcNAQELBQAw fTELMAkGA1UEBhMCRlIxEjAQBgNVBAoMCURISU1ZT1RJUzEcMBoGA1UECwwTMDAw MiA0ODE0NjMwODEwMDAzNjEdMBsGA1UEYQwUTlRSRlItNDgxNDYzMDgxMDAwMzYx HTAbBgNVBAMMFENlcnRpZ25hIFNlcnZpY2VzIENBMB4XDTE5MTIxNjEzMjk0OFoX DTIxMTIxNTEzMjk0OFowgbYxCzAJBgNVBAYTAkZSMQ4wDAYDVQQHDAVQQVJJUzEc MBoGA1UECgwTU0cgTUlOIEFGRkFJUkVTIFNPQzEdMBsGA1UEYQwUTlRSRlItMTMw MDA2ODAyMDAwMTYxHDAaBgNVBAsMEzAwMDIgMTMwMDA2ODAyMDAwMTYxKDAmBgNV BAMMH2RyZWVzLnNvbGlkYXJpdGVzLXNhbnRlLmdvdXYuZnIxEjAQBgNVBAUTCVMx NDY4NTAxMTCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBALYE3PQuh0f0 MpgH2Zmy8tfveZLl7JkKMM6rDeiJzBJCieRLBwZyQVQgtV2rTdPzvrCUOqV50UQI N6PyBKyM5ick1WfkNEyt9US/Y0zpglW3i4zwBnUEyTsWaYClwvJFSrXn5SoH4NZL pLoBq5QeumNkwlX65Y5/hlYwsOe1QLVt55nI0NFB2CczH1D95YzgFiRqJ8pQtVUg 4pItj0U38F3UiAt9XVkF0rZayEGYJI8/p7WKI2LsbC0r6B42ouFzO3TMT+EZ9J4N tHN2/rtZrCGKh8GfgGe8Cr8KtezAqH3HunZfU5V8WNOurx95z5XxDWofS1aN00o7 RI9/gkDnYesCAwEAAaOCBHowggR2MAkGA1UdEwQCMAAwDgYDVR0PAQH/BAQDAgWg MBMGA1UdJQQMMAoGCCsGAQUFBwMBMGUGA1UdHwReMFwwK6ApoCeGJWh0dHA6Ly9j cmwuY2VydGlnbmEuZnIvc2VydmljZXNjYS5jcmwwLaAroCmGJ2h0dHA6Ly9jcmwu ZGhpbXlvdGlzLmNvbS9zZXJ2aWNlc2NhLmNybDCB5AYIKwYBBQUHAQEEgdcwgdQw NgYIKwYBBQUHMAKGKmh0dHA6Ly9hdXRvcml0ZS5jZXJ0aWduYS5mci9zZXJ2aWNl c2NhLmRlcjA4BggrBgEFBQcwAoYsaHR0cDovL2F1dG9yaXRlLmRoaW15b3Rpcy5j b20vc2VydmljZXNjYS5kZXIwLgYIKwYBBQUHMAGGImh0dHA6Ly9zZXJ2aWNlc2Nh Lm9jc3AuY2VydGlnbmEuZnIwMAYIKwYBBQUHMAGGJGh0dHA6Ly9zZXJ2aWNlc2Nh Lm9jc3AuZGhpbXlvdGlzLmNvbTAdBgNVHQ4EFgQUOb8LDHYkgTk7D2UQ+v0lIiDk 0fIwHwYDVR0jBBgwFoAUrOyGj0s3HLh/FxsZ0K7oTuM0XBIwZAYDVR0RBF0wW4If ZHJlZXMuc29saWRhcml0ZXMtc2FudGUuZ291di5mcoIZc29saWRhcml0ZXMtc2Fu dGUuZ291di5mcoIdd3d3LnNvbGlkYXJpdGVzLXNhbnRlLmdvdXYuZnIwVAYDVR0g BE0wSzAIBgZngQwBAgIwPwYLKoF6AYExAgUBAQEwMDAuBggrBgEFBQcCARYiaHR0 cHM6Ly93d3cuY2VydGlnbmEuZnIvYXV0b3JpdGVzLzCCAfgGCisGAQQB1nkCBAIE ggHoBIIB5AHiAHcARJRlLrDuzq/EQAfYqP4owNrmgr7YyzG1P9MzlrW2gagAAAFv DuaSbAAABAMASDBGAiEA2YQzZsdjFm9seHdRbSrZ2IocfP2GD49oeuWOgBhNG2kC IQDUYXKz4zDI/jpNxm+okeGSe1qp2tlwHI6qasySRX0QbgB3AG9Tdqwx8DEZ2JkA pFEV/3cVHBHZAsEAKQaNsgiaN9kTAAABbw7mky0AAAQDAEgwRgIhANx1YAzCL0BE W/TY+BkUI6jBXAidOw20eRtGduKzl5AqAiEAtAeSxv5p3NTiUA1337lkAgIk1Nfe q6XUH881uHWYFNoAdgBc3EOS/uarRUSxXprUVuYQN/vV+kfcoXOUsl7m9scOygAA AW8O5pTfAAAEAwBHMEUCIBg+FcrpOj5QbxqOdSweQur771pw5T9z6FJnFRDbkZl2 AiEA+y9/9lGWHJER178gwplybA7ioYcX7RdkE2G4iYZNxusAdgD2XJQv0XcwIhRU GAgwlFaO400TGTO/3wwvIAvMTvFk4wAAAW8O5pWpAAAEAwBHMEUCIDq45XYxw8PJ /RLyYqyfMTvRhxeMZQ78oPoEPvZADAd7AiEAhdjc+9DTVh0D5UpiBLAJJ8bPiDxF tLmPrXXrCeGRa8MwDQYJKoZIhvcNAQELBQADggIBACy1u15EyjIvQcFIUX0wINQl GBv6OMm19B/H9Yc1scvG3XtX9OSO5G9ezoLMSgrSLlaJKo6EswA888XRBeaSG6Mk gTUPsuS24wOO0JAnloHzadVjfwXOoZcPP4tU4H/AnVpNDD/DpbfHyRpv7Ozdujgg 1JSxxGZxiMjX1OliE0K876Z5z+Ed6yCsTTOqQdJXOkKDERMWV6zjkxNksSWJdS9r 9H2qS7AT+QahQxmURD9gyjU4KH1+C1ucIsFyJ7S5MckHfxh1/wA0XBQgSFJylyC0 sOflP0SV3mu6CTpSV0LebTiaOPofsiEXpayYn0rCg+pnDykptRzSTWjEhyXCCp+F utNbpwTbpmuMQfuWstNgv0VEF39yN+DIQyoTpAEZWkiTHEek+Q5KEDgzFy6h8Hgp iHFmJiqwkLVXPw7VVVWfFUPOKlhDPPse2UMbm2cAoX+2XUNYTIq68jPjX0Srw4rK YfzLrKb+bEDzHc24GH3dXja19fAFcFvNylt7uhcKEbNthjAlHOvvBy2KNRDTgXaT y6MIi/ZnwQMJkqF6ltY4fDYb7b2oKjU7mxg2IrELAlUGcY0f5saQraTny+L1S45i fNIgxP/02b2x8Ppo1mxzSe9wGH9l9maAR3kGm5+b8J+FTE0zP8ZDxlWHG55M1PGt 6Lnw+0PB2eaxevCme1Vy -----END CERTIFICATE-----","",""
"cert_commonName","lutte-pauvrete.gouv.fr/185.194.82.27","443","OK","drees.solidarites-sante.gouv.fr","",""
"cert_commonName_wo_SNI","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","drees.solidarites-sante.gouv.fr","",""
"cert_subjectAltName","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","drees.solidarites-sante.gouv.fr solidarites-sante.gouv.fr www.solidarites-sante.gouv.fr","",""
"cert_trust","lutte-pauvrete.gouv.fr/185.194.82.27","443","HIGH","certificate does not match supplied URI (same w/o SNI)","",""
"cert_chain_of_trust","lutte-pauvrete.gouv.fr/185.194.82.27","443","CRITICAL","Some certificate trust checks failed -> Java (self signed CA in chain)  , OK -> Mozilla Microsoft Linux Apple","",""
"cert_certificatePolicies_EV","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","no","",""
"cert_expirationStatus","lutte-pauvrete.gouv.fr/185.194.82.27","443","OK","255 >= 60 days","",""
"cert_notBefore","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","2019-12-16 13:29","",""
"cert_notAfter","lutte-pauvrete.gouv.fr/185.194.82.27","443","OK","2021-12-15 13:29","",""
