"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","HTTP","",""
"pre_128cipher","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","No 128 cipher limit bug","",""
"SSLv2","lutte-pauvrete.gouv.fr/185.194.82.27","443","OK","not offered","",""
"SSLv3","lutte-pauvrete.gouv.fr/185.194.82.27","443","OK","not offered","",""
"TLS1","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","not offered","",""
"TLS1_1","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","not offered","",""
"TLS1_2","lutte-pauvrete.gouv.fr/185.194.82.27","443","OK","offered","",""
"TLS1_3","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","not offered","",""
"cipherlist_NULL","lutte-pauvrete.gouv.fr/185.194.82.27","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","lutte-pauvrete.gouv.fr/185.194.82.27","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","lutte-pauvrete.gouv.fr/185.194.82.27","443","OK","not offered","","CWE-327"
"cipherlist_LOW","lutte-pauvrete.gouv.fr/185.194.82.27","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","not offered","",""
"cipherlist_STRONG_FS","lutte-pauvrete.gouv.fr/185.194.82.27","443","OK","offered","",""
"cipher_order-tls1_2","lutte-pauvrete.gouv.fr/185.194.82.27","443","OK","server","",""
"cipherorder_TLSv1_2","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","lutte-pauvrete.gouv.fr/185.194.82.27","443","OK","server","",""
"FS","lutte-pauvrete.gouv.fr/185.194.82.27","443","OK","offered","",""
"FS_ciphers","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","lutte-pauvrete.gouv.fr/185.194.82.27","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","yes","",""
"sessionresumption_ticket","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","not supported","",""
"sessionresumption_ID","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","supported","",""
"TLS_timestamp","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","random","",""
"cert_compression","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","N/A","",""
"clientAuth","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","none","",""
"cert_numbers","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","1","",""
"cert_signatureAlgorithm","lutte-pauvrete.gouv.fr/185.194.82.27","443","OK","SHA256 with RSA","",""
"cert_keySize","lutte-pauvrete.gouv.fr/185.194.82.27","443","OK","RSA 3072 bits (exponent is 65537)","",""
"cert_keyUsage","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","9CA635387A26F83880F16AAB6DA23CC7","",""
"cert_serialNumberLen","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","16","",""
"cert_fingerprintSHA1","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","E73F986248DFF61C8CB0EAC574AE71FF52CAA004","",""
"cert_fingerprintSHA256","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","AF03932C89C57C125450D73AC4D78BC5AD7E4ADB5085BD44C0FE60BECAEAC90C","",""
"cert","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","-----BEGIN CERTIFICATE-----\nMIIKzjCCCLagAwIBAgIRAJymNTh6Jvg4gPFqq22iPMcwDQYJKoZIhvcNAQELBQAwfTELMAkGA1UEBhMCRlIxEjAQBgNVBAoMCURISU1ZT1RJUzEcMBoGA1UECwwTMDAwMiA0ODE0NjMwODEwMDAzNjEdMBsGA1UEYQwUTlRSRlItNDgxNDYzMDgxMDAwMzYxHTAbBgNVBAMMFENlcnRpZ25hIFNlcnZpY2VzIENBMB4XDTI0MDkwNDIyMDAwMFoXDTI1MTAwMTIxNTk1OVowgY0xCzAJBgNVBAYTAkZSMQ4wDAYDVQQHDAVQQVJJUzFBMD8GA1UECgw4U0VDUkVUQVJJQVQgR0VORVJBTCBNSU5JU1RFUkVTIENIQVJHRVMgQUZGQUlSRVMgU09DSUFMRVMxFjAUBgNVBAMMDXNhbnRlLmdvdXYuZnIxEzARBgNVBAUTClMzMjA3NTEwODQwggGiMA0GCSqGSIb3DQEBAQUAA4IBjwAwggGKAoIBgQC5PTb3Qijfbo0SbT7l/jsejDJcbhWu+h9xtpplsAw1VcE6jLjjUxi2wC0/P1o1mRWT2X7V8AY9hrTPr9rJrcws6VfZOVqYVRyiiBTWFz6qdn5RDrpWHEwGiIYSTgY+cF9WhMfSksb9WMp1AnpDIbI+nv8rg6MhBfnJ6fgRgIByenV1880axDm9kSyAMvkURZeoqgROSSmdFjQiRilt71Ar+o+BU0qjjqTMdVO7R0lf1ifnFjGm5wv2XhjTmO5LrTIPWuxfTTQ7K7I54T7TIhqDOICOlV3avr73/5hwKhdW23DYaqSxMhJ98QzfKc9AISSaVtQomyiIt2WaLeQVMRhWVhWjZXcGid2+VOdLhzCVc9P63PUXVQj7IP/GCmFxshoFXht8UarLB8Yop+Uzbic/J1VRcMI5SR/oJx6O2EbzvRT19qgm7ZsDe6WlaLbrSMfhDYnwjaxu9N8dLy5DoZWoyJZmOTrnhFppKmIA6ZbdQ5LYufxezMJ5LcKmiw4FIgUCAwEAAaOCBbYwggWyMIHkBggrBgEFBQcBAQSB1zCB1DA2BggrBgEFBQcwAoYqaHR0cDovL2F1dG9yaXRlLmNlcnRpZ25hLmZyL3NlcnZpY2VzY2EuZGVyMDgGCCsGAQUFBzAChixodHRwOi8vYXV0b3JpdGUuZGhpbXlvdGlzLmNvbS9zZXJ2aWNlc2NhLmRlcjAuBggrBgEFBQcwAYYiaHR0cDovL3NlcnZpY2VzY2Eub2NzcC5jZXJ0aWduYS5mcjAwBggrBgEFBQcwAYYkaHR0cDovL3NlcnZpY2VzY2Eub2NzcC5kaGlteW90aXMuY29tMB8GA1UdIwQYMBaAFKzsho9LNxy4fxcbGdCu6E7jNFwSMAwGA1UdEwEB/wQCMAAwYQYDVR0gBFowWDAIBgZngQwBAgIwTAYLKoF6AYExAgUBAQIwPTA7BggrBgEFBQcCARYvaHR0cHM6Ly93d3cuY2VydGlnbmEuY29tL2F1dG9yaXRlLWNlcnRpZmljYXRpb24wZQYDVR0fBF4wXDAroCmgJ4YlaHR0cDovL2NybC5jZXJ0aWduYS5mci9zZXJ2aWNlc2NhLmNybDAtoCugKYYnaHR0cDovL2NybC5kaGlteW90aXMuY29tL3NlcnZpY2VzY2EuY3JsMBMGA1UdJQQMMAoGCCsGAQUFBwMBMA4GA1UdDwEB/wQEAwIFoDCCAY8GA1UdEQSCAYYwggGCgh13d3cuc29saWRhcml0ZXMtc2FudGUuZ291di5mcoIXd3d3Lm1lZGljYW1lbnRzLmdvdXYuZnKCE21lZGljYW1lbnRzLmdvdXYuZnKCGHd3dy5zb2NpYWwtc2FudGUuZ291di5mcoIgYWNjZXMtb3JpZ2luZXMtYW1wLnNhbnRlLmdvdXYuZnKCGGVhdXBvdGFibGUuc2FudGUuZ291di5mcoIkd3d3LmFjY2VzLW9yaWdpbmVzLWFtcC5zYW50ZS5nb3V2LmZygiBtb25iaWxhbnByZXZlbnRpb24uc2FudGUuZ291di5mcoINc2FudGUuZ291di5mcoIRd3d3LnNhbnRlLmdvdXYuZnKCGXNvbGlkYXJpdGVzLXNhbnRlLmdvdXYuZnKCHHd3dy5lYXVwb3RhYmxlLnNhbnRlLmdvdXYuZnKCFHNvY2lhbC1zYW50ZS5nb3V2LmZygiR3d3cubW9uYmlsYW5wcmV2ZW50aW9uLnNhbnRlLmdvdXYuZnIwHQYDVR0OBBYEFFFeqbgqF68j5TELxpCI4+czvFY5MIIB9wYKKwYBBAHWeQIEAgSCAecEggHjAeEAdgAN4fIwK9MNwUBiEgnqVS78R3R8sdfpMO8OQh60fk6qNAAAAZHBLzoJAAAEAwBHMEUCIBHlQivAAvEngvN9xuYTlkSbAMPSR5xqRAokdHKfzeXqAiEAuX4DVA4k1SwBHykbfeiFnounIv+G5/dgtpmfUhcF3kIAdgDd3Mo0ldfhFgXnlTL6x5/4PRxQ39sAOhQSdgosrLvIKgAAAZHBLzf+AAAEAwBHMEUCIHBN1Ja2bCuKbIo9iQ+OtWuuhJqMHF8EEPerArdDfJSaAiEArY3l2F0sE+7QJdG8EuloOV8Z1U9C3O+WSTsH04JcMNAAdwDm0jFjQHeMwRBBBtdxuc7B0kD2loSG+7qHMh39HjeOUAAAAZHBLznuAAAEAwBIMEYCIQCG/19sNKZMoJ1nGA7lzALleUpt4oogFdi4RLBmBjlj+gIhAP45MEHYw/6+h92/7eoG+XNQJ5K4jndHEjHKy2P4TSL/AHYArxgaKNaMo+CpikycZ6sJ+Lu8IrquvLE4o6Gd0/m2Aw0AAAGRwS84igAABAMARzBFAiEAt3zwC5WpcseSzuRnQ+38DOhliZJAuafVBiE438tknBwCIDukLFIAjfPUQ/b68DH0fDYfC+gXK5euVVfHJ6uJVZP0MA0GCSqGSIb3DQEBCwUAA4ICAQB7yOlDVNSY5wCNVv/4dX+sghyiJmJ8Uo+kP6UD6B59tSxWkuwBQEdjJaGhZc7pTDNQNJdjXoaA7Qtjap7IltW0TRJ/CTTstc1i7Y9pPBlw8JQKj+IeWyfqqsUIygc2ZU23Q17Hgm/h0f/d8ybP1rXAP7M30G2AxE8+Le1befUnticBWub96ENfPSQ6US4BTyMNG+2S74FbdZb2DJJRj9gjIJ+9tH/AZHVZrP70a5fkoL+7jgsRZpLES4BKQJJiuMufVFceAu0gjbAfMqxqpFDjnRUxCiQI8EgPKDKS32D/rR3jOCSkdN5PG5aqXMV9LlbDEO+0Hvu/6UqYwC2O+khb0zEwu/MPdJaXg3nNmKoD24IyNKZxdo8Itp9bq3jrEAX5onZPnVnwOrqJNpolOJoRY7kcaHcBiuYvtz2LrYvWehF3/aA6b0J3yURXAmOxnicaYn78V9OjsXNQJtUBcusNZPp4WlAtj5BWh6/ZdQx5D3g8rmMJu70Add25g6Xty+CyfVkDPAxOBJ5Em7pZ9NWdt1SXDoVMuYEvHNpbpvnmHqk5FvKgg15w5MilxekD3swCB5i80ef/H2NF7RJK46ja/KLmRy9JIVE7fLDKEBIF6J31mgM8Kt2N+pILm69oI++7mvcnClwsb0LWRJ60WRWZT4nmRvowB0wdaqWAGXAhuQ==\n-----END CERTIFICATE-----","",""
"cert_commonName","lutte-pauvrete.gouv.fr/185.194.82.27","443","OK","sante.gouv.fr","",""
"cert_commonName_wo_SNI","lutte-pauvrete.gouv.fr/185.194.82.27","443","INFO","sante.gouv.fr","",""
