"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","metiers-fonctionpubliquehospitaliere.sante.gouv.fr/185.194.82.144","443","INFO","HTTP","",""
"pre_128cipher","metiers-fonctionpubliquehospitaliere.sante.gouv.fr/185.194.82.144","443","INFO","No 128 cipher limit bug","",""
"SSLv2","metiers-fonctionpubliquehospitaliere.sante.gouv.fr/185.194.82.144","443","OK","not offered","",""
"SSLv3","metiers-fonctionpubliquehospitaliere.sante.gouv.fr/185.194.82.144","443","OK","not offered","",""
"TLS1","metiers-fonctionpubliquehospitaliere.sante.gouv.fr/185.194.82.144","443","INFO","not offered","",""
"TLS1_1","metiers-fonctionpubliquehospitaliere.sante.gouv.fr/185.194.82.144","443","INFO","not offered","",""
"TLS1_2","metiers-fonctionpubliquehospitaliere.sante.gouv.fr/185.194.82.144","443","OK","offered","",""
"TLS1_3","metiers-fonctionpubliquehospitaliere.sante.gouv.fr/185.194.82.144","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","metiers-fonctionpubliquehospitaliere.sante.gouv.fr/185.194.82.144","443","INFO","not offered","",""
"cipherlist_NULL","metiers-fonctionpubliquehospitaliere.sante.gouv.fr/185.194.82.144","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","metiers-fonctionpubliquehospitaliere.sante.gouv.fr/185.194.82.144","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","metiers-fonctionpubliquehospitaliere.sante.gouv.fr/185.194.82.144","443","OK","not offered","","CWE-327"
"cipherlist_LOW","metiers-fonctionpubliquehospitaliere.sante.gouv.fr/185.194.82.144","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","metiers-fonctionpubliquehospitaliere.sante.gouv.fr/185.194.82.144","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","metiers-fonctionpubliquehospitaliere.sante.gouv.fr/185.194.82.144","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","metiers-fonctionpubliquehospitaliere.sante.gouv.fr/185.194.82.144","443","INFO","not offered","",""
"cipherlist_STRONG_FS","metiers-fonctionpubliquehospitaliere.sante.gouv.fr/185.194.82.144","443","OK","offered","",""
"cipher_order-tls1_2","metiers-fonctionpubliquehospitaliere.sante.gouv.fr/185.194.82.144","443","OK","server","",""
"cipherorder_TLSv1_2","metiers-fonctionpubliquehospitaliere.sante.gouv.fr/185.194.82.144","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","metiers-fonctionpubliquehospitaliere.sante.gouv.fr/185.194.82.144","443","OK","server","",""
"FS","metiers-fonctionpubliquehospitaliere.sante.gouv.fr/185.194.82.144","443","OK","offered","",""
