"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","onpes.gouv.fr/185.194.82.143","443","INFO","HTTP","",""
"pre_128cipher","onpes.gouv.fr/185.194.82.143","443","INFO","No 128 cipher limit bug","",""
"SSLv2","onpes.gouv.fr/185.194.82.143","443","OK","not offered","",""
"SSLv3","onpes.gouv.fr/185.194.82.143","443","OK","not offered","",""
"TLS1","onpes.gouv.fr/185.194.82.143","443","INFO","not offered","",""
"TLS1_1","onpes.gouv.fr/185.194.82.143","443","INFO","not offered","",""
"TLS1_2","onpes.gouv.fr/185.194.82.143","443","OK","offered","",""
"TLS1_3","onpes.gouv.fr/185.194.82.143","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","onpes.gouv.fr/185.194.82.143","443","INFO","not offered","",""
"cipherlist_NULL","onpes.gouv.fr/185.194.82.143","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","onpes.gouv.fr/185.194.82.143","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","onpes.gouv.fr/185.194.82.143","443","OK","not offered","","CWE-327"
"cipherlist_LOW","onpes.gouv.fr/185.194.82.143","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","onpes.gouv.fr/185.194.82.143","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","onpes.gouv.fr/185.194.82.143","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","onpes.gouv.fr/185.194.82.143","443","OK","offered","",""
"cipherlist_STRONG","onpes.gouv.fr/185.194.82.143","443","OK","offered","",""
"cipher_order","onpes.gouv.fr/185.194.82.143","443","OK","server","",""
"protocol_negotiated","onpes.gouv.fr/185.194.82.143","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","onpes.gouv.fr/185.194.82.143","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","onpes.gouv.fr/185.194.82.143","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","onpes.gouv.fr/185.194.82.143","443","OK","offered","",""
"FS_ciphers","onpes.gouv.fr/185.194.82.143","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","onpes.gouv.fr/185.194.82.143","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","onpes.gouv.fr/185.194.82.143","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","onpes.gouv.fr/185.194.82.143","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","onpes.gouv.fr/185.194.82.143","443","INFO","yes","",""
"sessionresumption_ticket","onpes.gouv.fr/185.194.82.143","443","INFO","not supported","",""
"sessionresumption_ID","onpes.gouv.fr/185.194.82.143","443","INFO","supported","",""
"TLS_timestamp","onpes.gouv.fr/185.194.82.143","443","INFO","random","",""
"cert_compression","onpes.gouv.fr/185.194.82.143","443","INFO","N/A","",""
"clientAuth","onpes.gouv.fr/185.194.82.143","443","INFO","none","",""
"cert_numbers","onpes.gouv.fr/185.194.82.143","443","INFO","1","",""
"cert_signatureAlgorithm","onpes.gouv.fr/185.194.82.143","443","OK","SHA256 with RSA","",""
"cert_keySize","onpes.gouv.fr/185.194.82.143","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","onpes.gouv.fr/185.194.82.143","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","onpes.gouv.fr/185.194.82.143","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","onpes.gouv.fr/185.194.82.143","443","INFO","0502ADF3B2B0D7461B989788F184898F","",""
"cert_serialNumberLen","onpes.gouv.fr/185.194.82.143","443","INFO","16","",""
"cert_fingerprintSHA1","onpes.gouv.fr/185.194.82.143","443","INFO","E83878345DB4C51E452F194A4C52CE5D2C86BC51","",""
"cert_fingerprintSHA256","onpes.gouv.fr/185.194.82.143","443","INFO","2A04599CB8EA85AC3269632022FCB3754525F0D7F144F376A5C41C0BCA9C2DEF","",""
"cert","onpes.gouv.fr/185.194.82.143","443","INFO","-----BEGIN CERTIFICATE----- MIII1DCCBrygAwIBAgIQBQKt87Kw10YbmJeI8YSJjzANBgkqhkiG9w0BAQsFADB9 MQswCQYDVQQGEwJGUjESMBAGA1UECgwJREhJTVlPVElTMRwwGgYDVQQLDBMwMDAy IDQ4MTQ2MzA4MTAwMDM2MR0wGwYDVQRhDBROVFJGUi00ODE0NjMwODEwMDAzNjEd MBsGA1UEAwwUQ2VydGlnbmEgU2VydmljZXMgQ0EwHhcNMjAwNDEwMTE0NjEwWhcN MjIwNDEwMTE0NjEwWjCBizELMAkGA1UEBhMCRlIxFDASBgNVBAcMC1BBUklTIFNQ IDA3MRwwGgYDVQQKDBNTRyBNSU4gQUZGQUlSRVMgU09DMRwwGgYDVQQLDBMwMDAy IDEzMDAwNjgwMjAwMDE2MRYwFAYDVQQDDA1vbnBlcy5nb3V2LmZyMRIwEAYDVQQF EwlTMTU5NDkwMTYwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDLVLg7 zCyeKIdK/mwj6SIUCaAeJcqQ5PGe8Ot/X3rnh8bgTlXAHT9zC0th5jliWSk4DbXT gMUd278xKGUVHJGIUM4cxPyQxoaPQ91ZbG0jMcIezz64vwjukFR93EzhDBONQP9e uoJ4oTurR2JeTc+tXpMEHbJtfmH8VG5UZoNqmG1enU4XnAW2jvFwQXJzCkwr3Xi1 NVGUXtZvTWK4Q2b1ut0O2bu50Gff05ibMt0S+IUstQZT32Oa4NiIsXToRNMxEulP gp0fZlwMgrEjiq76hFcnpiFCwKW2nGwbsQlN0vZNeywIZZfJ4edQXfDZjn7T4JFK oFRw4x8XZ6eEHBn/AgMBAAGjggQ/MIIEOzAJBgNVHRMEAjAAMA4GA1UdDwEB/wQE AwIFoDATBgNVHSUEDDAKBggrBgEFBQcDATBlBgNVHR8EXjBcMCugKaAnhiVodHRw Oi8vY3JsLmNlcnRpZ25hLmZyL3NlcnZpY2VzY2EuY3JsMC2gK6AphidodHRwOi8v Y3JsLmRoaW15b3Rpcy5jb20vc2VydmljZXNjYS5jcmwwgeQGCCsGAQUFBwEBBIHX MIHUMDYGCCsGAQUFBzAChipodHRwOi8vYXV0b3JpdGUuY2VydGlnbmEuZnIvc2Vy dmljZXNjYS5kZXIwOAYIKwYBBQUHMAKGLGh0dHA6Ly9hdXRvcml0ZS5kaGlteW90 aXMuY29tL3NlcnZpY2VzY2EuZGVyMC4GCCsGAQUFBzABhiJodHRwOi8vc2Vydmlj ZXNjYS5vY3NwLmNlcnRpZ25hLmZyMDAGCCsGAQUFBzABhiRodHRwOi8vc2Vydmlj ZXNjYS5vY3NwLmRoaW15b3Rpcy5jb20wHQYDVR0OBBYEFK7Lh0P7mIyjR8+wN1VM k9KdZgjWMB8GA1UdIwQYMBaAFKzsho9LNxy4fxcbGdCu6E7jNFwSMCsGA1UdEQQk MCKCDW9ucGVzLmdvdXYuZnKCEXd3dy5vbnBlcy5nb3V2LmZyMFQGA1UdIARNMEsw CAYGZ4EMAQICMD8GCyqBegGBMQIFAQEBMDAwLgYIKwYBBQUHAgEWImh0dHBzOi8v d3d3LmNlcnRpZ25hLmZyL2F1dG9yaXRlcy8wggH2BgorBgEEAdZ5AgQCBIIB5gSC AeIB4AB2AEHIyrHfIkZKEMahOglCh15OMYsbA+vrS8do8JBilgb2AAABcWPpYHoA AAQDAEcwRQIgVQZqQxsUOOyURwRpGiqh1ssv1JBZQjiXLCqw2uQRA3ACIQCCHsHh b61RM2rCr+DTsvo+66QcFaMq3onBl9lsO+P8wQB2AG9Tdqwx8DEZ2JkApFEV/3cV HBHZAsEAKQaNsgiaN9kTAAABcWPpYQ4AAAQDAEcwRQIhAIsM2K9QINydOxaDNC2j d/heiHlaGfUoVZUV1NHt/yYMAiB7nXM1DwXFdW4Pmk+b0j2YpK8FE9tXLIvxtkJC KOuKBwB3ACJFRQdZVSRWlj+hL/H3bYbgIyZjrcBLf13Gg1xu4g8CAAABcWPpY48A AAQDAEgwRgIhAIDCJZBFXNWtfymyABt/ZYTOesAg0tC2d5hodJTfxOUnAiEAvso8 9HtynD7b11n3eD8FnOmAq/WVWt2Z7EQ4hVnzKpAAdQApeb7wnjk5IfBWc59jpXfl vld9nGAK+PlNXSZcJV3HhAAAAXFj6WRGAAAEAwBGMEQCIGDifXM5ogbUdAtW4MYP NMsd37OTtIswHsazoVKbGpZnAiBEAXDyC6NHR1eRuh4e6CR9Sfd/mpqhKb5nBmTx k+fqnTANBgkqhkiG9w0BAQsFAAOCAgEAqc5MiTvlHIyMZ+oPiuN7MteL4Ch3/RpE iS9soRSi1AHeO2JNK3OSq9Y2OY+5XFyFhQZYX6JX3sLQef1FJY2222VcwhimYMrb y3gvfN1CFw/5hSIjolk8S4oKvNxdERvO1406IweHwSbhz5apqneY3rnDp8iB+Mec xAqhBmV4w0/x25ZDaFcn2/asl/DSsqWaN1lYCt8uICmUzIcr4hVk0547FGscO8PE fRy8cvFWNh7NJoxlsOsWVtuTtA70RGgRkKEgw1liQ01CSGz4XnI5zPctyeDP3oPV BPMy7WO4RLMxHMYqyXWF4McBK57LRW/A7gkQGV5Or2IWLdr8EUHQfDZWMz9df1sU xZfLX9nTXHc9ex1L/wGP9WvZfoaElbP+FiSyLzYuTDCCFNTWG5rrohfjMniPwCUQ is1VjaTB/AUIPmWRtayD3QTqncQw8giOKj5y26RFJcXiJXUpRKq8IQl3Ufln9X0y Qv+eR3OiWa3vmOyjfvRCQE1G4jxwJ2sNYKNMFUqAnDfd7txWIjfQlV2M9K9752in KnCyUQmpP3lRfsKY0WI3h+FTNMI8uXiMEWV38LExH74fcupQfbGZ9t2zEnLVp7yd GqhSwftbeF2zeitgrYvwqdBCjo7+1bPj7VzCFrTLwQFW0KkqWtZpWfNsUryVXIId W54SMx9eZ4o= -----END CERTIFICATE-----","",""
"cert_commonName","onpes.gouv.fr/185.194.82.143","443","OK","onpes.gouv.fr","",""
"cert_commonName_wo_SNI","onpes.gouv.fr/185.194.82.143","443","INFO","onpes.gouv.fr","",""
"cert_subjectAltName","onpes.gouv.fr/185.194.82.143","443","INFO","onpes.gouv.fr www.onpes.gouv.fr","",""
"cert_trust","onpes.gouv.fr/185.194.82.143","443","OK","Ok via SAN and CN (same w/o SNI)","",""
"cert_chain_of_trust","onpes.gouv.fr/185.194.82.143","443","CRITICAL","Some certificate trust checks failed -> Java (chain incomplete)  , OK -> Mozilla Microsoft Linux Apple","",""
"cert_certificatePolicies_EV","onpes.gouv.fr/185.194.82.143","443","INFO","no","",""
"cert_expirationStatus","onpes.gouv.fr/185.194.82.143","443","OK","105 >= 60 days","",""
"cert_notBefore","onpes.gouv.fr/185.194.82.143","443","INFO","2020-04-10 11:46","",""
"cert_notAfter","onpes.gouv.fr/185.194.82.143","443","OK","2022-04-10 11:46","",""
"cert_extlifeSpan","onpes.gouv.fr/185.194.82.143","443","INFO","730 =< 398 days","",""
"cert_eTLS","onpes.gouv.fr/185.194.82.143","443","INFO","not present","",""
"cert_crlDistributionPoints","onpes.gouv.fr/185.194.82.143","443","INFO","http://crl.certigna.fr/servicesca.crl http://crl.dhimyotis.com/servicesca.crl","",""
"cert_ocspURL","onpes.gouv.fr/185.194.82.143","443","INFO","http://servicesca.ocsp.certigna.fr http://servicesca.ocsp.dhimyotis.com","",""
"OCSP_stapling","onpes.gouv.fr/185.194.82.143","443","LOW","not offered","",""
"cert_mustStapleExtension","onpes.gouv.fr/185.194.82.143","443","INFO","--","",""
"DNS_CAArecord","onpes.gouv.fr/185.194.82.143","443","LOW","--","",""
"certificate_transparency","onpes.gouv.fr/185.194.82.143","443","OK","yes (certificate extension)","",""
"certs_countServer","onpes.gouv.fr/185.194.82.143","443","INFO","2","",""
"certs_list_ordering_problem","onpes.gouv.fr/185.194.82.143","443","INFO","no","",""
"cert_caIssuers","onpes.gouv.fr/185.194.82.143","443","INFO","Certigna Services CA (DHIMYOTIS from FR)","",""
"intermediate_cert <#1>","onpes.gouv.fr/185.194.82.143","443","INFO","-----BEGIN CERTIFICATE----- MIIGFjCCBP6gAwIBAgIQb4L6KKzW94S7WxILqHNnrTANBgkqhkiG9w0BAQsFADA0 MQswCQYDVQQGEwJGUjESMBAGA1UECgwJRGhpbXlvdGlzMREwDwYDVQQDDAhDZXJ0 aWduYTAeFw0xNTExMjUxMTMzNTJaFw0yNTExMjIxMTMzNTJaMH0xCzAJBgNVBAYT AkZSMRIwEAYDVQQKDAlESElNWU9USVMxHDAaBgNVBAsMEzAwMDIgNDgxNDYzMDgx MDAwMzYxHTAbBgNVBGEMFE5UUkZSLTQ4MTQ2MzA4MTAwMDM2MR0wGwYDVQQDDBRD ZXJ0aWduYSBTZXJ2aWNlcyBDQTCCAiIwDQYJKoZIhvcNAQEBBQADggIPADCCAgoC ggIBALPM+7LpWBz9wFcPaTc3xnB+5g0XrnptB0EPPfrR04vO52Ykm4ky1d4ZLd10 tbM1fa1RqNSOVWWg93O4pL7zCFKlz6JV74ZZVhHpEAwzBwv2oPnxvVbxtSN67xsS Y66ahUYxjzs8+3FhmsiRxqwnTYvK2u70uglUvRisOKyTL/M6JnrC4y8tlmoz7OSa 5BmBMVplJFQtvmON6N9aHLvYMz+EyJPCbXL6pELxeHjFT5QmIaRamsr2DOTaCjtB ZKI1Wnh3X7lnbjM8MESJiV2t7E9tIQNG0Z/HI3tO4aaUMum3KysY5sC8v3vi7rry GidgzHQhrtP0ZXWW5UH/k7umLS/P/XXWnCFpc2Lxa1uDGfc2im7xibRoPP+JNZsz N76euFlls6jyEXAiwnVr14tVVTewLK0OWs5SJHpEKp8PGMZRDj59EmMvokWwzL6Q zNZ6vVAp00oOm05sbspNY9+MFqGKKUsKvhFGEa4XmRNxDe6KswLcjPZB+NKHZ0QW Fd4ip5C5XmEK/8qIPjwVr9dah9+oiHGGO8Wx7gJAMF5DTmkvW7GhqCKj1LmHnabj zc8av6kxWVQZi/C7HCm9i/W4wio+JA2EAFLqNL3GPNbK9kau4yPhQt/c7zxzo0OH nlsV4THCG7oOCd3cfCiyfQcb3FBt6OSpaKRZxjCLBwP00r0fAgMBAAGjggHZMIIB 1TASBgNVHRMBAf8ECDAGAQH/AgEAMA4GA1UdDwEB/wQEAwIBBjAdBgNVHQ4EFgQU rOyGj0s3HLh/FxsZ0K7oTuM0XBIwZAYDVR0jBF0wW4AUGu3+QTmQtCRZvgHyUtVF 9lo53BGhOKQ2MDQxCzAJBgNVBAYTAkZSMRIwEAYDVQQKDAlEaGlteW90aXMxETAP BgNVBAMMCENlcnRpZ25hggkA/tzjAQ/JSP8wSQYDVR0gBEIwQDA+BgoqgXoBgTEB AAECMDAwLgYIKwYBBQUHAgEWImh0dHBzOi8vd3d3LmNlcnRpZ25hLmZyL2F1dG9y aXRlcy8wfAYIKwYBBQUHAQEEcDBuMDQGCCsGAQUFBzAChihodHRwOi8vYXV0b3Jp dGUuY2VydGlnbmEuZnIvY2VydGlnbmEuZGVyMDYGCCsGAQUFBzAChipodHRwOi8v YXV0b3JpdGUuZGhpbXlvdGlzLmNvbS9jZXJ0aWduYS5kZXIwYQYDVR0fBFowWDAp oCegJYYjaHR0cDovL2NybC5jZXJ0aWduYS5mci9jZXJ0aWduYS5jcmwwK6ApoCeG JWh0dHA6Ly9jcmwuZGhpbXlvdGlzLmNvbS9jZXJ0aWduYS5jcmwwDQYJKoZIhvcN AQELBQADggEBAGLft7gIuGPZVfg0cTM+HT2xAZFPDb/2+siH06x+dH044zMKbBIN bRzhKipwB1A3MW8FQjveE9tyrfyuqZE/X+o2SlGcdNV44ybYkxo4f6kcLEavV/IW +oFEnojZlhpksYcxrvQoEyqkAwshe8IS2KtZHKVACrt+XSs0lwvy7ALGmHaF7A4b y6cZWItA7Lhj8XWp+8tBJDj7HocRbWtxzEODdBuyMgJzFrNjc+97J0vH/K0+3yjm kczpKshMA0tM+MF9XDMN/MuwrPmUWGO/fHiqHgUp8yqeWtl1n44ZxkkK1t9GRwhn DWLv73/xhTmdhWYQ/reo0GbgBoLiltKmIJQ= -----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","onpes.gouv.fr/185.194.82.143","443","INFO","71E653BFBF5E72515B4099BBD5EC8872812B47C6EC1FA9ADD327E1C92C9EA16D","",""
"intermediate_cert_notBefore <#1>","onpes.gouv.fr/185.194.82.143","443","INFO","2015-11-25 11:33","",""
"intermediate_cert_notAfter <#1>","onpes.gouv.fr/185.194.82.143","443","OK","2025-11-22 11:33","",""
"intermediate_cert_expiration <#1>","onpes.gouv.fr/185.194.82.143","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","onpes.gouv.fr/185.194.82.143","443","INFO","Certigna Services CA <-- Certigna","",""
"intermediate_cert_badOCSP","onpes.gouv.fr/185.194.82.143","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","onpes.gouv.fr/185.194.82.143","443","INFO","200 OK ('/')","",""
"HTTP_clock_skew","onpes.gouv.fr/185.194.82.143","443","INFO","0 seconds from localtime","",""
"HSTS_time","onpes.gouv.fr/185.194.82.143","443","OK","365 days (=31536000 seconds) > 15552000 seconds","",""
"HSTS_subdomains","onpes.gouv.fr/185.194.82.143","443","OK","includes subdomains","",""
"HSTS_preload","onpes.gouv.fr/185.194.82.143","443","INFO","domain is NOT marked for preloading","",""
"HPKP","onpes.gouv.fr/185.194.82.143","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","onpes.gouv.fr/185.194.82.143","443","INFO","No Server banner line in header, interesting!","",""
"banner_application","onpes.gouv.fr/185.194.82.143","443","INFO","No application banner found","",""
"cookie_count","onpes.gouv.fr/185.194.82.143","443","INFO","1 at '/'","",""
"cookie_secure","onpes.gouv.fr/185.194.82.143","443","OK","All (1) at '/' marked as secure","",""
"cookie_httponly","onpes.gouv.fr/185.194.82.143","443","OK","All (1) at '/' marked as HttpOnly","",""
"X-Frame-Options","onpes.gouv.fr/185.194.82.143","443","OK","sameorigin","",""
"X-Content-Type-Options","onpes.gouv.fr/185.194.82.143","443","OK","nosniff","",""
"X-XSS-Protection","onpes.gouv.fr/185.194.82.143","443","INFO","1; mode=block","",""
"Referrer-Policy","onpes.gouv.fr/185.194.82.143","443","INFO","strict-origin","",""
"Cache-Control","onpes.gouv.fr/185.194.82.143","443","INFO","no-store, no-cache, must-revalidate","",""
"Pragma","onpes.gouv.fr/185.194.82.143","443","INFO","no-cache","",""
"banner_reverseproxy","onpes.gouv.fr/185.194.82.143","443","INFO","--","","CWE-200"
"heartbleed","onpes.gouv.fr/185.194.82.143","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","onpes.gouv.fr/185.194.82.143","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","onpes.gouv.fr/185.194.82.143","443","OK","no session ticket extension","CVE-2016-9244","CWE-200"
"ROBOT","onpes.gouv.fr/185.194.82.143","443","OK","not vulnerable","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","onpes.gouv.fr/185.194.82.143","443","OK","supported","","CWE-310"
"secure_client_renego","onpes.gouv.fr/185.194.82.143","443","OK","not vulnerable","CVE-2011-1473","CWE-310"
"CRIME_TLS","onpes.gouv.fr/185.194.82.143","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","onpes.gouv.fr/185.194.82.143","443","MEDIUM","potentially VULNERABLE, gzip HTTP compression detected  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","onpes.gouv.fr/185.194.82.143","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","onpes.gouv.fr/185.194.82.143","443","OK","no protocol below TLS 1.2 offered","",""
"SWEET32","onpes.gouv.fr/185.194.82.143","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","onpes.gouv.fr/185.194.82.143","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","onpes.gouv.fr/185.194.82.143","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN_hint","onpes.gouv.fr/185.194.82.143","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://censys.io/ipv4?q=2A04599CB8EA85AC3269632022FCB3754525F0D7F144F376A5C41C0BCA9C2DEF","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM","onpes.gouv.fr/185.194.82.143","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"LOGJAM-common_primes","onpes.gouv.fr/185.194.82.143","443","OK","no DH key with <= TLS 1.2","CVE-2015-4000","CWE-310"
"BEAST","onpes.gouv.fr/185.194.82.143","443","OK","not vulnerable, no SSL3 or TLS1","CVE-2011-3389","CWE-20"
"LUCKY13","onpes.gouv.fr/185.194.82.143","443","LOW","potentially vulnerable, uses TLS CBC ciphers","CVE-2013-0169","CWE-310"
"winshock","onpes.gouv.fr/185.194.82.143","443","OK","not vulnerable","CVE-2014-6321","CWE-94"
"RC4","onpes.gouv.fr/185.194.82.143","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
"clientsimulation-android_442","onpes.gouv.fr/185.194.82.143","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_500","onpes.gouv.fr/185.194.82.143","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_60","onpes.gouv.fr/185.194.82.143","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_70","onpes.gouv.fr/185.194.82.143","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_81","onpes.gouv.fr/185.194.82.143","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
