"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","paps.sante.fr/185.194.82.45","443","INFO","HTTP","",""
"pre_128cipher","paps.sante.fr/185.194.82.45","443","INFO","No 128 cipher limit bug","",""
"SSLv2","paps.sante.fr/185.194.82.45","443","OK","not offered","",""
"SSLv3","paps.sante.fr/185.194.82.45","443","OK","not offered","",""
"TLS1","paps.sante.fr/185.194.82.45","443","INFO","not offered","",""
"TLS1_1","paps.sante.fr/185.194.82.45","443","INFO","is not offered","",""
"TLS1_2","paps.sante.fr/185.194.82.45","443","OK","offered","",""
"TLS1_3","paps.sante.fr/185.194.82.45","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","paps.sante.fr/185.194.82.45","443","INFO","not offered","",""
"cipherlist_NULL","paps.sante.fr/185.194.82.45","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","paps.sante.fr/185.194.82.45","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","paps.sante.fr/185.194.82.45","443","OK","not offered","","CWE-327"
"cipherlist_LOW","paps.sante.fr/185.194.82.45","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","paps.sante.fr/185.194.82.45","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","paps.sante.fr/185.194.82.45","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","paps.sante.fr/185.194.82.45","443","OK","offered","",""
"cipherlist_STRONG","paps.sante.fr/185.194.82.45","443","OK","offered","",""
"cipher_order","paps.sante.fr/185.194.82.45","443","OK","server","",""
"protocol_negotiated","paps.sante.fr/185.194.82.45","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","paps.sante.fr/185.194.82.45","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","paps.sante.fr/185.194.82.45","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","paps.sante.fr/185.194.82.45","443","OK","offered","",""
"FS_ciphers","paps.sante.fr/185.194.82.45","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","paps.sante.fr/185.194.82.45","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","paps.sante.fr/185.194.82.45","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","paps.sante.fr/185.194.82.45","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","paps.sante.fr/185.194.82.45","443","INFO","yes","",""
"sessionresumption_ticket","paps.sante.fr/185.194.82.45","443","INFO","not supported","",""
"sessionresumption_ID","paps.sante.fr/185.194.82.45","443","INFO","supported","",""
"TLS_timestamp","paps.sante.fr/185.194.82.45","443","INFO","random","",""
"clientAuth","paps.sante.fr/185.194.82.45","443","INFO","none","",""
"cert_numbers","paps.sante.fr/185.194.82.45","443","INFO","1","",""
"cert_signatureAlgorithm","paps.sante.fr/185.194.82.45","443","OK","SHA256 with RSA","",""
"cert_keySize","paps.sante.fr/185.194.82.45","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","paps.sante.fr/185.194.82.45","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","paps.sante.fr/185.194.82.45","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","paps.sante.fr/185.194.82.45","443","INFO","CEB43B288C4390B58FF9EC1738F611CA","",""
"cert_fingerprintSHA1","paps.sante.fr/185.194.82.45","443","INFO","762234963F8BAEE0EF70A1577E91904DC0B9F97A","",""
"cert_fingerprintSHA256","paps.sante.fr/185.194.82.45","443","INFO","62D25D6819B82042CFF3046EC60EE99B695C8B218AAAC341F023CB52E348A669","",""
"cert","paps.sante.fr/185.194.82.45","443","INFO","-----BEGIN CERTIFICATE----- MIIJfDCCB2SgAwIBAgIRAM60OyiMQ5C1j/nsFzj2EcowDQYJKoZIhvcNAQELBQAw fTELMAkGA1UEBhMCRlIxEjAQBgNVBAoMCURISU1ZT1RJUzEcMBoGA1UECwwTMDAw MiA0ODE0NjMwODEwMDAzNjEdMBsGA1UEYQwUTlRSRlItNDgxNDYzMDgxMDAwMzYx HTAbBgNVBAMMFENlcnRpZ25hIFNlcnZpY2VzIENBMB4XDTE5MTIxMzA5MTY0OVoX DTIyMDExMDEwMjUzN1owgacxCzAJBgNVBAYTAkZSMQ4wDAYDVQQHDAVQQVJJUzEc MBoGA1UECgwTU0cgTUlOIEFGRkFJUkVTIFNPQzEdMBsGA1UEYQwUTlRSRlItMTMw MDA2ODAyMDAwMTYxHDAaBgNVBAsMEzAwMDIgMTMwMDA2ODAyMDAwMTYxGTAXBgNV BAMMEHd3dy5hcnMuc2FudGUuZnIxEjAQBgNVBAUTCVMxNDc4MTAwNTCCASIwDQYJ KoZIhvcNAQEBBQADggEPADCCAQoCggEBAKN2X1jCdEXYPDN0HKjzleknsVd+Sotz qfOjzcgHiZfvZnSphDrPJH0jjrkWgTxcoGo3U2EJQqNyrvmGQiDpO0ySEPsfZiDH crEvawfH9X0jKuXNIhpMKi0+jfMECAqCygE8330IlaQS57QcKwFAdkuJZFbaNnTf FOiwaDMMDcqd1fLD1OUOUj02Qq3lowr8Ieyk+Aoycb6vysaP2sWjLPwtqNfJMB8D 67zus994TFiwQoHdo6L7MdgD4KNDxXRqFiKYLuyOKGzi7dSaIzDeemqXlX1qxDmp JiWNGHrmkTNvCloodwJkwH8ONYiy7ECVJgA/TYTY/PUDkzS1WKKz9e8CAwEAAaOC BMowggTGMAkGA1UdEwQCMAAwDgYDVR0PAQH/BAQDAgWgMBMGA1UdJQQMMAoGCCsG AQUFBwMBMGUGA1UdHwReMFwwK6ApoCeGJWh0dHA6Ly9jcmwuY2VydGlnbmEuZnIv c2VydmljZXNjYS5jcmwwLaAroCmGJ2h0dHA6Ly9jcmwuZGhpbXlvdGlzLmNvbS9z ZXJ2aWNlc2NhLmNybDCB5AYIKwYBBQUHAQEEgdcwgdQwNgYIKwYBBQUHMAKGKmh0 dHA6Ly9hdXRvcml0ZS5jZXJ0aWduYS5mci9zZXJ2aWNlc2NhLmRlcjA4BggrBgEF BQcwAoYsaHR0cDovL2F1dG9yaXRlLmRoaW15b3Rpcy5jb20vc2VydmljZXNjYS5k ZXIwLgYIKwYBBQUHMAGGImh0dHA6Ly9zZXJ2aWNlc2NhLm9jc3AuY2VydGlnbmEu ZnIwMAYIKwYBBQUHMAGGJGh0dHA6Ly9zZXJ2aWNlc2NhLm9jc3AuZGhpbXlvdGlz LmNvbTAdBgNVHQ4EFgQUX/sj+B8WkD4dO1EDHnLQbkFYIQ4wHwYDVR0jBBgwFoAU rOyGj0s3HLh/FxsZ0K7oTuM0XBIwgbYGA1UdEQSBrjCBq4IQd3d3LmFycy5zYW50 ZS5mcoIld3d3LmF1dmVyZ25lLXJob25lLWFscGVzLmFycy5zYW50ZS5mcoIod3d3 LmJvdXJnb2duZS1mcmFuY2hlLWNvbXRlLmFycy5zYW50ZS5mcoIjd3d3Lm5vdXZl bGxlLWFxdWl0YWluZS5hcnMuc2FudGUuZnKCIXd3dy5wYXlzLWRlLWxhLWxvaXJl LmFycy5zYW50ZS5mcjBUBgNVHSAETTBLMAgGBmeBDAECAjA/BgsqgXoBgTECBQEB ATAwMC4GCCsGAQUFBwIBFiJodHRwczovL3d3dy5jZXJ0aWduYS5mci9hdXRvcml0 ZXMvMIIB9QYKKwYBBAHWeQIEAgSCAeUEggHhAd8AdgBByMqx3yJGShDGoToJQode TjGLGwPr60vHaPCQYpYG9gAAAW7+i+MuAAAEAwBHMEUCIAp9NhKEalrNuYWdGMdg 4/IuwhFp63lf+/J6AMzRAfxUAiEAijjY2Qc8OTURuangdQEGRZxgnLEOm77bozX1 Osnvg9UAdgBvU3asMfAxGdiZAKRRFf93FRwR2QLBACkGjbIImjfZEwAAAW7+i+PO AAAEAwBHMEUCIAswZiqZ6J93QXJwNdvz/VI7WmgiY9EgEc8592B4gSaOAiEA3DYT j8XayRzEEKFVGnUXI8OphK1BAA2Huh6gs+Z32rEAdQAiRUUHWVUkVpY/oS/x922G 4CMmY63AS39dxoNcbuIPAgAAAW7+i+ZEAAAEAwBGMEQCIBcnTV2k0tsmnB11osbN zz1XHgWpAi3R6mtcNqJ3CSIeAiB0SRPqWRIKgUdgUT7Ouv0REOkLgaPFAlj6F+DU aLF0LAB2ACl5vvCeOTkh8FZzn2Old+W+V32cYAr4+U1dJlwlXceEAAABbv6L6RQA AAQDAEcwRQIhALGvQRItgW9K8UfaMKKb+jGasxYbbrJjF3sYn5KDisYfAiApxta2 u8WsX1GlKAvZikJFaByn7yttWHK/tBAmcDhqJjANBgkqhkiG9w0BAQsFAAOCAgEA c5CgvZY1/8dRHa1stXFrtW8pH28wWe7/GCf20HdMr49arcfhbuZwR1+iE4S0g199 ZvZ+9QmtE2+fwPUts4KIm7W+sUwFxw2VxOxz/lGKjy46wbjTembK+lSnLipnUm9E MIvG1JT9RAWzNvsIpqDpsQxGA26hoMA+el8eif8UrqS0DqMQX7nRiiz/TCIAk6r9 VaJFp2J70M+ORpw0P2VP+mTlqJIEQ/Q8XCJ8wriRksC1mvQ1tD3I3u13YayfyqCc d96G0w6+4qwN39lPZrx/ZBasdnHPIvarpOYGuOatToVleplwmb8RE2nXguGgG3mh SKc649+jExqlX9euzXq1lE0zsd7qnd1Ke5RSuI+FSnDQdv9NMp3+equ78SqKZpuV TIoccVPUk4eYvl0h8syY4d1zjWupND51VHDcLlbWQ/4WMBKnYHUr2L66kzZDNMxj Yt7S2A7SDdhhXQB0vFuVM3+y7v2vxQT1YeBDF7bXy9V+zqgaaviR1NlBUOEX4m2/ P937sGSOkwvTuHGMDCRyyFEEH+JozbYCoaGMC2DYK5CJiEDkdNNASuYhqSB7IBl2 O7BfnUC5YzeJ39R+Hj7LaM5uEsXqB5Mdy+25Ef8V6CdEAojt0Lnxl9WcbqDfvBnr rWkwsZtliahoBFwwtv6lrBoh1vVQEI4RX2xr0RK/I7g= -----END CERTIFICATE-----","",""
"cert_commonName","paps.sante.fr/185.194.82.45","443","OK","www.ars.sante.fr","",""
"cert_commonName_wo_SNI","paps.sante.fr/185.194.82.45","443","INFO","www.ars.sante.fr","",""
"cert_subjectAltName","paps.sante.fr/185.194.82.45","443","INFO","www.ars.sante.fr www.auvergne-rhone-alpes.ars.sante.fr www.bourgogne-franche-comte.ars.sante.fr www.nouvelle-aquitaine.ars.sante.fr www.pays-de-la-loire.ars.sante.fr","",""
"cert_trust","paps.sante.fr/185.194.82.45","443","HIGH","certificate does not match supplied URI (same w/o SNI)","",""
"cert_chain_of_trust","paps.sante.fr/185.194.82.45","443","CRITICAL","Some certificate trust checks failed -> Java (self signed CA in chain)  , OK -> Mozilla Microsoft Linux Apple","",""
"cert_certificatePolicies_EV","paps.sante.fr/185.194.82.45","443","INFO","no","",""
"cert_expirationStatus","paps.sante.fr/185.194.82.45","443","OK","280 >= 60 days","",""
"cert_notBefore","paps.sante.fr/185.194.82.45","443","INFO","2019-12-13 09:16","",""
"cert_notAfter","paps.sante.fr/185.194.82.45","443","OK","2022-01-10 10:25","",""
"cert_extlifeSpan","paps.sante.fr/185.194.82.45","443","INFO","759 =< 398 days","",""
"cert_eTLS","paps.sante.fr/185.194.82.45","443","INFO","not present","",""
"cert_crlDistributionPoints","paps.sante.fr/185.194.82.45","443","INFO","http://crl.certigna.fr/servicesca.crl http://crl.dhimyotis.com/servicesca.crl","",""
"cert_ocspURL","paps.sante.fr/185.194.82.45","443","INFO","http://servicesca.ocsp.certigna.fr http://servicesca.ocsp.dhimyotis.com","",""
