"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","paps.sante.fr/185.194.82.45","443","INFO","HTTP","",""
"pre_128cipher","paps.sante.fr/185.194.82.45","443","INFO","No 128 cipher limit bug","",""
"SSLv2","paps.sante.fr/185.194.82.45","443","OK","not offered","",""
"SSLv3","paps.sante.fr/185.194.82.45","443","OK","not offered","",""
"TLS1","paps.sante.fr/185.194.82.45","443","INFO","not offered","",""
"TLS1_1","paps.sante.fr/185.194.82.45","443","INFO","not offered","",""
"TLS1_2","paps.sante.fr/185.194.82.45","443","OK","offered","",""
"TLS1_3","paps.sante.fr/185.194.82.45","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","paps.sante.fr/185.194.82.45","443","INFO","not offered","",""
"cipherlist_NULL","paps.sante.fr/185.194.82.45","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","paps.sante.fr/185.194.82.45","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","paps.sante.fr/185.194.82.45","443","OK","not offered","","CWE-327"
"cipherlist_LOW","paps.sante.fr/185.194.82.45","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","paps.sante.fr/185.194.82.45","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","paps.sante.fr/185.194.82.45","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","paps.sante.fr/185.194.82.45","443","INFO","not offered","",""
"cipherlist_STRONG","paps.sante.fr/185.194.82.45","443","OK","offered","",""
"cipher_order-tls1_2","paps.sante.fr/185.194.82.45","443","OK","server","",""
"cipherorder_TLSv1_2","paps.sante.fr/185.194.82.45","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","paps.sante.fr/185.194.82.45","443","OK","server","",""
"protocol_negotiated","paps.sante.fr/185.194.82.45","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","paps.sante.fr/185.194.82.45","443","OK","ECDHE-RSA-AES256-GCM-SHA384, 256 bit ECDH (P-256)","",""
"FS","paps.sante.fr/185.194.82.45","443","OK","offered","",""
"FS_ciphers","paps.sante.fr/185.194.82.45","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","paps.sante.fr/185.194.82.45","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","paps.sante.fr/185.194.82.45","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","paps.sante.fr/185.194.82.45","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","paps.sante.fr/185.194.82.45","443","INFO","yes","",""
"sessionresumption_ticket","paps.sante.fr/185.194.82.45","443","INFO","not supported","",""
"sessionresumption_ID","paps.sante.fr/185.194.82.45","443","INFO","supported","",""
"TLS_timestamp","paps.sante.fr/185.194.82.45","443","INFO","random","",""
"cert_compression","paps.sante.fr/185.194.82.45","443","INFO","N/A","",""
"clientAuth","paps.sante.fr/185.194.82.45","443","INFO","none","",""
"cert_numbers","paps.sante.fr/185.194.82.45","443","INFO","1","",""
"cert_signatureAlgorithm","paps.sante.fr/185.194.82.45","443","OK","SHA256 with RSA","",""
"cert_keySize","paps.sante.fr/185.194.82.45","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","paps.sante.fr/185.194.82.45","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","paps.sante.fr/185.194.82.45","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","paps.sante.fr/185.194.82.45","443","INFO","BE029531A64349039292EE9C1EC8FF35","",""
"cert_serialNumberLen","paps.sante.fr/185.194.82.45","443","INFO","16","",""
"cert_fingerprintSHA1","paps.sante.fr/185.194.82.45","443","INFO","794490FF3A92F782C6F81EDDF1D885B3A0007540","",""
"cert_fingerprintSHA256","paps.sante.fr/185.194.82.45","443","INFO","9EAB8D5C1FC304E0BE2722C099EA7B7338C0D5E01B4FB1A354FF3232859980AD","",""
"cert","paps.sante.fr/185.194.82.45","443","INFO","-----BEGIN CERTIFICATE----- MIIKpzCCCI+gAwIBAgIRAL4ClTGmQ0kDkpLunB7I/zUwDQYJKoZIhvcNAQELBQAw fTELMAkGA1UEBhMCRlIxEjAQBgNVBAoMCURISU1ZT1RJUzEcMBoGA1UECwwTMDAw MiA0ODE0NjMwODEwMDAzNjEdMBsGA1UEYQwUTlRSRlItNDgxNDYzMDgxMDAwMzYx HTAbBgNVBAMMFENlcnRpZ25hIFNlcnZpY2VzIENBMB4XDTIyMDcxMDIyMDAwMFoX DTIzMDcxMDIxNTk1OVowgasxCzAJBgNVBAYTAkZSMQ4wDAYDVQQHDAVQQVJJUzFB MD8GA1UECgw4U0VDUkVUQVJJQVQgR0VORVJBTCBNSU5JU1RFUkVTIENIQVJHRVMg QUZGQUlSRVMgU09DSUFMRVMxHDAaBgNVBAsMEzAwMDIgMTMwMDA2ODAyMDAwMTYx FjAUBgNVBAMMDXBhcHMuc2FudGUuZnIxEzARBgNVBAUTClMyNDIwNDI1MTQwggEi MA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDXhehTQ+H/aiAjS/XypBaRJ2RM Fi9JQDAVbqVQgmNFp3tMBnuSEoq05Q5PwGeFeRwSO/SZlXu9XivYz/qFfs3HPgVl Nz8S3CI9Q2XOuiKuIwmeI2q8Af0nkvNlb2/Bm/pqMnvuIfHM7YwHQoVtrxnlPC+d MSr+ENHfq9+xPEnK/Ihm9CWJmxJqCJ6EL71nCptJI1FEMpx3hcbMCognF8BFDFm4 G6zcP3Re+gYbh3qLJnLQ/03P5BLLr/I0F/D5Af3DEmoNwHhuEFkpdyAkFfzICfK3 7lM+V9funTTnXrXkrcB7H2NEJnawKX9TQKftgFgTq5Bk3XzIAl1w15lVcquBAgMB AAGjggXxMIIF7TCB5AYIKwYBBQUHAQEEgdcwgdQwOAYIKwYBBQUHMAKGLGh0dHA6 Ly9hdXRvcml0ZS5kaGlteW90aXMuY29tL3NlcnZpY2VzY2EuZGVyMDYGCCsGAQUF BzAChipodHRwOi8vYXV0b3JpdGUuY2VydGlnbmEuZnIvc2VydmljZXNjYS5kZXIw MAYIKwYBBQUHMAGGJGh0dHA6Ly9zZXJ2aWNlc2NhLm9jc3AuZGhpbXlvdGlzLmNv bTAuBggrBgEFBQcwAYYiaHR0cDovL3NlcnZpY2VzY2Eub2NzcC5jZXJ0aWduYS5m cjAfBgNVHSMEGDAWgBSs7IaPSzccuH8XGxnQruhO4zRcEjAJBgNVHRMEAjAAMGEG A1UdIARaMFgwCAYGZ4EMAQICMEwGCyqBegGBMQIFAQEBMD0wOwYIKwYBBQUHAgEW L2h0dHBzOi8vd3d3LmNlcnRpZ25hLmNvbS9hdXRvcml0ZS1jZXJ0aWZpY2F0aW9u MGUGA1UdHwReMFwwK6ApoCeGJWh0dHA6Ly9jcmwuY2VydGlnbmEuZnIvc2Vydmlj ZXNjYS5jcmwwLaAroCmGJ2h0dHA6Ly9jcmwuZGhpbXlvdGlzLmNvbS9zZXJ2aWNl c2NhLmNybDATBgNVHSUEDDAKBggrBgEFBQcDATAOBgNVHQ8BAf8EBAMCBaAwggJG BgNVHREEggI9MIICOYIiYXV2ZXJnbmUtcmhvbmUtYWxwZXMucGFwcy5zYW50ZS5m coIgbm91dmVsbGUtYXF1aXRhaW5lLnBhcHMuc2FudGUuZnKCH2xhcmV1bmlvbi1t YXlvdHRlLnBhcHMuc2FudGUuZnKCIWNlbnRyZS12YWwtZGUtbG9pcmUucGFwcy5z YW50ZS5mcoIXbGFyZXVuaW9uLnBhcHMuc2FudGUuZnKCFmJyZXRhZ25lLnBhcHMu c2FudGUuZnKCGWlsZWRlZnJhbmNlLnBhcHMuc2FudGUuZnKCF2dyYW5kLWVzdC5w YXBzLnNhbnRlLmZygh1oYXV0cy1kZS1mcmFuY2UucGFwcy5zYW50ZS5mcoIXbm9y bWFuZGllLnBhcHMuc2FudGUuZnKCE2NvcnNlLnBhcHMuc2FudGUuZnKCF29jY2l0 YW5pZS5wYXBzLnNhbnRlLmZyghtwYXlzZGVsYWxvaXJlLnBhcHMuc2FudGUuZnKC FGd1eWFuZS5wYXBzLnNhbnRlLmZyghhndWFkZWxvdXBlLnBhcHMuc2FudGUuZnKC GG1hcnRpbmlxdWUucGFwcy5zYW50ZS5mcoIlYm91cmdvZ25lLWZyYW5jaGUtY29t dGUucGFwcy5zYW50ZS5mcoIab2NlYW4taW5kaWVuLnBhcHMuc2FudGUuZnKCDXBh cHMuc2FudGUuZnKCEnBhY2EucGFwcy5zYW50ZS5mcoIVbWF5b3R0ZS5wYXBzLnNh bnRlLmZyMB0GA1UdDgQWBBQylf3/b5kmtW9V2JL2lQjAPEgZOjCCAX4GCisGAQQB 1nkCBAIEggFuBIIBagFoAHcArfe++nz/EMiLnT2cHj4YarRnKV3PsQwkyoWGNOvc gooAAAGB7aKQIgAABAMASDBGAiEA6tYc6QI5lkxzd6Y3WrZW+j7L+30i+dOxjzxt kGHrgPwCIQCgBBAAqe8eR9L5pkQtKh3gtuXXeEQ0ROavpm39gO1JaQB2AOg+0No+ 9QY1MudXKLyJa8kD08vREWvs62nhd31tBr1uAAABge2ijicAAAQDAEcwRQIgFlhh ddHcCOqPWLir27e6rwqmBouin8c7peKI4j2CPHcCIQCuituWX4s9XBptk8MJxw84 cUmZ+EB+bhHWxUfoCiaj+gB1ALNzdwfhhFD4Y4bWBancEQlKeS2xZwwLh9zwAw55 NqWaAAABge2ik5QAAAQDAEYwRAIgUSSU1PFRoVe0Jd4e2dgE/YfzdLb/hzFgGRcP Q9x0zmACIFmYuMbv7NR2v/XV0q5vILx0L2sSA5OKNAQpyREfkQIhMA0GCSqGSIb3 DQEBCwUAA4ICAQBm0ZuZxZQy/vMwlbiALkA416gDOrfPaZVfxsw1S7eb1t1M3oPh +gWwmLqGfVBdXsX937tq73XwbWMFvaj3z6Mh4Z6nLbbIb/g8jd9+x8TqmwNB+1S2 43ULYor4YOdntAq1yqc96Zo7KJSAnPOPFRwkSCbCpS4sFjWTXzXGJIv0XU2+msyE GZKYTyeScjFGBeyw1zq7YXCtHltv+bb3EYC82OP4R/2IHX3IANges59DtM7v1TFk VulCYYlPSXxmhbSlgMfccjDwfe4EuLtlhqV51p6zbFyykxYyCXQlHeKHOAjPpevX fM0oaOusXX2PTFecqI+oIQW9jG2JQXq9a2q0obyBDl0EcN/dU7vM8b1dWd+ck00f +GSeMU+yJNMmBBv27gT6oJ23x0KZMWYm18H4vcdNQWtbJMnKrZ/EOC6CBGvlgxTX ca8fUNw+UltZetEwClahfjU8hZ5+X22s0hdwQ6wodWWj2oY8nsSmUNEcDBwn3VbJ QXczDbvA0bRsjh5UAoorYlCvs3Vo3bqmYpbGza+fKKY4ytz590LwCdqsMoljGJWc 6WNaXda0JzFKAaNAxu75ISPZrnFi6wdJtAWgGyU64oZ+7/pXBIDVK4O3AvkUmElV x8XM/HM6ZOxY2IaCeIJLg3ZyOZKamPXGTfwWHEH54U6lFKcSfe1alOb+ZQ== -----END CERTIFICATE-----","",""
"cert_commonName","paps.sante.fr/185.194.82.45","443","OK","paps.sante.fr","",""
"cert_commonName_wo_SNI","paps.sante.fr/185.194.82.45","443","INFO","www.ars.sante.fr","",""
