"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","preventionete.sports.gouv.fr/185.75.143.93","443","INFO","HTTP","",""
"pre_128cipher","preventionete.sports.gouv.fr/185.75.143.93","443","INFO","No 128 cipher limit bug","",""
"SSLv2","preventionete.sports.gouv.fr/185.75.143.93","443","OK","not offered","",""
"SSLv3","preventionete.sports.gouv.fr/185.75.143.93","443","OK","not offered","",""
"TLS1","preventionete.sports.gouv.fr/185.75.143.93","443","INFO","not offered","",""
"TLS1_1","preventionete.sports.gouv.fr/185.75.143.93","443","INFO","not offered","",""
"TLS1_2","preventionete.sports.gouv.fr/185.75.143.93","443","OK","offered","",""
"TLS1_3","preventionete.sports.gouv.fr/185.75.143.93","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","preventionete.sports.gouv.fr/185.75.143.93","443","INFO","http/1.1","",""
"cipherlist_NULL","preventionete.sports.gouv.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","preventionete.sports.gouv.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","preventionete.sports.gouv.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_LOW","preventionete.sports.gouv.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","preventionete.sports.gouv.fr/185.75.143.93","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","preventionete.sports.gouv.fr/185.75.143.93","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","preventionete.sports.gouv.fr/185.75.143.93","443","INFO","not offered","",""
"cipherlist_STRONG","preventionete.sports.gouv.fr/185.75.143.93","443","OK","offered","",""
"cipher_order","preventionete.sports.gouv.fr/185.75.143.93","443","INFO","NOT a cipher order configured","",""
"FS","preventionete.sports.gouv.fr/185.75.143.93","443","OK","offered","",""
"FS_ciphers","preventionete.sports.gouv.fr/185.75.143.93","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","preventionete.sports.gouv.fr/185.75.143.93","443","OK","secp256k1 prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","preventionete.sports.gouv.fr/185.75.143.93","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'heartbeat/#15'","",""
"TLS_session_ticket","preventionete.sports.gouv.fr/185.75.143.93","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","preventionete.sports.gouv.fr/185.75.143.93","443","INFO","yes","",""
"sessionresumption_ticket","preventionete.sports.gouv.fr/185.75.143.93","443","INFO","not supported","",""
"sessionresumption_ID","preventionete.sports.gouv.fr/185.75.143.93","443","INFO","supported","",""
"TLS_timestamp","preventionete.sports.gouv.fr/185.75.143.93","443","INFO","random","",""
"cert_compression","preventionete.sports.gouv.fr/185.75.143.93","443","INFO","N/A","",""
"clientAuth","preventionete.sports.gouv.fr/185.75.143.93","443","INFO","none","",""
"cert_numbers","preventionete.sports.gouv.fr/185.75.143.93","443","INFO","1","",""
"cert_signatureAlgorithm","preventionete.sports.gouv.fr/185.75.143.93","443","OK","SHA256 with RSA","",""
"cert_keySize","preventionete.sports.gouv.fr/185.75.143.93","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","preventionete.sports.gouv.fr/185.75.143.93","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","preventionete.sports.gouv.fr/185.75.143.93","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","preventionete.sports.gouv.fr/185.75.143.93","443","INFO","950F9F9A9A16E4A6AFBAEA9C819CA8F1","",""
"cert_serialNumberLen","preventionete.sports.gouv.fr/185.75.143.93","443","INFO","16","",""
"cert_fingerprintSHA1","preventionete.sports.gouv.fr/185.75.143.93","443","INFO","384B5DD09DF15117DF430C1FDD104EE213BF2C8A","",""
"cert_fingerprintSHA256","preventionete.sports.gouv.fr/185.75.143.93","443","INFO","BF60ECC1F934C30084CE7B55A05E1DC577D275BB36E9960E51F36930D60CA67B","",""
"cert","preventionete.sports.gouv.fr/185.75.143.93","443","INFO","-----BEGIN CERTIFICATE-----\nMIII4TCCBsmgAwIBAgIRAJUPn5qaFuSmr7rqnIGcqPEwDQYJKoZIhvcNAQELBQAwfTELMAkGA1UEBhMCRlIxEjAQBgNVBAoMCURISU1ZT1RJUzEcMBoGA1UECwwTMDAwMiA0ODE0NjMwODEwMDAzNjEdMBsGA1UEYQwUTlRSRlItNDgxNDYzMDgxMDAwMzYxHTAbBgNVBAMMFENlcnRpZ25hIFNlcnZpY2VzIENBMB4XDTIyMDkyMjIyMDAwMFoXDTIzMDkyMjIxNTk1OVowgZwxCzAJBgNVBAYTAkZSMQ4wDAYDVQQHDAVQQVJJUzFBMD8GA1UECgw4U0VDUkVUQVJJQVQgR0VORVJBTCBNSU5JU1RFUkVTIENIQVJHRVMgQUZGQUlSRVMgU09DSUFMRVMxJTAjBgNVBAMMHHByZXZlbnRpb25ldGUuc3BvcnRzLmdvdXYuZnIxEzARBgNVBAUTClMyNDk0MDIzODAwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDycYBlJqmy2vCuZvZGBp9ryzXNgJMm/YAYuZiWffaM8WvwBaXYSWHnKTwWPyQbXhm+XxaaD/Wvqtxed0FvJ910k5X+acYD8DC8DMZhizqN5IOEMYNkua60picgRPqs5ZTD8LbF0J/mwxwgLwRzciH33SpVbkt1CZLFImqGIXIieyKAmOmUAhcuAsiDhhQPLhV42U8cwtGPKNGY5pWrpalKF0jUFwYjCRHyG2z9y8CQVo9kuVbp5Vyq9TkZ5RcjJVCvlQSbiXjrtwrr9iWvklFFSHqiY/sA5FewHuo3aS7mGKf+mH3HCdE800BEjlB87ycNDi7YOjCZkRl5lFrNd2ZZAgMBAAGjggQ6MIIENjCB5AYIKwYBBQUHAQEEgdcwgdQwNgYIKwYBBQUHMAKGKmh0dHA6Ly9hdXRvcml0ZS5jZXJ0aWduYS5mci9zZXJ2aWNlc2NhLmRlcjA4BggrBgEFBQcwAoYsaHR0cDovL2F1dG9yaXRlLmRoaW15b3Rpcy5jb20vc2VydmljZXNjYS5kZXIwMAYIKwYBBQUHMAGGJGh0dHA6Ly9zZXJ2aWNlc2NhLm9jc3AuZGhpbXlvdGlzLmNvbTAuBggrBgEFBQcwAYYiaHR0cDovL3NlcnZpY2VzY2Eub2NzcC5jZXJ0aWduYS5mcjAfBgNVHSMEGDAWgBSs7IaPSzccuH8XGxnQruhO4zRcEjAJBgNVHRMEAjAAMGEGA1UdIARaMFgwCAYGZ4EMAQICMEwGCyqBegGBMQIFAQEBMD0wOwYIKwYBBQUHAgEWL2h0dHBzOi8vd3d3LmNlcnRpZ25hLmNvbS9hdXRvcml0ZS1jZXJ0aWZpY2F0aW9uMGUGA1UdHwReMFwwK6ApoCeGJWh0dHA6Ly9jcmwuY2VydGlnbmEuZnIvc2VydmljZXNjYS5jcmwwLaAroCmGJ2h0dHA6Ly9jcmwuZGhpbXlvdGlzLmNvbS9zZXJ2aWNlc2NhLmNybDATBgNVHSUEDDAKBggrBgEFBQcDATAOBgNVHQ8BAf8EBAMCBaAwgY8GA1UdEQSBhzCBhIIccHJldmVudGlvbmV0ZS5zcG9ydHMuZ291di5mcoIgd3d3LnByZXZlbnRpb25ldGUuc3BvcnRzLmdvdXYuZnKCInd3dy5wcmV2ZW50aW9uaGl2ZXIuc3BvcnRzLmdvdXYuZnKCHnByZXZlbnRpb25oaXZlci5zcG9ydHMuZ291di5mcjAdBgNVHQ4EFgQUyYRpIKgIO1Flq9IiXMadFhmEYbAwggF/BgorBgEEAdZ5AgQCBIIBbwSCAWsBaQB2AK33vvp8/xDIi509nB4+GGq0Zyldz7EMJMqFhjTr3IKKAAABg2msR44AAAQDAEcwRQIhAMmgK5/og+ZL5WnLjVlZdmQRRal1q9ZjMIV1Olln4RESAiAftITReBT7LQvyYg3Ri7MINgEjiRLm4tCSV87D928tQAB2AOg+0No+9QY1MudXKLyJa8kD08vREWvs62nhd31tBr1uAAABg2msRYkAAAQDAEcwRQIgOPLdNzwbRUugK6vcZ1nQ1q/q9KfbcU4Wd5Wzxd8kq9wCIQCKygUYL+cjzbl8Qf0oAFvgLz7ZLJCenETsjGDXMLg5cgB3ADXPGRu/sWxXvw+tTG1Cy7u2JyAmUeo/4SrvqAPDO9ZMAAABg2msTCIAAAQDAEgwRgIhAPgrmeLAks18EWGgobDi8mJ+ZpAKzbHxalx28JIdeQsqAiEArwou10A1oRv9eRxrddLGwpx7xZx/gX0oy5DFOJvMXdIwDQYJKoZIhvcNAQELBQADggIBAEq1pyhewan9g53d9i91484tTNFR9vjLp3Uk1yuh/sgzl+eyQt2HkLsnkdUlTA4O3p0tbefmrEhScWIJIS9fYEst+x2fc2KGzQ9tq/E1WDFM41OMVu7NhiVHphB9obrU3GWW/p8/1rRXy6zsmOui1zXm+OcIx0iJM51YLq3fMqgozdykA/GeH3QVtW9cSL9Bc7tHPhAX56EdVMiTOtavEzOPSWEJkrp4zjAJnfDy/gnDsiyK0d5Z4q7yoRZ0uv0oCvt3O00kUjdlXpQHSijDrcF4jaSKslBYyrfiDEku6y/xsYuOxZA4lhebpaA8NEZiJncjoEOdybsWeycGAM+dJPaPVeYnZ86RkWWsyD+/xvuGNdlkx3B/wpRbd8Q3I7pwIv5BlhM510hK1fCT5mB+ESa64ymcE2TZqNJUSJ4Jge7gI7V/srB7eiyBavTFV1Ua3kchC8gPpb5sJruIa9sMBIMfJlhqSIDt1xCV4AshcwnFNphp7nJF5Bd2VdTv3le3RhwXD9EZ4RfTia8CMDBF3mIc4GcwDfH7UYQ3wsPdq0Xq5lvJm4jBSctjMfjzjIBuLlfOJLHcfboZFMOM6qT6Kps7VJeD21LHbdgDgdkcpL3cYWsWxSapVBfCI8wM3ZnZkv4aCtgftvGkEVQbCysEIGAeDZboXrF0JyIcJtiniRNp\n-----END CERTIFICATE-----","",""
"cert_commonName","preventionete.sports.gouv.fr/185.75.143.93","443","OK","preventionete.sports.gouv.fr","",""
"cert_commonName_wo_SNI","preventionete.sports.gouv.fr/185.75.143.93","443","INFO","*.dedie.ate.info","",""
