"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","preventionhiver.sports.gouv.fr/185.194.82.147","443","INFO","HTTP","",""
"pre_128cipher","preventionhiver.sports.gouv.fr/185.194.82.147","443","INFO","No 128 cipher limit bug","",""
"SSLv2","preventionhiver.sports.gouv.fr/185.194.82.147","443","OK","not offered","",""
"SSLv3","preventionhiver.sports.gouv.fr/185.194.82.147","443","OK","not offered","",""
"TLS1","preventionhiver.sports.gouv.fr/185.194.82.147","443","INFO","not offered","",""
"TLS1_1","preventionhiver.sports.gouv.fr/185.194.82.147","443","INFO","is not offered","",""
"TLS1_2","preventionhiver.sports.gouv.fr/185.194.82.147","443","OK","offered","",""
"TLS1_3","preventionhiver.sports.gouv.fr/185.194.82.147","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","preventionhiver.sports.gouv.fr/185.194.82.147","443","INFO","not offered","",""
"cipherlist_NULL","preventionhiver.sports.gouv.fr/185.194.82.147","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","preventionhiver.sports.gouv.fr/185.194.82.147","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","preventionhiver.sports.gouv.fr/185.194.82.147","443","OK","not offered","","CWE-327"
"cipherlist_LOW","preventionhiver.sports.gouv.fr/185.194.82.147","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","preventionhiver.sports.gouv.fr/185.194.82.147","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","preventionhiver.sports.gouv.fr/185.194.82.147","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","preventionhiver.sports.gouv.fr/185.194.82.147","443","OK","offered","",""
"cipherlist_STRONG","preventionhiver.sports.gouv.fr/185.194.82.147","443","OK","offered","",""
"cipher_order","preventionhiver.sports.gouv.fr/185.194.82.147","443","OK","server","",""
"protocol_negotiated","preventionhiver.sports.gouv.fr/185.194.82.147","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","preventionhiver.sports.gouv.fr/185.194.82.147","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","preventionhiver.sports.gouv.fr/185.194.82.147","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","preventionhiver.sports.gouv.fr/185.194.82.147","443","OK","offered","",""
"FS_ciphers","preventionhiver.sports.gouv.fr/185.194.82.147","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","preventionhiver.sports.gouv.fr/185.194.82.147","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","preventionhiver.sports.gouv.fr/185.194.82.147","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","preventionhiver.sports.gouv.fr/185.194.82.147","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","preventionhiver.sports.gouv.fr/185.194.82.147","443","INFO","yes","",""
"sessionresumption_ticket","preventionhiver.sports.gouv.fr/185.194.82.147","443","INFO","not supported","",""
"sessionresumption_ID","preventionhiver.sports.gouv.fr/185.194.82.147","443","INFO","supported","",""
"TLS_timestamp","preventionhiver.sports.gouv.fr/185.194.82.147","443","INFO","random","",""
