"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","preventionhiver.sports.gouv.fr/185.75.143.93","443","INFO","HTTP","",""
"pre_128cipher","preventionhiver.sports.gouv.fr/185.75.143.93","443","INFO","No 128 cipher limit bug","",""
"SSLv2","preventionhiver.sports.gouv.fr/185.75.143.93","443","WARN","couldn't be tested, socket problem","",""
"SSLv3","preventionhiver.sports.gouv.fr/185.75.143.93","443","OK","not offered","",""
"TLS1","preventionhiver.sports.gouv.fr/185.75.143.93","443","INFO","not offered","",""
"TLS1_1","preventionhiver.sports.gouv.fr/185.75.143.93","443","INFO","not offered","",""
"TLS1_2","preventionhiver.sports.gouv.fr/185.75.143.93","443","OK","offered","",""
"TLS1_3","preventionhiver.sports.gouv.fr/185.75.143.93","443","OK","offered with final","",""
"ALPN_HTTP2","preventionhiver.sports.gouv.fr/185.75.143.93","443","OK","h2","",""
"ALPN","preventionhiver.sports.gouv.fr/185.75.143.93","443","INFO","http/1.1","",""
"cipherlist_NULL","preventionhiver.sports.gouv.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","preventionhiver.sports.gouv.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","preventionhiver.sports.gouv.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_LOW","preventionhiver.sports.gouv.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","preventionhiver.sports.gouv.fr/185.75.143.93","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","preventionhiver.sports.gouv.fr/185.75.143.93","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","preventionhiver.sports.gouv.fr/185.75.143.93","443","INFO","not offered","",""
"cipherlist_STRONG_FS","preventionhiver.sports.gouv.fr/185.75.143.93","443","OK","offered","",""
"scanProblem","preventionhiver.sports.gouv.fr/185.75.143.93","443","FATAL","repeated TCP connect problems, giving up","",""
