"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","rappel.conso.gouv.fr/185.24.187.242","443","INFO","HTTP","",""
"pre_128cipher","rappel.conso.gouv.fr/185.24.187.242","443","INFO","No 128 cipher limit bug","",""
"SSLv2","rappel.conso.gouv.fr/185.24.187.242","443","OK","not offered","",""
"SSLv3","rappel.conso.gouv.fr/185.24.187.242","443","OK","not offered","",""
"TLS1","rappel.conso.gouv.fr/185.24.187.242","443","INFO","not offered","",""
"TLS1_1","rappel.conso.gouv.fr/185.24.187.242","443","INFO","not offered","",""
"TLS1_2","rappel.conso.gouv.fr/185.24.187.242","443","OK","offered","",""
"TLS1_3","rappel.conso.gouv.fr/185.24.187.242","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","rappel.conso.gouv.fr/185.24.187.242","443","INFO","http/1.1","",""
"cipherlist_NULL","rappel.conso.gouv.fr/185.24.187.242","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","rappel.conso.gouv.fr/185.24.187.242","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","rappel.conso.gouv.fr/185.24.187.242","443","OK","not offered","","CWE-327"
"cipherlist_LOW","rappel.conso.gouv.fr/185.24.187.242","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","rappel.conso.gouv.fr/185.24.187.242","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","rappel.conso.gouv.fr/185.24.187.242","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","rappel.conso.gouv.fr/185.24.187.242","443","INFO","not offered","",""
"cipherlist_STRONG_FS","rappel.conso.gouv.fr/185.24.187.242","443","OK","offered","",""
"cipher_order-tls1_2","rappel.conso.gouv.fr/185.24.187.242","443","OK","server","",""
"cipherorder_TLSv1_2","rappel.conso.gouv.fr/185.24.187.242","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","rappel.conso.gouv.fr/185.24.187.242","443","OK","server","",""
"FS","rappel.conso.gouv.fr/185.24.187.242","443","OK","offered","",""
"FS_ciphers","rappel.conso.gouv.fr/185.24.187.242","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","rappel.conso.gouv.fr/185.24.187.242","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","rappel.conso.gouv.fr/185.24.187.242","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","rappel.conso.gouv.fr/185.24.187.242","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","rappel.conso.gouv.fr/185.24.187.242","443","INFO","yes","",""
"sessionresumption_ticket","rappel.conso.gouv.fr/185.24.187.242","443","INFO","supported","",""
"sessionresumption_ID","rappel.conso.gouv.fr/185.24.187.242","443","INFO","supported","",""
"TLS_timestamp","rappel.conso.gouv.fr/185.24.187.242","443","INFO","random","",""
"cert_compression","rappel.conso.gouv.fr/185.24.187.242","443","INFO","N/A","",""
"clientAuth","rappel.conso.gouv.fr/185.24.187.242","443","INFO","none","",""
"cert_numbers","rappel.conso.gouv.fr/185.24.187.242","443","INFO","1","",""
"cert_signatureAlgorithm","rappel.conso.gouv.fr/185.24.187.242","443","OK","SHA256 with RSA","",""
"cert_keySize","rappel.conso.gouv.fr/185.24.187.242","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","rappel.conso.gouv.fr/185.24.187.242","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","rappel.conso.gouv.fr/185.24.187.242","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","rappel.conso.gouv.fr/185.24.187.242","443","INFO","DABBE6972AB9373D0D9217F16A338D63","",""
"cert_serialNumberLen","rappel.conso.gouv.fr/185.24.187.242","443","INFO","16","",""
"cert_fingerprintSHA1","rappel.conso.gouv.fr/185.24.187.242","443","INFO","1C9F2FA535F71F48E0AD6D94069F8590F46FC8D5","",""
"cert_fingerprintSHA256","rappel.conso.gouv.fr/185.24.187.242","443","INFO","BAF046D7D8AAE9F81090A9370CC027BE781D97090BE79AF5660BBA95E7BD2603","",""
