"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","renfortrh.solidarites-sante.gouv.fr/185.194.82.20","443","INFO","HTTP","",""
"pre_128cipher","renfortrh.solidarites-sante.gouv.fr/185.194.82.20","443","INFO","No 128 cipher limit bug","",""
"SSLv2","renfortrh.solidarites-sante.gouv.fr/185.194.82.20","443","OK","not offered","",""
"SSLv3","renfortrh.solidarites-sante.gouv.fr/185.194.82.20","443","OK","not offered","",""
"TLS1","renfortrh.solidarites-sante.gouv.fr/185.194.82.20","443","INFO","not offered","",""
"TLS1_1","renfortrh.solidarites-sante.gouv.fr/185.194.82.20","443","INFO","is not offered","",""
"TLS1_2","renfortrh.solidarites-sante.gouv.fr/185.194.82.20","443","OK","offered","",""
"TLS1_3","renfortrh.solidarites-sante.gouv.fr/185.194.82.20","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","renfortrh.solidarites-sante.gouv.fr/185.194.82.20","443","INFO","not offered","",""
"cipherlist_NULL","renfortrh.solidarites-sante.gouv.fr/185.194.82.20","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","renfortrh.solidarites-sante.gouv.fr/185.194.82.20","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","renfortrh.solidarites-sante.gouv.fr/185.194.82.20","443","OK","not offered","","CWE-327"
"cipherlist_LOW","renfortrh.solidarites-sante.gouv.fr/185.194.82.20","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","renfortrh.solidarites-sante.gouv.fr/185.194.82.20","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","renfortrh.solidarites-sante.gouv.fr/185.194.82.20","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","renfortrh.solidarites-sante.gouv.fr/185.194.82.20","443","OK","offered","",""
"cipherlist_STRONG","renfortrh.solidarites-sante.gouv.fr/185.194.82.20","443","OK","offered","",""
"cipher_order","renfortrh.solidarites-sante.gouv.fr/185.194.82.20","443","OK","server","",""
