"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","reforme-retraite.gouv.fr/185.194.82.27","443","INFO","HTTP","",""
"pre_128cipher","reforme-retraite.gouv.fr/185.194.82.27","443","INFO","No 128 cipher limit bug","",""
"SSLv2","reforme-retraite.gouv.fr/185.194.82.27","443","OK","not offered","",""
"SSLv3","reforme-retraite.gouv.fr/185.194.82.27","443","OK","not offered","",""
"TLS1","reforme-retraite.gouv.fr/185.194.82.27","443","INFO","not offered","",""
"TLS1_1","reforme-retraite.gouv.fr/185.194.82.27","443","INFO","is not offered","",""
"TLS1_2","reforme-retraite.gouv.fr/185.194.82.27","443","OK","offered","",""
"TLS1_3","reforme-retraite.gouv.fr/185.194.82.27","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","reforme-retraite.gouv.fr/185.194.82.27","443","INFO","not offered","",""
"cipherlist_NULL","reforme-retraite.gouv.fr/185.194.82.27","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","reforme-retraite.gouv.fr/185.194.82.27","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","reforme-retraite.gouv.fr/185.194.82.27","443","OK","not offered","","CWE-327"
"cipherlist_LOW","reforme-retraite.gouv.fr/185.194.82.27","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","reforme-retraite.gouv.fr/185.194.82.27","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","reforme-retraite.gouv.fr/185.194.82.27","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","reforme-retraite.gouv.fr/185.194.82.27","443","OK","offered","",""
"cipherlist_STRONG","reforme-retraite.gouv.fr/185.194.82.27","443","OK","offered","",""
"cipher_order","reforme-retraite.gouv.fr/185.194.82.27","443","OK","server","",""
"protocol_negotiated","reforme-retraite.gouv.fr/185.194.82.27","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","reforme-retraite.gouv.fr/185.194.82.27","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","reforme-retraite.gouv.fr/185.194.82.27","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","reforme-retraite.gouv.fr/185.194.82.27","443","OK","offered","",""
"FS_ciphers","reforme-retraite.gouv.fr/185.194.82.27","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","reforme-retraite.gouv.fr/185.194.82.27","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","reforme-retraite.gouv.fr/185.194.82.27","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","reforme-retraite.gouv.fr/185.194.82.27","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","reforme-retraite.gouv.fr/185.194.82.27","443","INFO","yes","",""
"sessionresumption_ticket","reforme-retraite.gouv.fr/185.194.82.27","443","INFO","not supported","",""
"sessionresumption_ID","reforme-retraite.gouv.fr/185.194.82.27","443","INFO","not supported","",""
"TLS_timestamp","reforme-retraite.gouv.fr/185.194.82.27","443","INFO","random","",""
"clientAuth","reforme-retraite.gouv.fr/185.194.82.27","443","INFO","none","",""
"cert_numbers","reforme-retraite.gouv.fr/185.194.82.27","443","INFO","1","",""
"cert_signatureAlgorithm","reforme-retraite.gouv.fr/185.194.82.27","443","OK","SHA256 with RSA","",""
"cert_keySize","reforme-retraite.gouv.fr/185.194.82.27","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","reforme-retraite.gouv.fr/185.194.82.27","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","reforme-retraite.gouv.fr/185.194.82.27","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","reforme-retraite.gouv.fr/185.194.82.27","443","INFO","35DE3649B1E6062C2DFF3AE665CC5E26","",""
"cert_fingerprintSHA1","reforme-retraite.gouv.fr/185.194.82.27","443","INFO","65C70B2BB813DD5CDE9F328C0851FF9338F72024","",""
"cert_fingerprintSHA256","reforme-retraite.gouv.fr/185.194.82.27","443","INFO","D6D58A9108B600222E6C90713CCAE8026C03F646079A5940C3A00C77E29D5919","",""
