"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","si-enquetes-valid.sante.gouv.fr/185.194.82.24","443","INFO","HTTP","",""
"pre_128cipher","si-enquetes-valid.sante.gouv.fr/185.194.82.24","443","INFO","No 128 cipher limit bug","",""
"SSLv2","si-enquetes-valid.sante.gouv.fr/185.194.82.24","443","OK","not offered","",""
"SSLv3","si-enquetes-valid.sante.gouv.fr/185.194.82.24","443","OK","not offered","",""
"TLS1","si-enquetes-valid.sante.gouv.fr/185.194.82.24","443","INFO","not offered","",""
"TLS1_1","si-enquetes-valid.sante.gouv.fr/185.194.82.24","443","INFO","is not offered","",""
"TLS1_2","si-enquetes-valid.sante.gouv.fr/185.194.82.24","443","OK","offered","",""
"TLS1_3","si-enquetes-valid.sante.gouv.fr/185.194.82.24","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","si-enquetes-valid.sante.gouv.fr/185.194.82.24","443","INFO","not offered","",""
"cipherlist_NULL","si-enquetes-valid.sante.gouv.fr/185.194.82.24","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","si-enquetes-valid.sante.gouv.fr/185.194.82.24","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","si-enquetes-valid.sante.gouv.fr/185.194.82.24","443","OK","not offered","","CWE-327"
"cipherlist_LOW","si-enquetes-valid.sante.gouv.fr/185.194.82.24","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","si-enquetes-valid.sante.gouv.fr/185.194.82.24","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","si-enquetes-valid.sante.gouv.fr/185.194.82.24","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","si-enquetes-valid.sante.gouv.fr/185.194.82.24","443","OK","offered","",""
"cipherlist_STRONG","si-enquetes-valid.sante.gouv.fr/185.194.82.24","443","OK","offered","",""
"cipher_order","si-enquetes-valid.sante.gouv.fr/185.194.82.24","443","OK","server","",""
"protocol_negotiated","si-enquetes-valid.sante.gouv.fr/185.194.82.24","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","si-enquetes-valid.sante.gouv.fr/185.194.82.24","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","si-enquetes-valid.sante.gouv.fr/185.194.82.24","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","si-enquetes-valid.sante.gouv.fr/185.194.82.24","443","OK","offered","",""
"FS_ciphers","si-enquetes-valid.sante.gouv.fr/185.194.82.24","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","si-enquetes-valid.sante.gouv.fr/185.194.82.24","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","si-enquetes-valid.sante.gouv.fr/185.194.82.24","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
