"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","silav.sante.gouv.fr/164.131.244.58","443","INFO","HTTP","",""
"pre_128cipher","silav.sante.gouv.fr/164.131.244.58","443","INFO","No 128 cipher limit bug","",""
"SSLv2","silav.sante.gouv.fr/164.131.244.58","443","OK","not offered","",""
"SSLv3","silav.sante.gouv.fr/164.131.244.58","443","OK","not offered","",""
"TLS1","silav.sante.gouv.fr/164.131.244.58","443","LOW","offered (deprecated)","",""
"TLS1_1","silav.sante.gouv.fr/164.131.244.58","443","LOW","offered (deprecated)","",""
"TLS1_2","silav.sante.gouv.fr/164.131.244.58","443","OK","offered","",""
"TLS1_3","silav.sante.gouv.fr/164.131.244.58","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","silav.sante.gouv.fr/164.131.244.58","443","INFO","not offered","",""
"cipherlist_NULL","silav.sante.gouv.fr/164.131.244.58","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","silav.sante.gouv.fr/164.131.244.58","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","silav.sante.gouv.fr/164.131.244.58","443","OK","not offered","","CWE-327"
"cipherlist_LOW","silav.sante.gouv.fr/164.131.244.58","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","silav.sante.gouv.fr/164.131.244.58","443","MEDIUM","offered","","CWE-310"
"cipherlist_AVERAGE","silav.sante.gouv.fr/164.131.244.58","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","silav.sante.gouv.fr/164.131.244.58","443","INFO","not offered","",""
"cipherlist_STRONG","silav.sante.gouv.fr/164.131.244.58","443","MEDIUM","not offered","",""
"cipher_order","silav.sante.gouv.fr/164.131.244.58","443","OK","server","",""
"protocol_negotiated","silav.sante.gouv.fr/164.131.244.58","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","silav.sante.gouv.fr/164.131.244.58","443","MEDIUM","DES-CBC3-SHA","",""
"cipherorder_TLSv1","silav.sante.gouv.fr/164.131.244.58","443","INFO","DES-CBC3-SHA","",""
