"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","sisac.sante.gouv.fr/185.194.82.49","443","INFO","HTTP","",""
"pre_128cipher","sisac.sante.gouv.fr/185.194.82.49","443","INFO","No 128 cipher limit bug","",""
"SSLv2","sisac.sante.gouv.fr/185.194.82.49","443","OK","not offered","",""
"SSLv3","sisac.sante.gouv.fr/185.194.82.49","443","OK","not offered","",""
"TLS1","sisac.sante.gouv.fr/185.194.82.49","443","INFO","not offered","",""
"TLS1_1","sisac.sante.gouv.fr/185.194.82.49","443","INFO","is not offered","",""
"TLS1_2","sisac.sante.gouv.fr/185.194.82.49","443","OK","offered","",""
"TLS1_3","sisac.sante.gouv.fr/185.194.82.49","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","sisac.sante.gouv.fr/185.194.82.49","443","INFO","not offered","",""
"cipherlist_NULL","sisac.sante.gouv.fr/185.194.82.49","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","sisac.sante.gouv.fr/185.194.82.49","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","sisac.sante.gouv.fr/185.194.82.49","443","OK","not offered","","CWE-327"
"cipherlist_LOW","sisac.sante.gouv.fr/185.194.82.49","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","sisac.sante.gouv.fr/185.194.82.49","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","sisac.sante.gouv.fr/185.194.82.49","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","sisac.sante.gouv.fr/185.194.82.49","443","OK","offered","",""
"cipherlist_STRONG","sisac.sante.gouv.fr/185.194.82.49","443","OK","offered","",""
"cipher_order","sisac.sante.gouv.fr/185.194.82.49","443","OK","server","",""
"protocol_negotiated","sisac.sante.gouv.fr/185.194.82.49","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","sisac.sante.gouv.fr/185.194.82.49","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","sisac.sante.gouv.fr/185.194.82.49","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","sisac.sante.gouv.fr/185.194.82.49","443","OK","offered","",""
"FS_ciphers","sisac.sante.gouv.fr/185.194.82.49","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","sisac.sante.gouv.fr/185.194.82.49","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","sisac.sante.gouv.fr/185.194.82.49","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","sisac.sante.gouv.fr/185.194.82.49","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","sisac.sante.gouv.fr/185.194.82.49","443","INFO","yes","",""
"sessionresumption_ticket","sisac.sante.gouv.fr/185.194.82.49","443","INFO","not supported","",""
"sessionresumption_ID","sisac.sante.gouv.fr/185.194.82.49","443","INFO","supported","",""
"TLS_timestamp","sisac.sante.gouv.fr/185.194.82.49","443","INFO","random","",""
"clientAuth","sisac.sante.gouv.fr/185.194.82.49","443","INFO","none","",""
"cert_numbers","sisac.sante.gouv.fr/185.194.82.49","443","INFO","1","",""
"cert_signatureAlgorithm","sisac.sante.gouv.fr/185.194.82.49","443","OK","SHA256 with RSA","",""
"cert_keySize","sisac.sante.gouv.fr/185.194.82.49","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","sisac.sante.gouv.fr/185.194.82.49","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","sisac.sante.gouv.fr/185.194.82.49","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","sisac.sante.gouv.fr/185.194.82.49","443","INFO","C1B35962890176884FAE70BE3439A316","",""
"cert_fingerprintSHA1","sisac.sante.gouv.fr/185.194.82.49","443","INFO","6074311FE259C1D530BEE4ADEEC2C33A6219ABB0","",""
"cert_fingerprintSHA256","sisac.sante.gouv.fr/185.194.82.49","443","INFO","64619A6D8A70F596C70C98F0C881491FAC1B93DFE4BA80382AD92487F57029F8","",""
"cert","sisac.sante.gouv.fr/185.194.82.49","443","INFO","-----BEGIN CERTIFICATE----- MIIIzzCCBregAwIBAgIRAMGzWWKJAXaIT65wvjQ5oxYwDQYJKoZIhvcNAQELBQAw fTELMAkGA1UEBhMCRlIxEjAQBgNVBAoMCURISU1ZT1RJUzEcMBoGA1UECwwTMDAw MiA0ODE0NjMwODEwMDAzNjEdMBsGA1UEYQwUTlRSRlItNDgxNDYzMDgxMDAwMzYx HTAbBgNVBAMMFENlcnRpZ25hIFNlcnZpY2VzIENBMB4XDTIwMDgxMTA4MDc1MVoX DTIyMTAyNTEyMzAzN1owgZExCzAJBgNVBAYTAkZSMRQwEgYDVQQHDAtQQVJJUyBT UCAwNzEcMBoGA1UECgwTU0cgTUlOIEFGRkFJUkVTIFNPQzEcMBoGA1UECwwTMDAw MiAxMzAwMDY4MDIwMDAxNjEcMBoGA1UEAwwTc2lzYWMuc2FudGUuZ291di5mcjES MBAGA1UEBRMJUzE3MTc1MDA0MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKC AQEAzXa0dYu0jloMbG3MAOrRGp/kln2yYGkxufV3XKbxz+sDrMFCh34/grPNT4n6 GGQYGzhbg+9TQA0xupyOXE+PCKfgN6nN1C9cgF/0rOI32tnBKR4r9KCz1/8LNyxZ TPoH+cWLbIodSZcvI5f51E13l7MqHVwydYhGSDkFis97Vk5Xvd+Ulw8qIF+l0oTj bNj/35Vc1zFOIOHXNv9VJFU4Nrew3qX3t9vuk67eLDt/1mA7b3t1LtQM7gAft3n6 lGpjdiJPLXLs25OlsDegBBMFu0R3xDt83aSorcKv4yK+oGiY3eeaoGWXgtNO1D7W pJRVLULrXDZSZYnwl6LtelYnZwIDAQABo4IEMzCCBC8wCQYDVR0TBAIwADAOBgNV HQ8BAf8EBAMCBaAwEwYDVR0lBAwwCgYIKwYBBQUHAwEwZQYDVR0fBF4wXDAroCmg J4YlaHR0cDovL2NybC5jZXJ0aWduYS5mci9zZXJ2aWNlc2NhLmNybDAtoCugKYYn aHR0cDovL2NybC5kaGlteW90aXMuY29tL3NlcnZpY2VzY2EuY3JsMIHkBggrBgEF BQcBAQSB1zCB1DA2BggrBgEFBQcwAoYqaHR0cDovL2F1dG9yaXRlLmNlcnRpZ25h LmZyL3NlcnZpY2VzY2EuZGVyMDgGCCsGAQUFBzAChixodHRwOi8vYXV0b3JpdGUu ZGhpbXlvdGlzLmNvbS9zZXJ2aWNlc2NhLmRlcjAuBggrBgEFBQcwAYYiaHR0cDov L3NlcnZpY2VzY2Eub2NzcC5jZXJ0aWduYS5mcjAwBggrBgEFBQcwAYYkaHR0cDov L3NlcnZpY2VzY2Eub2NzcC5kaGlteW90aXMuY29tMB0GA1UdDgQWBBTfGifmAcwy RP5xXmnCq0yOYGQFwDAfBgNVHSMEGDAWgBSs7IaPSzccuH8XGxnQruhO4zRcEjAe BgNVHREEFzAVghNzaXNhYy5zYW50ZS5nb3V2LmZyMFQGA1UdIARNMEswCAYGZ4EM AQICMD8GCyqBegGBMQIFAQEBMDAwLgYIKwYBBQUHAgEWImh0dHBzOi8vd3d3LmNl cnRpZ25hLmZyL2F1dG9yaXRlcy8wggH3BgorBgEEAdZ5AgQCBIIB5wSCAeMB4QB3 AEHIyrHfIkZKEMahOglCh15OMYsbA+vrS8do8JBilgb2AAABc9yPsc0AAAQDAEgw RgIhAKakR92FYeXKLpeOlP6aIOoanwsDSjzZqW5CDBUX1ut1AiEA3gFX6Sc8eL0f PunCJtPtR08bj1ymUjoB0PF06ky4MjUAdgBvU3asMfAxGdiZAKRRFf93FRwR2QLB ACkGjbIImjfZEwAAAXPcj7JnAAAEAwBHMEUCIQCDkLeZdm7AA1ayxS9f2azv/g1b CnnGQbxPbha2Ty3SHQIgDkrBIIGd1Ho3RKczr1z9XYYj4hSMlwvnDjpcKMaAD1sA dgAiRUUHWVUkVpY/oS/x922G4CMmY63AS39dxoNcbuIPAgAAAXPcj7TcAAAEAwBH MEUCIF143d/P7SXZr4gXz9mytA1h9Hdp6QQUA1pqNgofenK3AiEA0vactEAGx79Q FsVvMHfRU0J2MHHJ2lSUh1IO88mwtY0AdgApeb7wnjk5IfBWc59jpXflvld9nGAK +PlNXSZcJV3HhAAAAXPcj7WUAAAEAwBHMEUCIQCOMKgKoQLStCe1zvVrhHDx5RsK alyZvRozpQK7KLeSugIgWhn+pTUYsXkCs5ZNdPE3bXU70bkxH7LHa5WjerX/F08w DQYJKoZIhvcNAQELBQADggIBAGinbutWxhGBY5178Q0j/AqMzT66RCXTi40NbaFq CUpGb+nEHIQPFASLRTNzf2MmzwxYDadZr6Iw9Tqj1VptT+cmCOgdv/xfyLN4mOYa am2RwzN0ra5gZCWY9j2WxS41DEm9mHbOd2IRWwh93XTQBNj6pkN+D6/73zatJv8o iNW732NE7/X2M4H7ezX3aCdUE6scfNmw4ZSkpDPain+XYC5OfkENxfdahIGUiJpc /stmVDHAwDHQQIBwMKGjOBtt80pyDumPw52vCmSL/VxPmSxkmSX0xpd8qCrJwTNF Vi/F1SmOOOJz3hU5Y/jNYh1szLGym5Soy/mZMSJideFvGafZiLGYEtNYiud/rNJL d2Q1YPebKp9eD/mnY4QbJY75boftOLAqLVYhk1/P2iSfXS4pRsmSXnfcXsCNYvXq o0mkFaY2PwSZFdRrkFWYSBcvPrMg7x43C9D0FZ9nA4dZukrsSfajqr2SMIxoS8tu chStEK0vFWmi5VSiJU5UA6HTHShsLIhvUTzJld3bBHDmvsnYI1XLPIhZEFbN7UHq 39LPUrhpDtN4YjTwnIE8gv6ew8VNt1THzlX+eq9XtmXXop3TlQQukwvy0W3Nhc/l ePPkagaDWxxeKmF5p3X32BFYc9mgugVsPsK+s9MAjSxPWlkf1/vOyCStx+PXj73Q 09Rf -----END CERTIFICATE-----","",""
"cert_commonName","sisac.sante.gouv.fr/185.194.82.49","443","OK","sisac.sante.gouv.fr","",""
"cert_commonName_wo_SNI","sisac.sante.gouv.fr/185.194.82.49","443","INFO","sisac.sante.gouv.fr","",""
"cert_subjectAltName","sisac.sante.gouv.fr/185.194.82.49","443","INFO","sisac.sante.gouv.fr","",""
"cert_trust","sisac.sante.gouv.fr/185.194.82.49","443","OK","Ok via SAN and CN (same w/o SNI)","",""
"cert_chain_of_trust","sisac.sante.gouv.fr/185.194.82.49","443","CRITICAL","Some certificate trust checks failed -> Java (self signed CA in chain)  , OK -> Mozilla Microsoft Linux Apple","",""
"cert_certificatePolicies_EV","sisac.sante.gouv.fr/185.194.82.49","443","INFO","no","",""
"cert_expirationStatus","sisac.sante.gouv.fr/185.194.82.49","443","OK","569 >= 60 days","",""
"cert_notBefore","sisac.sante.gouv.fr/185.194.82.49","443","INFO","2020-08-11 08:07","",""
"cert_notAfter","sisac.sante.gouv.fr/185.194.82.49","443","OK","2022-10-25 12:30","",""
"cert_extlifeSpan","sisac.sante.gouv.fr/185.194.82.49","443","INFO","805 =< 398 days","",""
"cert_eTLS","sisac.sante.gouv.fr/185.194.82.49","443","INFO","not present","",""
"cert_crlDistributionPoints","sisac.sante.gouv.fr/185.194.82.49","443","INFO","http://crl.certigna.fr/servicesca.crl http://crl.dhimyotis.com/servicesca.crl","",""
"cert_ocspURL","sisac.sante.gouv.fr/185.194.82.49","443","INFO","http://servicesca.ocsp.certigna.fr http://servicesca.ocsp.dhimyotis.com","",""
"OCSP_stapling","sisac.sante.gouv.fr/185.194.82.49","443","LOW","not offered","",""
"cert_mustStapleExtension","sisac.sante.gouv.fr/185.194.82.49","443","INFO","--","",""
"DNS_CAArecord","sisac.sante.gouv.fr/185.194.82.49","443","LOW","--","",""
"certificate_transparency","sisac.sante.gouv.fr/185.194.82.49","443","OK","yes (certificate extension)","",""
"certs_countServer","sisac.sante.gouv.fr/185.194.82.49","443","INFO","3","",""
"certs_list_ordering_problem","sisac.sante.gouv.fr/185.194.82.49","443","INFO","no","",""
"cert_caIssuers","sisac.sante.gouv.fr/185.194.82.49","443","INFO","Certigna Services CA (DHIMYOTIS from FR)","",""
