"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","sivss.sante.fr/185.194.82.118","443","INFO","HTTP","",""
"pre_128cipher","sivss.sante.fr/185.194.82.118","443","INFO","No 128 cipher limit bug","",""
"SSLv2","sivss.sante.fr/185.194.82.118","443","OK","not offered","",""
"SSLv3","sivss.sante.fr/185.194.82.118","443","OK","not offered","",""
"TLS1","sivss.sante.fr/185.194.82.118","443","INFO","not offered","",""
"TLS1_1","sivss.sante.fr/185.194.82.118","443","INFO","not offered","",""
"TLS1_2","sivss.sante.fr/185.194.82.118","443","OK","offered","",""
"TLS1_3","sivss.sante.fr/185.194.82.118","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","sivss.sante.fr/185.194.82.118","443","INFO","not offered","",""
"cipherlist_NULL","sivss.sante.fr/185.194.82.118","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","sivss.sante.fr/185.194.82.118","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","sivss.sante.fr/185.194.82.118","443","OK","not offered","","CWE-327"
"cipherlist_LOW","sivss.sante.fr/185.194.82.118","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","sivss.sante.fr/185.194.82.118","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","sivss.sante.fr/185.194.82.118","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","sivss.sante.fr/185.194.82.118","443","INFO","not offered","",""
"cipherlist_STRONG","sivss.sante.fr/185.194.82.118","443","OK","offered","",""
"cipher_order","sivss.sante.fr/185.194.82.118","443","OK","server","",""
"protocol_negotiated","sivss.sante.fr/185.194.82.118","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","sivss.sante.fr/185.194.82.118","443","OK","ECDHE-RSA-AES256-GCM-SHA384, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","sivss.sante.fr/185.194.82.118","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"FS","sivss.sante.fr/185.194.82.118","443","OK","offered","",""
"FS_ciphers","sivss.sante.fr/185.194.82.118","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","sivss.sante.fr/185.194.82.118","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","sivss.sante.fr/185.194.82.118","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","sivss.sante.fr/185.194.82.118","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","sivss.sante.fr/185.194.82.118","443","INFO","yes","",""
"sessionresumption_ticket","sivss.sante.fr/185.194.82.118","443","INFO","not supported","",""
"sessionresumption_ID","sivss.sante.fr/185.194.82.118","443","INFO","supported","",""
"TLS_timestamp","sivss.sante.fr/185.194.82.118","443","INFO","random","",""
"cert_compression","sivss.sante.fr/185.194.82.118","443","INFO","N/A","",""
"clientAuth","sivss.sante.fr/185.194.82.118","443","INFO","none","",""
"cert_numbers","sivss.sante.fr/185.194.82.118","443","INFO","1","",""
"cert_signatureAlgorithm","sivss.sante.fr/185.194.82.118","443","OK","SHA256 with RSA","",""
"cert_keySize","sivss.sante.fr/185.194.82.118","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","sivss.sante.fr/185.194.82.118","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","sivss.sante.fr/185.194.82.118","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","sivss.sante.fr/185.194.82.118","443","INFO","300E15645504D1DD99D0266BAAC644F9","",""
"cert_serialNumberLen","sivss.sante.fr/185.194.82.118","443","INFO","16","",""
"cert_fingerprintSHA1","sivss.sante.fr/185.194.82.118","443","INFO","A1B27B56F062FF6358E7DFE1AF39E3ED2E75989A","",""
"cert_fingerprintSHA256","sivss.sante.fr/185.194.82.118","443","INFO","BD13AD7D8D01EFE47B1D4CC7F59D149977ECA0C7CD6F09AE4DE31415B64C86A7","",""
