"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","solidarites-sante.gouv.fr/185.194.82.27","443","INFO","HTTP","",""
"pre_128cipher","solidarites-sante.gouv.fr/185.194.82.27","443","INFO","No 128 cipher limit bug","",""
"SSLv2","solidarites-sante.gouv.fr/185.194.82.27","443","OK","not offered","",""
"SSLv3","solidarites-sante.gouv.fr/185.194.82.27","443","OK","not offered","",""
"TLS1","solidarites-sante.gouv.fr/185.194.82.27","443","INFO","not offered","",""
"TLS1_1","solidarites-sante.gouv.fr/185.194.82.27","443","INFO","not offered","",""
"TLS1_2","solidarites-sante.gouv.fr/185.194.82.27","443","OK","offered","",""
"TLS1_3","solidarites-sante.gouv.fr/185.194.82.27","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","solidarites-sante.gouv.fr/185.194.82.27","443","INFO","not offered","",""
"cipherlist_NULL","solidarites-sante.gouv.fr/185.194.82.27","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","solidarites-sante.gouv.fr/185.194.82.27","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","solidarites-sante.gouv.fr/185.194.82.27","443","OK","not offered","","CWE-327"
"cipherlist_LOW","solidarites-sante.gouv.fr/185.194.82.27","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","solidarites-sante.gouv.fr/185.194.82.27","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","solidarites-sante.gouv.fr/185.194.82.27","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","solidarites-sante.gouv.fr/185.194.82.27","443","INFO","not offered","",""
"cipherlist_STRONG","solidarites-sante.gouv.fr/185.194.82.27","443","OK","offered","",""
"cipherorder_TLSv1_2","solidarites-sante.gouv.fr/185.194.82.27","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","solidarites-sante.gouv.fr/185.194.82.27","443","OK","server","",""
"protocol_negotiated","solidarites-sante.gouv.fr/185.194.82.27","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","solidarites-sante.gouv.fr/185.194.82.27","443","OK","ECDHE-RSA-AES256-GCM-SHA384, 256 bit ECDH (P-256)","",""
"FS","solidarites-sante.gouv.fr/185.194.82.27","443","OK","offered","",""
"FS_ciphers","solidarites-sante.gouv.fr/185.194.82.27","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","solidarites-sante.gouv.fr/185.194.82.27","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","solidarites-sante.gouv.fr/185.194.82.27","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","solidarites-sante.gouv.fr/185.194.82.27","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","solidarites-sante.gouv.fr/185.194.82.27","443","INFO","yes","",""
"sessionresumption_ticket","solidarites-sante.gouv.fr/185.194.82.27","443","INFO","not supported","",""
"sessionresumption_ID","solidarites-sante.gouv.fr/185.194.82.27","443","INFO","supported","",""
"TLS_timestamp","solidarites-sante.gouv.fr/185.194.82.27","443","INFO","random","",""
"cert_compression","solidarites-sante.gouv.fr/185.194.82.27","443","INFO","N/A","",""
"clientAuth","solidarites-sante.gouv.fr/185.194.82.27","443","INFO","none","",""
"cert_numbers","solidarites-sante.gouv.fr/185.194.82.27","443","INFO","1","",""
"cert_signatureAlgorithm","solidarites-sante.gouv.fr/185.194.82.27","443","OK","SHA256 with RSA","",""
"cert_keySize","solidarites-sante.gouv.fr/185.194.82.27","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","solidarites-sante.gouv.fr/185.194.82.27","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","solidarites-sante.gouv.fr/185.194.82.27","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","solidarites-sante.gouv.fr/185.194.82.27","443","INFO","F8716CEBA593D4B0CEC3021F28D1F160","",""
"cert_serialNumberLen","solidarites-sante.gouv.fr/185.194.82.27","443","INFO","16","",""
"cert_fingerprintSHA1","solidarites-sante.gouv.fr/185.194.82.27","443","INFO","339236966076D6CED936E172B8C00BC86B12A70D","",""
"cert_fingerprintSHA256","solidarites-sante.gouv.fr/185.194.82.27","443","INFO","35AF382F2F5424D2A3A77CEFBBCBCC2F111A30684CAB35B767AAE7F19F397EF0","",""
