"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","stop-violences-femmes.gouv.fr/185.194.82.152","443","INFO","HTTP","",""
"pre_128cipher","stop-violences-femmes.gouv.fr/185.194.82.152","443","INFO","No 128 cipher limit bug","",""
"SSLv2","stop-violences-femmes.gouv.fr/185.194.82.152","443","OK","not offered","",""
"SSLv3","stop-violences-femmes.gouv.fr/185.194.82.152","443","OK","not offered","",""
"TLS1","stop-violences-femmes.gouv.fr/185.194.82.152","443","INFO","not offered","",""
"TLS1_1","stop-violences-femmes.gouv.fr/185.194.82.152","443","INFO","not offered","",""
"TLS1_2","stop-violences-femmes.gouv.fr/185.194.82.152","443","OK","offered","",""
"TLS1_3","stop-violences-femmes.gouv.fr/185.194.82.152","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","stop-violences-femmes.gouv.fr/185.194.82.152","443","INFO","not offered","",""
"cipherlist_NULL","stop-violences-femmes.gouv.fr/185.194.82.152","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","stop-violences-femmes.gouv.fr/185.194.82.152","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","stop-violences-femmes.gouv.fr/185.194.82.152","443","OK","not offered","","CWE-327"
"cipherlist_LOW","stop-violences-femmes.gouv.fr/185.194.82.152","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","stop-violences-femmes.gouv.fr/185.194.82.152","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","stop-violences-femmes.gouv.fr/185.194.82.152","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","stop-violences-femmes.gouv.fr/185.194.82.152","443","INFO","not offered","",""
"cipherlist_STRONG_FS","stop-violences-femmes.gouv.fr/185.194.82.152","443","OK","offered","",""
"cipher_order-tls1_2","stop-violences-femmes.gouv.fr/185.194.82.152","443","OK","server","",""
"cipherorder_TLSv1_2","stop-violences-femmes.gouv.fr/185.194.82.152","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","stop-violences-femmes.gouv.fr/185.194.82.152","443","OK","server","",""
"FS","stop-violences-femmes.gouv.fr/185.194.82.152","443","OK","offered","",""
"FS_ciphers","stop-violences-femmes.gouv.fr/185.194.82.152","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","stop-violences-femmes.gouv.fr/185.194.82.152","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","stop-violences-femmes.gouv.fr/185.194.82.152","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","stop-violences-femmes.gouv.fr/185.194.82.152","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","stop-violences-femmes.gouv.fr/185.194.82.152","443","INFO","yes","",""
"sessionresumption_ticket","stop-violences-femmes.gouv.fr/185.194.82.152","443","INFO","not supported","",""
"sessionresumption_ID","stop-violences-femmes.gouv.fr/185.194.82.152","443","INFO","supported","",""
"TLS_timestamp","stop-violences-femmes.gouv.fr/185.194.82.152","443","INFO","random","",""
"cert_compression","stop-violences-femmes.gouv.fr/185.194.82.152","443","INFO","N/A","",""
"clientAuth","stop-violences-femmes.gouv.fr/185.194.82.152","443","INFO","none","",""
"cert_numbers","stop-violences-femmes.gouv.fr/185.194.82.152","443","INFO","1","",""
"cert_signatureAlgorithm","stop-violences-femmes.gouv.fr/185.194.82.152","443","OK","SHA256 with RSA","",""
"cert_keySize","stop-violences-femmes.gouv.fr/185.194.82.152","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","stop-violences-femmes.gouv.fr/185.194.82.152","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","stop-violences-femmes.gouv.fr/185.194.82.152","443","INFO","TLS Web Server Authentication","",""
