"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","standup.fabrique.social.gouv.fr/51.11.227.220","443","INFO","HTTP","",""
"pre_128cipher","standup.fabrique.social.gouv.fr/51.11.227.220","443","INFO","No 128 cipher limit bug","",""
"SSLv2","standup.fabrique.social.gouv.fr/51.11.227.220","443","OK","not offered","",""
"SSLv3","standup.fabrique.social.gouv.fr/51.11.227.220","443","OK","not offered","",""
"TLS1","standup.fabrique.social.gouv.fr/51.11.227.220","443","INFO","not offered","",""
"TLS1_1","standup.fabrique.social.gouv.fr/51.11.227.220","443","INFO","is not offered","",""
"TLS1_2","standup.fabrique.social.gouv.fr/51.11.227.220","443","OK","offered","",""
"TLS1_3","standup.fabrique.social.gouv.fr/51.11.227.220","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","standup.fabrique.social.gouv.fr/51.11.227.220","443","OK","h2","",""
"ALPN","standup.fabrique.social.gouv.fr/51.11.227.220","443","INFO","http/1.1","",""
"cipherlist_NULL","standup.fabrique.social.gouv.fr/51.11.227.220","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","standup.fabrique.social.gouv.fr/51.11.227.220","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","standup.fabrique.social.gouv.fr/51.11.227.220","443","OK","not offered","","CWE-327"
"cipherlist_LOW","standup.fabrique.social.gouv.fr/51.11.227.220","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","standup.fabrique.social.gouv.fr/51.11.227.220","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","standup.fabrique.social.gouv.fr/51.11.227.220","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","standup.fabrique.social.gouv.fr/51.11.227.220","443","INFO","not offered","",""
"cipherlist_STRONG","standup.fabrique.social.gouv.fr/51.11.227.220","443","OK","offered","",""
"cipher_order","standup.fabrique.social.gouv.fr/51.11.227.220","443","OK","server","",""
"protocol_negotiated","standup.fabrique.social.gouv.fr/51.11.227.220","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","standup.fabrique.social.gouv.fr/51.11.227.220","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","standup.fabrique.social.gouv.fr/51.11.227.220","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","standup.fabrique.social.gouv.fr/51.11.227.220","443","OK","offered","",""
"FS_ciphers","standup.fabrique.social.gouv.fr/51.11.227.220","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","standup.fabrique.social.gouv.fr/51.11.227.220","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","standup.fabrique.social.gouv.fr/51.11.227.220","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","standup.fabrique.social.gouv.fr/51.11.227.220","443","INFO","valid for 600 seconds only (<daily)","",""
"SSL_sessionID_support","standup.fabrique.social.gouv.fr/51.11.227.220","443","INFO","yes","",""
"sessionresumption_ticket","standup.fabrique.social.gouv.fr/51.11.227.220","443","INFO","not supported","",""
"sessionresumption_ID","standup.fabrique.social.gouv.fr/51.11.227.220","443","INFO","not supported","",""
"TLS_timestamp","standup.fabrique.social.gouv.fr/51.11.227.220","443","INFO","random","",""
"clientAuth","standup.fabrique.social.gouv.fr/51.11.227.220","443","INFO","none","",""
"cert_numbers","standup.fabrique.social.gouv.fr/51.11.227.220","443","INFO","1","",""
